fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
00T1 6:49 293.4 39.52 2.37E+00 9.17E-12 6.19E-06 1 2.923 2.07E+04 
00T2 7:6 296.2 39.14 2.44E+00 1.53E-11 7.03E-06 1 2.907 1.95E+04 
00T3 7:25 299.5 38.71 2.52E+00 2.69E-11 7.64E-06 1 2.854 1.43E+04 
00T4 7:42 302.5 38.33 2.60E+00 4.56E-11 8.82E-06 1 2.845 1.30E+04 
00T5 8:2 305.5 37.95 2.67E+00 7.51E-11 9.57E-06 1 2.803 1.02E+04 
00T6 8:22 308.3 37.61 2.74E+00 1.20E-10 1.23E-05 1 2.86 1.35E+04 
00T7 8:40 311.3 37.24 2.82E+00 1.51E-10 1.22E-05 1 2.756 8.16E+03 
00T8 8:57 313.6 36.97 2.87E+00 2.10E-10 1.31E-05 1 2.731 6.97E+03 
00T9 9:15 316 36.69 2.93E+00 3.41E-10 1.69E-05 1 2.811 9.50E+03 
0T10 9:34 318.7 36.38 3.00E+00 5.39E-10 1.89E-05 1 2.8 7.86E+03 
0T11 9:51 321.4 36.07 3.07E+00 8.90E-10 2.12E-05 1 2.799 6.76E+03 
0T12 10:10 323.7 35.82 3.12E+00 1.21E-09 2.28E-05 1 2.77 5.54E+03 
0T13 10:33 326 35.57 3.18E+00 1.75E-09 2.59E-05 1 2.785 5.28E+03 
0T14 10:55 328.2 35.33 3.23E+00 1.87E-09 2.49E-05 1 2.684 3.81E+03 
0T15 11:16 331.8 34.94 3.32E+00 3.11E-09 2.82E-05 1 2.662 3.10E+03 
