T nFsrh nFBsrh dnsrh nF nFB dn
290 1.159800487E+00 1.002996656E+0 1.568038310E-01 1.159800487E+00 1.002996656E+0 1.568038310E-01
295 1.158268349E+00 1.002917493E+0 1.553508560E-01 1.158268349E+00 1.002917493E+0 1.553508560E-01
300 1.161884805E+00 1.002843760E+0 1.590410450E-01 1.161884805E+00 1.002843760E+0 1.590410450E-01
305 1.165594123E+00 1.002774975E+0 1.628191480E-01 1.165594123E+00 1.002774975E+0 1.628191480E-01
310 1.167356726E+00 1.002710709E+0 1.646460170E-01 1.167356726E+00 1.002710709E+0 1.646460170E-01
315 1.147828844E+00 1.002650581E+0 1.451782630E-01 1.147828844E+00 1.002650581E+0 1.451782630E-01
320 1.129985318E+00 1.002594247E+0 1.273910710E-01 1.129985318E+00 1.002594247E+0 1.273910710E-01
325 1.117876097E+00 1.002541399E+0 1.153346980E-01 1.117876097E+00 1.002541399E+0 1.153346980E-01
330 1.093789915E+00 1.002491762E+0 9.129815300E-02 1.093789915E+00 1.002491762E+0 9.129815300E-02
335 1.034644934E+00 1.002445086E+0 3.219984800E-02 1.034644934E+00 1.002445086E+0 3.219984800E-02
340 1.006123112E+00 1.002401145E+0 3.721967000E-03 1.006123112E+00 1.002401145E+0 3.721967000E-03
