fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
00L1 50132 339.99 34.102 1.145052969E+00 6.427007781E-01 1.404121892E-07 1.275290635E+05 1.647392353E-04 2.362311359E-01 1.647365434E-04 6.197306090E-01 2.411737488E-05 1.748139238E-01 1.378985511E-04 1.319545051E-01 
00L2 50246 339.99 34.102 1.141409216E+00 6.456845444E-01 1.356276178E-07 5.833864547E+04 1.653378057E-04 2.363163036E-01 1.646535590E-04 6.202337809E-01 2.413349516E-05 1.748614496E-01 1.379509202E-04 1.295904653E-01 
00L3 50336 340.01 34.1 1.143630928E+00 6.421145088E-01 1.386069757E-07 1.253122111E+05 1.644971005E-04 2.362910915E-01 1.643642783E-04 6.200281458E-01 2.408053825E-05 1.747417374E-01 1.377471244E-04 1.305572225E-01 
00L4 50424 340.01 34.1 1.146167172E+00 6.358505388E-01 1.416338672E-07 1.622859931E+05 1.644200854E-04 2.417903744E-01 1.644200854E-04 6.033971516E-01 2.398817081E-05 1.748212601E-01 1.373082504E-04 5.564281540E-01 
00L5 50516 340 34.101 1.142357393E+00 6.456231613E-01 1.367965309E-07 6.911194499E+04 1.650863662E-04 2.372934261E-01 1.644482588E-04 6.173256763E-01 2.408958550E-05 1.751270218E-01 1.375616059E-04 7.994355746E-03 
00L6 50606 340 34.101 1.141199009E+00 6.489166507E-01 1.352127991E-07 7.484351778E+04 1.653156852E-04 2.400999630E-01 1.648132269E-04 6.094294083E-01 2.411612706E-05 1.750860275E-01 1.377876013E-04 2.135357412E-01 
00L7 50702 340.06 34.095 1.141732856E+00 7.225092010E-01 1.432779755E-07 1.915285388E+05 1.568601485E-04 2.360228943E-01 1.568601485E-04 6.082574267E-01 2.251926304E-05 1.728658646E-01 1.304493465E-04 1.274492947E-01 
00L8 50820 339.87 34.114 1.142092315E+00 7.104056841E-01 1.387228162E-07 2.472601208E+05 1.578482588E-04 2.358299461E-01 1.578482588E-04 6.163800672E-01 2.294496150E-05 1.736558521E-01 1.321377611E-04 1.303981771E-02 
00L9 50908 339.92 34.109 1.138060653E+00 7.274171501E-01 1.346491130E-07 9.490653012E+04 1.594886034E-04 2.359967209E-01 1.592472627E-04 6.162587918E-01 2.316013426E-05 1.738943914E-01 1.331884660E-04 1.115112651E-02 
0L10 50998 339.97 34.104 1.144540579E+00 6.998690987E-01 1.425107193E-07 2.751506278E+05 1.601142783E-04 2.360273609E-01 1.601142783E-04 6.166452569E-01 2.330385706E-05 1.740503830E-01 1.338815831E-04 2.772625856E-02 
0L11 51088 340.01 34.1 1.138479582E+00 7.204857385E-01 1.351039771E-07 8.902614107E+04 1.610756109E-04 2.359673485E-01 1.607249083E-04 6.176099180E-01 2.342336903E-05 1.741464025E-01 1.345012230E-04 1.278581685E-02 
0L12 51180 340.04 34.097 1.145075500E+00 6.948853751E-01 1.428102264E-07 3.038567517E+05 1.610594167E-04 2.363003155E-01 1.610594167E-04 6.171229545E-01 2.348670669E-05 1.742112778E-01 1.348266606E-04 1.015989781E-02 
0L13 51268 340.03 34.098 1.140705929E+00 7.121818647E-01 1.372686993E-07 1.006904926E+05 1.619258773E-04 2.364580711E-01 1.617300633E-04 6.155527433E-01 2.354020120E-05 1.741893936E-01 1.351507586E-04 5.337122055E-03 
0L14 51360 340.02 34.099 1.139451585E+00 7.120190713E-01 1.350519506E-07 8.469167749E+04 1.625298298E-04 2.356254307E-01 1.620481351E-04 6.211014570E-01 2.371530676E-05 1.744556288E-01 1.358695688E-04 1.376354491E-01 
0L15 51448 340.02 34.099 1.141802672E+00 6.982570760E-01 1.373505368E-07 1.286191125E+05 1.630873891E-04 2.368569839E-01 1.630813116E-04 6.166028912E-01 2.381748757E-05 1.745284605E-01 1.364774277E-04 3.784326932E-03 
0L16 51536 340.04 34.097 1.135814427E+00 7.200119501E-01 1.303503112E-07 4.987276813E+04 1.643888133E-04 2.359661015E-01 1.635147852E-04 6.204526643E-01 2.393951234E-05 1.746759863E-01 1.369875603E-04 1.309272196E-01 
0L17 51628 340.03 34.098 1.137910620E+00 7.144928585E-01 1.325640811E-07 7.360548087E+04 1.640200159E-04 2.360764812E-01 1.634472627E-04 6.212057027E-01 2.396987719E-05 1.748886072E-01 1.369965146E-04 1.299751445E-01 
0L18 51718 340.02 34.099 1.137926612E+00 7.131090606E-01 1.322319215E-07 5.406441138E+04 1.644047458E-04 2.370109608E-01 1.634429539E-04 6.166141460E-01 2.388625791E-05 1.748713251E-01 1.366561977E-04 2.069275783E-02 
0L19 51808 340.01 34.1 1.143646076E+00 6.953620353E-01 1.386880609E-07 1.020366321E+05 1.639834253E-04 2.361920879E-01 1.637658416E-04 6.202940092E-01 2.399309389E-05 1.747217026E-01 1.372578016E-04 1.329278980E-01 
