X Y Yfit
9.196E-11 -2.258E-4 -6.736E-3 -2.258E-4
8.601E-3 -2.242E-4 5.221E-3 -2.242E-4
1.866E-2 -2.227E-4 1.609E-2 -2.227E-4
2.844E-2 -2.209E-4 2.869E-2 -2.209E-4
3.844E-2 -2.193E-4 3.949E-2 -2.193E-4
4.810E-2 -2.179E-4 4.863E-2 -2.179E-4
5.924E-2 -2.158E-4 6.182E-2 -2.158E-4
6.900E-2 -2.141E-4 7.203E-2 -2.141E-4
7.891E-2 -2.124E-4 8.185E-2 -2.124E-4
8.853E-2 -2.105E-4 9.237E-2 -2.105E-4
9.858E-2 -2.085E-4 1.029E-1 -2.085E-4
1.097E-1 -2.066E-4 1.126E-1 -2.066E-4
1.191E-1 -2.045E-4 1.227E-1 -2.045E-4
1.293E-1 -2.025E-4 1.319E-1 -2.025E-4
1.390E-1 -2.004E-4 1.412E-1 -2.004E-4
1.491E-1 -1.981E-4 1.508E-1 -1.981E-4
1.600E-1 -1.955E-4 1.612E-1 -1.955E-4
1.698E-1 -1.932E-4 1.699E-1 -1.932E-4
1.799E-1 -1.906E-4 1.793E-1 -1.906E-4
1.896E-1 -1.879E-4 1.886E-1 -1.879E-4
1.993E-1 -1.850E-4 1.981E-1 -1.850E-4
2.093E-1 -1.821E-4 2.071E-1 -1.821E-4
2.203E-1 -1.783E-4 2.182E-1 -1.783E-4
2.305E-1 -1.751E-4 2.271E-1 -1.751E-4
2.401E-1 -1.715E-4 2.366E-1 -1.715E-4
2.501E-1 -1.673E-4 2.472E-1 -1.673E-4
2.600E-1 -1.633E-4 2.567E-1 -1.633E-4
2.707E-1 -1.587E-4 2.671E-1 -1.587E-4
2.806E-1 -1.539E-4 2.774E-1 -1.539E-4
2.905E-1 -1.488E-4 2.878E-1 -1.488E-4
3.003E-1 -1.437E-4 2.977E-1 -1.437E-4
3.102E-1 -1.382E-4 3.079E-1 -1.382E-4
3.213E-1 -1.322E-4 3.185E-1 -1.322E-4
3.311E-1 -1.260E-4 3.290E-1 -1.260E-4
3.410E-1 -1.199E-4 3.390E-1 -1.199E-4
3.508E-1 -1.130E-4 3.498E-1 -1.130E-4
3.607E-1 -1.064E-4 3.598E-1 -1.064E-4
3.718E-1 -9.855E-5 3.713E-1 -9.855E-5
3.818E-1 -9.126E-5 3.817E-1 -9.126E-5
3.915E-1 -8.386E-5 3.920E-1 -8.386E-5
4.013E-1 -7.571E-5 4.031E-1 -7.571E-5
4.210E-1 -6.022E-5 4.236E-1 -6.022E-5
4.421E-1 -4.352E-5 4.452E-1 -4.352E-5
4.618E-1 -2.661E-5 4.668E-1 -2.661E-5
4.829E-1 -9.961E-6 4.881E-1 -9.961E-6
5.025E-1 5.936E-6 5.087E-1 5.936E-6
5.530E-1 4.286E-5 5.584E-1 4.286E-5
6.033E-1 7.440E-5 6.046E-1 7.440E-5
6.539E-1 1.033E-4 6.515E-1 1.033E-4
7.045E-1 1.288E-4 6.974E-1 1.288E-4
7.547E-1 1.539E-4 7.477E-1 1.539E-4
8.050E-1 1.779E-4 8.009E-1 1.779E-4
8.558E-1 1.989E-4 8.515E-1 1.989E-4
9.062E-1 2.198E-4 9.053E-1 2.198E-4
9.567E-1 2.401E-4 9.603E-1 2.401E-4
1.006E+0 2.587E-4 1.013E+0 2.587E-4
