N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.778E+15 295 1.800E-4 1.212778383E+00 1.214068281E+00
1.468000E+10 1.778E+15 295 1.800E-4 1.213212860E+00 1.214092870E+00
2.154000E+10 1.778E+15 295 1.800E-4 1.213528847E+00 1.214128653E+00
3.162000E+10 1.778E+15 295 1.800E-4 1.213772042E+00 1.214180495E+00
4.642000E+10 1.778E+15 295 1.800E-4 1.213977362E+00 1.214255237E+00
6.813000E+10 1.778E+15 295 1.800E-4 1.214173293E+00 1.214362151E+00
1.000000E+11 1.778E+15 295 1.800E-4 1.214385173E+00 1.214513348E+00
1.468000E+11 1.778E+15 295 1.800E-4 1.214636973E+00 1.214723806E+00
2.154000E+11 1.778E+15 295 1.800E-4 1.214951725E+00 1.215010416E+00
3.162000E+11 1.778E+15 295 1.800E-4 1.215350046E+00 1.215389593E+00
4.642000E+11 1.778E+15 295 1.800E-4 1.215846277E+00 1.215872836E+00
6.813000E+11 1.778E+15 295 1.800E-4 1.216443358E+00 1.216461138E+00
1.000000E+12 1.778E+15 295 1.800E-4 1.217128387E+00 1.217140245E+00
1.468000E+12 1.778E+15 295 1.800E-4 1.223435637E+00 1.223443841E+00
2.154000E+12 1.778E+15 295 1.800E-4 1.224228785E+00 1.224234237E+00
3.162000E+12 1.778E+15 295 1.800E-4 1.225078187E+00 1.225081722E+00
4.642000E+12 1.778E+15 295 1.800E-4 1.230153772E+00 1.230204716E+00
6.813000E+12 1.778E+15 295 1.800E-4 1.242522136E+00 1.242524003E+00
1.000000E+13 1.778E+15 295 1.800E-4 1.243070849E+00 1.243072109E+00
