fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B565FE100_T 1317912116 0 555 9.775696972E-05 1.240000000E+00 7.228619942E-08 0.000000000E+00 1.300000000E+00 1.429133933E-03 
B565FE101_T 1317912116 0 555 1.019328937E-04 1.240000000E+00 6.746863297E-08 0.000000000E+00 1.300000000E+00 1.203850225E-03 
B565FE102_T 1317912116 0 555 1.044272580E-04 1.240000000E+00 4.119665167E-08 0.000000000E+00 1.300000000E+00 8.001846304E-04 
B565FE103_T 1317912116 0 555 1.122888074E-04 1.240000000E+00 2.133529294E-08 0.000000000E+00 1.300000000E+00 6.190851146E-04 
B565FE140_T 1317912116 0 555 9.915994746E-05 1.240000000E+00 7.201655857E-08 0.000000000E+00 1.300000000E+00 1.452060372E-03 
B565FE141_T 1317912116 0 555 1.023469565E-04 1.240000000E+00 6.550076451E-08 0.000000000E+00 1.300000000E+00 1.106047937E-03 
B565FE142_T 1317912116 0 555 1.058422299E-04 1.240000000E+00 3.542592486E-08 0.000000000E+00 1.300000000E+00 6.567334334E-04 
B565FE210_T 1317912116 0 555 9.986991167E-05 1.240000000E+00 7.098805157E-08 0.000000000E+00 1.300000000E+00 1.426941282E-03 
B565FE211_T 1317912116 0 555 1.027134365E-04 1.240000000E+00 6.214260230E-08 0.000000000E+00 1.300000000E+00 1.105047636E-03 
B565FE212_T 1317912116 0 555 1.065205112E-04 1.240000000E+00 2.867017820E-08 0.000000000E+00 1.300000000E+00 7.655079514E-04 
B565FE310_T 1317912116 0 555 1.004028536E-04 1.240000000E+00 7.014580710E-08 0.000000000E+00 1.300000000E+00 1.388785219E-03 
B565FE311_T 1317912116 0 555 1.030061458E-04 1.240000000E+00 5.698435141E-08 0.000000000E+00 1.300000000E+00 1.218590662E-03 
B565FE312_T 1317912116 0 555 1.078412999E-04 1.240000000E+00 2.473418980E-08 0.000000000E+00 1.300000000E+00 8.087441281E-04 
B565FE460_T 1317912116 0 555 1.010083806E-04 1.240000000E+00 6.980222443E-08 0.000000000E+00 1.300000000E+00 1.344577981E-03 
B565FE461_T 1317912116 0 555 1.031356423E-04 1.240000000E+00 4.966601696E-08 0.000000000E+00 1.300000000E+00 1.331368235E-03 
B565FE462_T 1317912116 0 555 1.094693056E-04 1.240000000E+00 2.451862168E-08 0.000000000E+00 1.300000000E+00 8.172498445E-04 
B565FE680_T 1317912116 0 555 1.015248158E-04 1.240000000E+00 6.888991111E-08 0.000000000E+00 1.300000000E+00 1.282290723E-03 
B565FE681_T 1317912116 0 555 1.034770294E-04 1.240000000E+00 4.325335124E-08 0.000000000E+00 1.300000000E+00 1.133334550E-03 
B565FE682_T 1317912116 0 555 1.111177724E-04 1.240000000E+00 2.370430876E-08 0.000000000E+00 1.300000000E+00 7.106797477E-04 
