T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 7.517093000E-03 1.631446100E-02 2.247808700E-02 2.651315700E-02 3.174035300E-02 4.224394800E-02 5.405729200E-02 6.136411100E-02 6.600901300E-02
295 2.839130000E-03 1.523279200E-02 2.214617000E-02 2.667536600E-02 3.111100700E-02 4.087140600E-02 5.219021800E-02 5.940757100E-02 6.399868100E-02
300 -8.000678000E-03 1.208552900E-02 2.149970200E-02 2.644530700E-02 3.068105900E-02 3.968111100E-02 5.089370000E-02 5.792577700E-02 6.200572800E-02
305 -3.032157400E-02 5.300912000E-03 1.944086800E-02 2.595094000E-02 3.057364500E-02 3.904143800E-02 4.957089200E-02 5.633620900E-02 6.058057900E-02
310 -7.204957600E-02 -8.381364000E-03 1.528753000E-02 2.441394400E-02 3.018452200E-02 3.848952000E-02 4.863031700E-02 5.514575800E-02 5.918837600E-02
315 -1.393912820E-01 -3.411431100E-02 7.349438000E-03 2.234147800E-02 2.959645300E-02 3.812580200E-02 4.833444200E-02 5.474136700E-02 5.832659500E-02
320 -1.221925420E-01 -7.926278300E-02 -7.963726000E-03 1.820754600E-02 2.868750300E-02 3.815513800E-02 4.809775600E-02 5.454375100E-02 5.842768400E-02
325 -4.544039200E-02 -1.477908080E-01 -3.533204600E-02 9.303137000E-03 2.641085400E-02 3.767346300E-02 4.811657600E-02 5.478909800E-02 5.881628200E-02
330 6.982795000E-03 -1.314067380E-01 -8.079008400E-02 -5.957845000E-03 2.202203500E-02 3.674483300E-02 4.863969500E-02 5.587557500E-02 5.929166300E-02
335 1.263458400E-02 -5.607099100E-02 -1.479007280E-01 -3.422655800E-02 1.420814400E-02 3.523148900E-02 4.874666300E-02 5.683707800E-02 6.138380600E-02
340 2.024684600E-02 6.278262000E-03 -1.454481810E-01 -7.739681400E-02 -3.546080000E-04 3.141351700E-02 4.848596900E-02 5.810619000E-02 6.364739700E-02
