kT1 I Ifit Ite Isclc
3.403E+1 4.474E-8 4.508E-8 0.000E+0 4.508E-8
3.443E+1 2.818E-8 2.708E-8 0.000E+0 2.708E-8
3.485E+1 1.570E-8 1.587E-8 0.000E+0 1.587E-8
3.502E+1 1.229E-8 1.279E-8 0.000E+0 1.279E-8
3.547E+1 7.207E-9 7.216E-9 0.000E+0 7.216E-9
3.574E+1 4.886E-9 5.121E-9 0.000E+0 5.121E-9
3.612E+1 3.215E-9 3.161E-9 0.000E+0 3.161E-9
3.647E+1 2.055E-9 2.027E-9 0.000E+0 2.027E-9
3.680E+1 1.337E-9 1.334E-9 0.000E+0 1.334E-9
3.718E+1 8.762E-10 8.241E-10 0.000E+0 8.241E-10
3.747E+1 6.294E-10 5.707E-10 0.000E+0 5.707E-10
3.772E+1 4.192E-10 4.158E-10 0.000E+0 4.158E-10
3.808E+1 2.479E-10 2.637E-10 0.000E+0 2.637E-10
3.854E+1 1.421E-10 1.473E-10 0.000E+0 1.473E-10
