N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.050950000E-04 8.410700000E-05 6.987700000E-05 5.877400000E-05
1.600000000E+01 2.451244000E-03 2.074961000E-03 1.825742000E-03 1.653442000E-03
1.700000000E+01 2.353078500E-02 2.165057600E-02 2.037280800E-02 1.937841700E-02
1.549996187E+01 7.050840000E-04 6.021550000E-04 5.359290000E-04 4.905340000E-04
1.649996187E+01 8.195906000E-03 7.157117000E-03 6.427224000E-03 5.900893000E-03
1.674996808E+01 1.429516600E-02 1.279830700E-02 1.174028200E-02 1.095875300E-02
1.624993176E+01 4.524921000E-03 3.869399000E-03 3.424549000E-03 3.112730000E-03
1.574996808E+01 1.320076000E-03 1.117865000E-03 9.865990000E-04 8.969730000E-04
1.524993176E+01 3.518310000E-04 3.023720000E-04 2.700690000E-04 2.475050000E-04
