T nFsrh nFBsrh dnsrh nF nFB dn
290 1.159613824E+00 1.132861438E+00 2.675238600E-02 1.159066979E+00 1.132373716E+00 2.669326300E-02
295 1.156441397E+00 1.138737417E+00 1.770398000E-02 1.155713420E+00 1.138104268E+00 1.760915200E-02
300 1.161507548E+00 1.141606307E+00 1.990124100E-02 1.160697219E+00 1.139305319E+00 2.139190000E-02
305 1.165013117E+00 1.140664898E+00 2.434821900E-02 1.164014798E+00 1.139724441E+00 2.429035700E-02
310 1.164966632E+00 1.145785797E+00 1.918083500E-02 1.163832798E+00 1.144603422E+00 1.922937600E-02
315 1.143934465E+00 1.150403780E+00 -6.469315000E-03 1.142712265E+00 1.149267341E+00 -6.555076000E-03
320 1.128754999E+00 1.154290764E+00 -2.553576500E-02 1.127750457E+00 1.152497207E+00 -2.474675000E-02
325 1.110910269E+00 1.156749563E+00 -4.583929400E-02 1.109905155E+00 1.154600846E+00 -4.469569100E-02
330 1.086767266E+00 1.146315583E+00 -5.954831700E-02 1.085835188E+00 1.144673873E+00 -5.883868500E-02
335 1.018206912E+00 1.122831063E+00 -1.046241510E-01 1.018145789E+00 1.120656411E+00 -1.025106220E-01
340 1.006467381E+00 1.100622281E+00 -9.415490000E-02 1.006214934E+00 1.095353888E+00 -8.913895400E-02
