N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.201821497E+00 1.200592319E+00 1.199511653E+00 1.198574210E+00
1.600000000E+01 1.238189769E+00 1.237993354E+00 1.238123634E+00 1.237966501E+00
1.700000000E+01 1.281278791E+00 1.281305708E+00 1.281005623E+00 1.281310947E+00
1.549996187E+01 1.218499794E+00 1.217752923E+00 1.217371896E+00 1.217244900E+00
1.649996187E+01 1.251238814E+00 1.250942833E+00 1.251166047E+00 1.251186499E+00
1.674996808E+01 1.262924186E+00 1.262653014E+00 1.262695261E+00 1.262805679E+00
1.624993176E+01 1.244752368E+00 1.244773371E+00 1.244841495E+00 1.244944485E+00
1.574996808E+01 1.228461897E+00 1.228116130E+00 1.227823470E+00 1.227558019E+00
1.524993176E+01 1.211509708E+00 1.210434288E+00 1.209639658E+00 1.209054995E+00
