fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_305 001_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.710009630E-15 1.000000000E+20 1.189628746E+00 4.690586045E-16 2.504997125E-04 
001_305_SRH 001_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.509246837E-15 1.000000000E+20 1.221625830E+00 4.393536756E-16 5.417637123E-04 
002_305 002_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.374870605E-15 1.000000000E+20 1.198655906E+00 6.734342686E-16 3.111650800E-04 
002_305_SRH 002_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.184238097E-15 1.000000000E+20 1.221865877E+00 6.444062786E-16 5.492501030E-04 
003_305 003_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.313346242E-15 1.000000000E+20 1.202910388E+00 9.761864011E-16 3.767174476E-04 
003_305_SRH 003_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.141843917E-15 1.000000000E+20 1.222205506E+00 9.448728653E-16 5.601398223E-04 
004_305 004_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.633795287E-15 1.000000000E+20 1.209287448E+00 1.415060024E-15 4.326851213E-04 
004_305_SRH 004_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.481179090E-15 1.000000000E+20 1.222678434E+00 1.384878656E-15 5.759146632E-04 
005_305 005_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.445584103E-15 1.000000000E+20 1.214090001E+00 2.057884266E-15 4.884401294E-04 
005_305_SRH 005_305_srh.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.318777597E-15 1.000000000E+20 1.223322730E+00 2.028744601E-15 5.986324347E-04 
006_305 006_305.dat 305 38.01 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.870812738E-15 1.000000000E+20 1.217840010E+00 2.998232321E-15 5.465617834E-04 
