Ytrue Ypred RelError Label
1.780000e+11 1.799411e+11 1.090495e-02 SC2973
2.670000e+11 2.632510e+11 1.404107e-02 SC312v6
7.090000e+12 7.093515e+12 4.957586e-04 SC3132v3
1.910000e+12 1.871722e+12 2.004095e-02 SC3152v1
3.100000e+12 3.062064e+12 1.223752e-02 SC3152v3
3.630000e+11 3.569101e+11 1.677657e-02 SC320v10
1.940000e+11 1.922906e+11 8.811240e-03 SC3252v1
9.310000e+11 9.216272e+11 1.006746e-02 SC3383v2
8.780000e+12 8.809974e+12 3.413903e-03 SC3411v10
7.570000e+12 7.611578e+12 5.492409e-03 SC3411v9
7.170000e+11 7.113466e+11 7.884772e-03 SC342v1
5.310000e+12 5.337761e+12 5.228145e-03 SC3491v2
1.630000e+13 1.611694e+13 1.123092e-02 SC3501v6
1.600000e+13 1.605376e+13 3.359699e-03 SC3501v9
9.880000e+12 9.985124e+12 1.064005e-02 SC3502v10
1.440000e+13 1.426067e+13 9.675746e-03 SC3503
1.490000e+12 1.503361e+12 8.967449e-03 SC3753v2
3.200000e+12 3.146723e+12 1.664903e-02 SC3753v7
7.210000e+12 7.262699e+12 7.309153e-03 SC4023v3
2.070000e+12 2.091503e+12 1.038808e-02 SC4023v5
