Model MSEn MRE MedRE R2
ExpTestSv1p360e15YOfl2 5.307922e-02 2.493851e-01 1.291981e-01 9.395209e-01
ExpTestSv1p360e15YOfl 3.729962e-02 2.332702e-01 1.159649e-01 9.751151e-01
ExpTestRf1p360e15EfC 4.309311e-02 2.649288e-01 1.935563e-01 8.670486e-01
ExpTestGb1p360e15EfC 3.443607e-02 2.369749e-01 1.741201e-01 9.189259e-01
ExpTestXg1p360e15EfC 2.203316e-02 1.766478e-01 1.130238e-01 9.901376e-01
ExpTest1p360e15EfC 1.301664e-02 1.381351e-01 1.182531e-01 9.855186e-01
ExpTestSv1p360e15EfC 1.899957e-02 1.699977e-01 1.428685e-01 9.730496e-01
ExpTestRf1p360e15EfP 3.913249e-02 2.346710e-01 1.767308e-01 8.970561e-01
ExpTestGb1p360e15EfP 2.498729e-02 1.889241e-01 1.292582e-01 9.382730e-01
ExpTestXg1p360e15EfP 1.872138e-02 1.645358e-01 1.218648e-01 9.838251e-01
ExpTest1p360e15EfP 2.776757e-02 1.702912e-01 8.288741e-02 9.904590e-01
ExpTestSv1p360e15EfP 1.977169e-02 1.736468e-01 1.405155e-01 9.706335e-01
ExpTestRf1p360e15RsC 8.067590e-02 4.116254e-01 2.912850e-01 8.792217e-01
ExpTestGb1p360e15RsC 7.215011e-02 3.498237e-01 2.289113e-01 9.199215e-01
ExpTestXg1p360e15RsC 8.862445e-02 3.613919e-01 2.747341e-01 8.706328e-01
ExpTest1p360e15RsC 6.889251e-02 3.491145e-01 1.724636e-01 9.588629e-01
ExpTestSv1p360e15RsC 1.796636e-01 5.981116e-01 3.963366e-01 5.095400e-01
ExpTestRf1p360e15RsP 5.610731e-02 2.856388e-01 1.806436e-01 9.405937e-01
ExpTestGb1p360e15RsP 5.101520e-02 2.734089e-01 1.481254e-01 9.509168e-01
ExpTestXg1p360e15RsP 2.699161e-02 1.617638e-01 4.373137e-02 9.988570e-01
ExpTest1p360e15RsP 2.615343e-02 1.761243e-01 8.386005e-02 9.920228e-01
ExpTestSv1p360e15RsP 2.708190e-02 1.626910e-01 4.818935e-02 9.966299e-01
ExpTestRf1p360e15MbC 7.073661e-02 3.368073e-01 1.446573e-01 9.456655e-01
ExpTestGb1p360e15MbC 6.587651e-02 3.176172e-01 1.622782e-01 9.353187e-01
ExpTestXg1p360e15MbC 2.874381e-02 2.199181e-01 1.838027e-01 9.578325e-01
ExpTest1p360e15MbC 8.538483e-02 3.949590e-01 2.528542e-01 9.042512e-01
ExpTestSv1p360e15MbC 2.304648e-02 1.671240e-01 8.259027e-02 9.800793e-01
ExpTestRf1p360e15YOL 1.845565e-01 6.661253e-01 3.632665e-01 7.270904e-01
ExpTestGb1p360e15YOL 2.004317e-01 7.324551e-01 3.519757e-01 7.350917e-01
ExpTestXg1p360e15YOL 7.746125e-02 3.793166e-01 2.026829e-01 9.425028e-01
ExpTest1p360e15YOL 8.066397e-02 3.641376e-01 2.383547e-01 8.753370e-01
ExpTestSv1p360e15YOL 7.062858e-02 3.193122e-01 1.671674e-01 9.394666e-01
ExpTestRf1p360e15MbP 7.562993e-02 3.617198e-01 1.949661e-01 9.296478e-01
ExpTestGb1p360e15MbP 6.996880e-02 3.294218e-01 1.846047e-01 9.383066e-01
ExpTestXg1p360e15MbP 1.954862e-02 1.657055e-01 9.111860e-02 9.763001e-01
ExpTest1p360e15MbP 6.121133e-01 2.195333e+00 3.679854e-01 7.079126e-01
ExpTestSv1p360e15MbP 1.897590e-02 1.614765e-01 9.782398e-02 9.754222e-01
ExpTestRf1p360e15XcC 5.963349e-02 2.865730e-01 1.761216e-01 9.097801e-01
ExpTestGb1p360e15XcC 6.648152e-02 3.043616e-01 2.347135e-01 8.730793e-01
ExpTestXg1p360e15XcC 3.214965e-02 2.256600e-01 1.892300e-01 8.610037e-01
ExpTest1p360e15XcC 2.580428e-02 1.947649e-01 1.572381e-01 9.759420e-01
ExpTestSv1p360e15XcC 2.773525e-02 1.873092e-01 7.383156e-02 9.862498e-01
ExpTestRf1p360e15XcP 5.963988e-02 2.770892e-01 1.565239e-01 9.029345e-01
ExpTestGb1p360e15XcP 5.524518e-02 2.648668e-01 1.332626e-01 9.004126e-01
ExpTestXg1p360e15XcP 2.325692e-02 1.802083e-01 1.337228e-01 9.391943e-01
ExpTest1p360e15XcP 2.163011e-02 1.616978e-01 9.443391e-02 9.858767e-01
ExpTestSv1p360e15XcP 1.833500e-02 1.612408e-01 1.182637e-01 9.566057e-01
ExpTestRf1p360e15NNC 7.498520e-02 3.491961e-01 1.956251e-01 9.726432e-01
ExpTestGb1p360e15NNC 3.417402e-02 1.911671e-01 5.271322e-02 9.869478e-01
ExpTestXg1p360e15NNC 1.134851e-02 1.304523e-01 1.107543e-01 9.579521e-01
ExpTest1p360e15NNC 1.302232e-02 1.268787e-01 8.167725e-02 9.910167e-01
ExpTestSv1p360e15NNC 7.155546e-03 9.648480e-02 7.068541e-02 9.961525e-01
ExpTestRf1p360e15NNP 3.982976e-02 2.323534e-01 9.583054e-02 9.567243e-01
ExpTestGb1p360e15NNP 4.400463e-02 2.443205e-01 9.411645e-02 9.669841e-01
ExpTestXg1p360e15NNP 1.486443e-02 1.438018e-01 8.441603e-02 9.923136e-01
ExpTest1p360e15NNP 2.257268e-02 1.488537e-01 6.215459e-02 9.966548e-01
ExpTestSv1p360e15NNP 1.410588e-02 1.401474e-01 9.417024e-02 9.927761e-01
ExpTestRf1p360e15YOL2 1.371190e-01 5.167876e-01 2.615909e-01 7.909232e-01
ExpTestGb1p360e15YOL2 1.124668e-01 4.403214e-01 2.087626e-01 8.223062e-01
ExpTestXg1p360e15YOL2 4.361340e-02 2.451774e-01 1.769695e-01 9.203925e-01
ExpTest1p360e15YOL2 5.178382e-02 2.473663e-01 1.502066e-01 9.098625e-01
ExpTestSv1p360e15YOL2 6.421865e-02 2.812713e-01 1.444669e-01 9.332744e-01
ExpTestRf1p360e15EfPp 3.877363e-02 2.234407e-01 1.098234e-01 9.595008e-01
ExpTestGb1p360e15EfPp 2.619616e-02 1.618104e-01 4.333636e-02 9.693745e-01
ExpTestXg1p360e15EfPp 1.857163e-02 1.692440e-01 1.469188e-01 9.758319e-01
ExpTest1p360e15EfPp 1.522156e-02 1.362278e-01 6.987949e-02 9.938242e-01
ExpTestSv1p360e15EfPp 1.911636e-02 1.721607e-01 1.522044e-01 9.685034e-01
ExpTestRf1p360e15YOflp 4.073906e-01 1.366762e+00 4.901874e-01 6.512459e-01
ExpTestGb1p360e15YOflp 2.407114e-01 8.896796e-01 3.358331e-01 8.125802e-01
ExpTestXg1p360e15YOflp 2.566963e-01 9.430231e-01 3.197073e-01 7.728898e-01
ExpTest1p360e15YOflp 2.845334e-02 1.867331e-01 1.315898e-01 9.356928e-01
