Ytrue Ypred RelError Label
1.780000e+11 1.780022e+11 1.255650e-05 SC2973
2.670000e+11 2.722712e+11 1.974241e-02 SC312v6
7.090000e+12 7.089970e+12 4.287345e-06 SC3132v3
1.910000e+12 1.909987e+12 6.552144e-06 SC3152v1
3.100000e+12 3.099985e+12 4.791384e-06 SC3152v3
3.630000e+11 3.629967e+11 8.977546e-06 SC320v10
1.940000e+11 1.940022e+11 1.131557e-05 SC3252v1
9.310000e+11 9.309935e+11 6.943722e-06 SC3383v2
8.780000e+12 8.780032e+12 3.635047e-06 SC3411v10
7.570000e+12 9.257094e+12 2.228658e-01 SC3411v9
7.170000e+11 7.169979e+11 2.960547e-06 SC342v1
5.310000e+12 5.185161e+12 2.351017e-02 SC3491v2
1.630000e+13 1.393693e+13 1.449733e-01 SC3501v6
1.600000e+13 1.599984e+13 9.953554e-06 SC3501v9
9.880000e+12 9.879900e+12 1.010709e-05 SC3502v10
1.440000e+13 1.439984e+13 1.133852e-05 SC3503
1.490000e+12 1.489991e+12 5.894941e-06 SC3753v2
3.200000e+12 3.199989e+12 3.576437e-06 SC3753v7
7.210000e+12 7.210137e+12 1.901846e-05 SC4023v3
2.070000e+12 2.070027e+12 1.323324e-05 SC4023v5
