Ytrue Ypred RelError Label
1.780000e+11 1.779986e+11 7.954819e-06 SC2973
2.670000e+11 2.669846e+11 5.758495e-05 SC312v6
7.090000e+12 7.089689e+12 4.392741e-05 SC3132v3
1.910000e+12 1.909967e+12 1.722150e-05 SC3152v1
3.100000e+12 3.099932e+12 2.202210e-05 SC3152v3
3.630000e+11 3.629862e+11 3.790401e-05 SC320v10
1.940000e+11 1.939997e+11 1.512995e-06 SC3252v1
9.310000e+11 9.309902e+11 1.052211e-05 SC3383v2
8.780000e+12 8.779176e+12 9.385201e-05 SC3411v10
7.570000e+12 7.569962e+12 5.056804e-06 SC3411v9
7.170000e+11 7.169927e+11 1.021739e-05 SC342v1
5.310000e+12 5.309871e+12 2.426949e-05 SC3491v2
1.630000e+13 1.629978e+13 1.336109e-05 SC3501v6
1.600000e+13 1.599969e+13 1.955703e-05 SC3501v9
9.880000e+12 9.879965e+12 3.528761e-06 SC3502v10
1.440000e+13 1.439973e+13 1.891686e-05 SC3503
1.490000e+12 1.489961e+12 2.643293e-05 SC3753v2
3.200000e+12 3.200016e+12 4.901959e-06 SC3753v7
7.210000e+12 7.209694e+12 4.247046e-05 SC4023v3
2.070000e+12 2.070015e+12 7.046680e-06 SC4023v5
