Model MSEn MRE MedRE R2
ExpTrainRf1p360e15MbPp 1.254541e-03 3.761734e-02 2.726567e-02 9.975940e-01
ExpTrainGb1p360e15MbPp 1.138248e-06 1.068198e-03 7.416779e-04 9.999988e-01
ExpTrainXg1p360e15MbPp 1.007169e-03 3.421842e-02 2.705902e-02 9.980155e-01
ExpTrain1p360e15MbPp 8.334953e-03 1.104086e-01 8.921136e-02 9.812923e-01
ExpTrainSv1p360e15MbPp 1.932986e-03 2.455512e-02 1.236071e-03 9.978346e-01
ExpTrainRf1p360e15NNCp 1.799059e-28 1.534665e-14 1.430415e-14 1.000000e+00
ExpTrainGb1p360e15NNCp 2.142928e-06 1.541132e-03 8.712928e-04 9.999801e-01
ExpTrainXg1p360e15NNCp 9.359799e-03 1.059600e-01 9.440909e-02 9.747906e-01
ExpTrain1p360e15NNCp 8.936188e-04 3.439827e-02 3.580847e-02 9.981599e-01
ExpTrainSv1p360e15NNCp 1.036993e-03 2.231390e-02 1.073174e-03 9.998127e-01
ExpTrainRf1p360e15YOfl2p 9.101684e-05 7.980972e-03 2.890641e-03 9.999580e-01
ExpTrainGb1p360e15YOfl2p 6.962877e-07 9.625667e-04 6.551623e-04 9.999964e-01
ExpTrainXg1p360e15YOfl2p 2.867999e-03 6.033004e-02 4.694034e-02 9.770700e-01
ExpTrain1p360e15YOfl2p 2.431490e-02 2.117370e-01 1.684567e-01 9.514983e-01
ExpTrainSv1p360e15YOfl2p 6.075798e-03 5.298210e-02 7.540305e-04 9.413529e-01
ExpTrainRf1p360e15EfPp 1.713649e-03 4.908531e-02 3.736987e-02 9.879999e-01
ExpTrainGb1p360e15EfPp 8.415799e-07 9.838838e-04 7.373194e-04 9.999982e-01
ExpTrainXg1p360e15EfPp 1.256894e-03 3.701401e-02 2.253667e-02 9.979870e-01
ExpTrain1p360e15EfPp 5.496820e-05 9.680743e-03 9.871602e-03 9.998555e-01
ExpTrainSv1p360e15EfPp 1.168754e-03 2.766634e-02 7.003767e-03 9.992583e-01
ExpTrainRf1p360e15YOflp 5.324671e-03 8.474799e-02 5.834618e-02 9.822194e-01
ExpTrainGb1p360e15YOflp 2.970229e-05 4.541295e-03 2.751837e-03 9.999495e-01
ExpTrainXg1p360e15YOflp 1.631058e-02 1.544061e-01 1.348469e-01 9.252706e-01
ExpTrain1p360e15YOflp 3.035016e-03 6.886686e-02 6.957852e-02 9.852756e-01
ExpTrainSv1p360e15YOflp 1.542797e-03 2.056134e-02 1.003032e-05 9.846755e-01
ExpTrainRf1p360e15EfC 1.026112e-04 1.218292e-02 1.169271e-02 9.997781e-01
ExpTrainGb1p360e15EfC 1.188642e-07 3.376096e-04 2.819545e-04 9.999998e-01
ExpTrainXg1p360e15EfC 1.883863e-04 1.654968e-02 1.378711e-02 9.996308e-01
ExpTrain1p360e15EfC 1.427226e-03 4.490146e-02 3.124211e-02 9.959046e-01
ExpTrainSv1p360e15EfC 2.109899e-10 1.670147e-05 1.497928e-05 1.000000e+00
ExpTrainRf1p360e15EfP 1.266793e-04 1.331823e-02 1.007745e-02 9.997307e-01
ExpTrainGb1p360e15EfP 1.231251e-09 4.954266e-05 4.830790e-05 1.000000e+00
ExpTrainXg1p360e15EfP 4.449473e-06 2.371767e-03 1.917234e-03 9.999948e-01
ExpTrain1p360e15EfP 3.365143e-03 7.307783e-02 7.592786e-02 9.911493e-01
ExpTrainSv1p360e15EfP 7.803305e-10 3.529814e-05 4.452931e-05 1.000000e+00
ExpTrainRf1p360e15RsC 6.530965e-04 3.028460e-02 2.795342e-02 9.986459e-01
ExpTrainGb1p360e15RsC 8.095427e-17 1.026228e-08 8.740732e-09 1.000000e+00
ExpTrainXg1p360e15RsC 5.859229e-04 3.037475e-02 2.656848e-02 9.983081e-01
ExpTrain1p360e15RsC 4.244017e-02 2.642886e-01 8.259184e-02 9.885689e-01
ExpTrainSv1p360e15RsC 1.957432e-02 1.254691e-01 7.215843e-03 9.712998e-01
ExpTrainRf1p360e15RsP 2.094495e-29 5.716866e-15 4.114730e-15 1.000000e+00
ExpTrainGb1p360e15RsP 6.829211e-07 6.658079e-04 3.727676e-04 9.999996e-01
ExpTrainXg1p360e15RsP 2.480475e-06 1.603062e-03 7.138496e-04 9.999984e-01
ExpTrain1p360e15RsP 3.603452e-04 2.168344e-02 1.634697e-02 9.992687e-01
ExpTrainSv1p360e15RsP 1.376398e-08 1.493883e-04 1.934538e-04 9.999999e-01
ExpTrainRf1p360e15MbC 1.304643e-04 1.299201e-02 1.108342e-02 9.997543e-01
ExpTrainGb1p360e15MbC 7.225656e-08 1.982053e-04 8.851476e-05 1.000000e+00
ExpTrainXg1p360e15MbC 2.866997e-04 1.907257e-02 1.304483e-02 9.997189e-01
