N_Fe N_B T d Jsc_FeB Eta_FeB Voc_FeB FF_FeB
1.000000E+10 1.000E+17 310 3.800E-4 3.582824E+1 1.722210E+1 5.864180E-1 8.196990E+1
1.468000E+10 1.000E+17 310 3.800E-4 3.558792E+1 1.709220E+1 5.859870E-1 8.196110E+1
2.154000E+10 1.000E+17 310 3.800E-4 3.527927E+1 1.692520E+1 5.854260E-1 8.194900E+1
3.162000E+10 1.000E+17 310 3.800E-4 3.489778E+1 1.671180E+1 5.847170E-1 8.189930E+1
4.642000E+10 1.000E+17 310 3.800E-4 3.444501E+1 1.646650E+1 5.838510E-1 8.187890E+1
6.813000E+10 1.000E+17 310 3.800E-4 3.392768E+1 1.618580E+1 5.828220E-1 8.185470E+1
1.000000E+11 1.000E+17 310 3.800E-4 3.335459E+1 1.587420E+1 5.816250E-1 8.182630E+1
1.468000E+11 1.000E+17 310 3.800E-4 3.273307E+1 1.553530E+1 5.802500E-1 8.179330E+1
2.154000E+11 1.000E+17 310 3.800E-4 3.206728E+1 1.517100E+1 5.786110E-1 8.176480E+1
3.162000E+11 1.000E+17 310 3.800E-4 3.135864E+1 1.478190E+1 5.767550E-1 8.172980E+1
4.642000E+11 1.000E+17 310 3.800E-4 3.060718E+1 1.436160E+1 5.746820E-1 8.164900E+1
6.813000E+11 1.000E+17 310 3.800E-4 2.981262E+1 1.392250E+1 5.723750E-1 8.158980E+1
1.000000E+12 1.000E+17 310 3.800E-4 2.897495E+1 1.345980E+1 5.698000E-1 8.152550E+1
1.468000E+12 1.000E+17 310 3.800E-4 2.809478E+1 1.297380E+1 5.668250E-1 8.146900E+1
2.154000E+12 1.000E+17 310 3.800E-4 2.717352E+1 1.245960E+1 5.636050E-1 8.135490E+1
3.162000E+12 1.000E+17 310 3.800E-4 2.621351E+1 1.193110E+1 5.601230E-1 8.125910E+1
4.642000E+12 1.000E+17 310 3.800E-4 2.521808E+1 1.138590E+1 5.561870E-1 8.117700E+1
6.813000E+12 1.000E+17 310 3.800E-4 2.419159E+1 1.082070E+1 5.520310E-1 8.102690E+1
1.000000E+13 1.000E+17 310 3.800E-4 2.313935E+1 1.025110E+1 5.475110E-1 8.091450E+1
1.468000E+13 1.000E+17 310 3.800E-4 2.206761E+1 9.670600E+0 5.427130E-1 8.074750E+1
2.154000E+13 1.000E+17 310 3.800E-4 2.098342E+1 9.093200E+0 5.376100E-1 8.060680E+1
3.162000E+13 1.000E+17 310 3.800E-4 1.989446E+1 8.515000E+0 5.322550E-1 8.041410E+1
4.642000E+13 1.000E+17 310 3.800E-4 1.880890E+1 7.948700E+0 5.266070E-1 8.025050E+1
6.813000E+13 1.000E+17 310 3.800E-4 1.773510E+1 7.391200E+0 5.208040E-1 8.002160E+1
1.000000E+14 1.000E+17 310 3.800E-4 1.668142E+1 6.854600E+0 5.146820E-1 7.983780E+1
