N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 -1.467856170E-01 -1.145007540E-01 -1.852623900E-02 1.466151100E-02 2.877347600E-02 4.213339100E-02 5.734665500E-02 7.236855500E-02 8.219343000E-02
1.016672606E+01 -1.468558500E-01 -1.140001740E-01 -1.834361700E-02 1.471907800E-02 2.878165000E-02 4.210125500E-02 5.724005600E-02 7.209907400E-02 8.157487000E-02
1.033324570E+01 -1.469584380E-01 -1.132708380E-01 -1.807790600E-02 1.480277400E-02 2.879349300E-02 4.205464100E-02 5.708654900E-02 7.171586100E-02 8.076492500E-02
1.049996187E+01 -1.471079540E-01 -1.122118600E-01 -1.769288800E-02 1.492392900E-02 2.877697600E-02 4.198736000E-02 5.686726600E-02 7.118494700E-02 7.964766300E-02
1.066670514E+01 -1.473251900E-01 -1.106819930E-01 -1.713830300E-02 1.509816600E-02 2.880132100E-02 4.189100500E-02 5.655791500E-02 7.045736000E-02 7.820649000E-02
1.083333839E+01 -1.476392940E-01 -1.084880590E-01 -1.634629700E-02 1.534643500E-02 2.882154900E-02 4.175451900E-02 5.612900200E-02 6.949471400E-02 7.637331900E-02
1.100000000E+01 -1.480903630E-01 -1.053752490E-01 -1.522924700E-02 1.569545100E-02 2.887829100E-02 4.156427000E-02 5.554863200E-02 6.823590700E-02 7.416413200E-02
1.116672606E+01 -1.487316570E-01 -1.010267630E-01 -1.368164300E-02 1.617682900E-02 2.895713300E-02 4.130497900E-02 5.478921900E-02 6.670105700E-02 7.166730400E-02
1.133324570E+01 -1.496303400E-01 -9.508621100E-02 -1.159110000E-02 1.682300300E-02 2.903442100E-02 4.096251000E-02 5.383935500E-02 6.492789700E-02 6.902083100E-02
1.149996187E+01 -1.508639440E-01 -8.722464100E-02 -8.865175000E-03 1.765848500E-02 2.916351100E-02 4.052935800E-02 5.271949100E-02 6.301100200E-02 6.646783800E-02
1.166670514E+01 -1.525083340E-01 -7.727371500E-02 -5.478169000E-03 1.868521500E-02 2.929492700E-02 4.002112600E-02 5.149512400E-02 6.111914400E-02 6.419501000E-02
1.183333839E+01 -1.546118800E-01 -6.541949900E-02 -1.529756000E-03 1.986569600E-02 2.944313000E-02 3.944991200E-02 5.027766700E-02 5.945024000E-02 6.240514900E-02
1.200000000E+01 -1.571535030E-01 -5.237575800E-02 2.716326000E-03 2.111434800E-02 2.955158900E-02 3.887926400E-02 4.920547300E-02 5.817323400E-02 6.124110700E-02
1.216672606E+01 -1.517535000E-01 -3.936095700E-02 6.864137000E-03 2.231098700E-02 2.964917600E-02 3.838216600E-02 4.840867100E-02 5.739697400E-02 6.071664200E-02
1.233324570E+01 -1.209303850E-01 -2.773405000E-02 1.050959000E-02 2.333950500E-02 2.971666500E-02 3.803106700E-02 4.797289100E-02 5.714983900E-02 6.080492300E-02
1.249996187E+01 -9.502126300E-02 -1.843027300E-02 1.339543600E-02 2.413026200E-02 2.977727700E-02 3.787517700E-02 4.791729900E-02 5.738129400E-02 6.139902500E-02
1.266670514E+01 -7.564050000E-02 -1.025857600E-02 1.547467300E-02 2.467530000E-02 2.984949300E-02 3.792426700E-02 4.819520700E-02 5.798277200E-02 6.234999900E-02
1.283333839E+01 -6.212005000E-02 -5.556861000E-03 1.686199400E-02 2.500945400E-02 2.994434200E-02 3.814751700E-02 4.871593100E-02 5.882072400E-02 6.347135300E-02
1.300000000E+01 -5.277568800E-02 -2.371046000E-03 1.772096600E-02 2.518017400E-02 3.005843000E-02 3.848824000E-02 4.937682400E-02 5.976674200E-02 6.463923400E-02
