T Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
290 1.199654566E+00 1.202503391E+00 1.204854164E+00 1.206910417E+00 1.208855681E+00 1.210853035E+00 1.213039584E+00 1.215519514E+00 1.218359498E+00 1.221589353E+00 1.225209062E+00 1.229201162E+00 1.233544872E+00 1.238225622E+00 1.243235603E+00 1.248564457E+00 1.254200788E+00 1.260135983E+00 1.266326047E+00
295 1.201558209E+00 1.204822024E+00 1.207443200E+00 1.209667495E+00 1.211705779E+00 1.213736470E+00 1.215902417E+00 1.218306214E+00 1.221008510E+00 1.224033079E+00 1.227378246E+00 1.231031270E+00 1.234981221E+00 1.239226353E+00 1.243773465E+00 1.248631208E+00 1.253802732E+00 1.259284207E+00 1.265063648E+00
300 1.202279470E+00 1.206101480E+00 1.209114377E+00 1.211617276E+00 1.213859239E+00 1.216042514E+00 1.218320660E+00 1.220794952E+00 1.223515230E+00 1.226490134E+00 1.229705515E+00 1.233144101E+00 1.236799372E+00 1.240680558E+00 1.244809153E+00 1.249210416E+00 1.253904967E+00 1.258906787E+00 1.264223465E+00
305 1.202504741E+00 1.206990861E+00 1.210478613E+00 1.213421120E+00 1.215988940E+00 1.218419947E+00 1.220891744E+00 1.223524429E+00 1.226365886E+00 1.229413216E+00 1.232636609E+00 1.236006281E+00 1.239510763E+00 1.243162153E+00 1.246990788E+00 1.251034639E+00 1.255329329E+00 1.259904261E+00 1.264797952E+00
310 1.201681656E+00 1.207130345E+00 1.211335281E+00 1.214716159E+00 1.217623194E+00 1.220336536E+00 1.223063400E+00 1.225932806E+00 1.228994812E+00 1.232234035E+00 1.235599575E+00 1.239040610E+00 1.242531924E+00 1.246081726E+00 1.249724682E+00 1.253508576E+00 1.257482038E+00 1.261674041E+00 1.266174909E+00
315 1.198956641E+00 1.205402259E+00 1.210374918E+00 1.214354262E+00 1.217748940E+00 1.220888468E+00 1.224016503E+00 1.227282387E+00 1.230737709E+00 1.234350510E+00 1.238041410E+00 1.241730077E+00 1.245370596E+00 1.248962919E+00 1.252543993E+00 1.256170511E+00 1.259903479E+00 1.263791658E+00 1.267937101E+00
320 1.195626687E+00 1.203195253E+00 1.209042050E+00 1.213697559E+00 1.217629068E+00 1.221221487E+00 1.224765454E+00 1.228444457E+00 1.232326523E+00 1.236374556E+00 1.240484665E+00 1.244542508E+00 1.248471470E+00 1.252252745E+00 1.255917564E+00 1.259526328E+00 1.263149036E+00 1.266853127E+00 1.270750824E+00
325 1.190910006E+00 1.199659234E+00 1.206449663E+00 1.211846604E+00 1.216371173E+00 1.220465248E+00 1.224471677E+00 1.228615885E+00 1.232990857E+00 1.237561355E+00 1.242201216E+00 1.246758095E+00 1.251116445E+00 1.255229827E+00 1.259117044E+00 1.262838206E+00 1.266470041E+00 1.270090044E+00 1.273800006E+00
330 1.184132365E+00 1.193996398E+00 1.201724182E+00 1.207894603E+00 1.213072093E+00 1.217752007E+00 1.222329115E+00 1.227070662E+00 1.232093419E+00 1.237360561E+00 1.242717876E+00 1.247967322E+00 1.252946196E+00 1.257573637E+00 1.261851683E+00 1.265838013E+00 1.269615093E+00 1.273269782E+00 1.276922110E+00
335 1.177218801E+00 1.188195424E+00 1.196876440E+00 1.203829005E+00 1.209646796E+00 1.214874176E+00 1.219960843E+00 1.225226780E+00 1.230829764E+00 1.236751420E+00 1.242825016E+00 1.248811527E+00 1.254494130E+00 1.259744347E+00 1.264534750E+00 1.268911888E+00 1.272959233E+00 1.276770476E+00 1.280447850E+00
340 1.169498601E+00 1.181467938E+00 1.191041804E+00 1.198747978E+00 1.205191276E+00 1.210954821E+00 1.216539786E+00 1.222320354E+00 1.228501853E+00 1.235094353E+00 1.241928273E+00 1.248727749E+00 1.255218081E+00 1.261213465E+00 1.266646467E+00 1.271544772E+00 1.275988450E+00 1.280075784E+00 1.283869286E+00
