fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
00S1 9:41 294.3 39.4 1.000E+000 1.979E+000 1.892E-005 1.917E+004 2.696E+000 1.570E-008 1.449E-005 7.446E-002 1.448E-005 3.210E-007 2.976E-001 4.060E-002 7.886E-006 3.589E-003 
00S2 10:5 296.8 39.06 1.000E+000 1.970E+000 1.967E-005 1.767E+004 2.673E+000 1.765E-008 1.427E-005 6.905E-002 1.426E-005 2.893E-007 2.937E-001 3.740E-002 7.714E-006 5.502E-003 
00S3 10:28 299.2 38.75 1.000E+000 2.080E+000 1.611E-005 1.630E+004 2.689E+000 1.844E-008 1.493E-005 6.543E-002 1.492E-005 2.842E-007 2.910E-001 3.530E-002 8.029E-006 4.185E-003 
00S4 10:46 302.2 38.37 1.000E+000 2.095E+000 1.574E-005 1.467E+004 2.663E+000 2.107E-008 1.432E-005 5.847E-002 1.432E-005 2.394E-007 2.860E-001 3.130E-002 7.625E-006 4.415E-003 
00S5 11:8 305.1 38 1.000E+000 2.099E+000 1.734E-005 1.319E+004 2.638E+000 2.369E-008 1.458E-005 5.435E-002 1.458E-005 2.244E-007 2.832E-001 2.890E-002 7.736E-006 1.981E-003 
00S6 11:34 307.9 37.66 1.000E+000 2.152E+000 2.072E-005 1.185E+004 2.590E+000 2.858E-008 1.390E-005 4.976E-002 1.389E-005 1.934E-007 2.798E-001 2.630E-002 7.326E-006 3.738E-002 
00S7 11:58 310.3 37.36 1.000E+000 2.189E+000 1.611E-005 1.076E+004 2.615E+000 2.821E-008 1.452E-005 4.564E-002 1.451E-005 1.835E-007 2.771E-001 2.400E-002 7.615E-006 1.775E-003 
00S8 12:16 312.9 37.05 1.000E+000 2.164E+000 1.625E-005 9.653E+003 2.603E+000 3.072E-008 1.479E-005 4.238E-002 1.478E-005 1.721E-007 2.748E-001 2.220E-002 7.718E-006 4.448E-003 
00S9 12:40 315.5 36.75 1.000E+000 2.173E+000 1.650E-005 8.617E+003 2.598E+000 3.302E-008 1.462E-005 3.815E-002 1.461E-005 1.515E-007 2.719E-001 1.990E-002 7.577E-006 1.901E-003 
0S10 12:55 318.8 36.37 1.000E+000 2.231E+000 1.539E-005 7.406E+003 2.591E+000 3.619E-008 1.489E-005 3.424E-002 1.487E-005 1.371E-007 2.692E-001 1.780E-002 7.659E-006 1.512E-003 
0S11 13:19 322 36.01 1.000E+000 2.150E+000 1.653E-005 6.343E+003 2.573E+000 3.988E-008 1.410E-005 2.895E-002 1.409E-005 1.084E-007 2.658E-001 1.490E-002 7.228E-006 1.043E-001 
0S12 13:39 324.7 35.71 1.000E+000 2.109E+000 1.740E-005 5.530E+003 2.556E+000 4.346E-008 1.426E-005 2.640E-002 1.425E-005 9.936E-008 2.641E-001 1.360E-002 7.252E-006 3.659E-003 
0S13 14:2 327.5 35.4 1.000E+000 2.121E+000 1.784E-005 4.770E+003 2.531E+000 4.824E-008 1.472E-005 2.455E-002 1.470E-005 9.484E-008 2.628E-001 1.260E-002 7.467E-006 1.717E-003 
