fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
00T1 7:8 293.4 39.52 7.876E-001 2.410E-005 1.712E-009 3.683 1.269 3.012E+003 
00T2 7:34 296.5 39.1 8.356E-001 2.533E-005 2.967E-009 3.62 1.279 2.860E+003 
00T3 7:54 299.3 38.74 8.789E-001 2.406E-005 1.417E-009 3.418 1.192 2.726E+003 
00T4 8:16 301.9 38.4 9.191E-001 2.674E-005 3.986E-009 3.443 1.241 2.603E+003 
00T5 8:40 304.7 38.05 9.624E-001 2.635E-005 3.308E-009 3.298 1.196 2.474E+003 
00T6 9:4 307.1 37.75 9.996E-001 2.827E-005 2.880E-009 3.164 1.142 2.365E+003 
00T7 9:45 312.2 37.14 1.078E+000 2.902E-005 4.206E-009 3.087 1.133 2.138E+003 
00T8 10:10 314.6 36.85 1.116E+000 3.035E-005 3.841E-009 3.024 1.099 2.035E+003 
00T9 10:35 317.5 36.52 1.160E+000 3.171E-005 6.541E-009 2.955 1.112 1.911E+003 
0T10 11:7 321 36.12 1.215E+000 2.965E-005 2.020E-009 2.745 1.003 1.765E+003 
0T11 11:27 323 35.9 1.246E+000 3.523E-005 9.640E-009 2.832 1.09 1.683E+003 
0T12 11:49 325.9 35.58 1.290E+000 3.488E-005 4.991E-009 2.711 1.012 1.566E+003 
0T13 12:14 328.7 35.27 1.334E+000 3.379E-005 1.618E-009 2.564 0.9166 1.454E+003 
0T14 12:38 331.9 34.93 1.383E+000 3.913E-005 6.169E-009 2.58 0.9694 1.330E+003 
