N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 2.674522000E-02 2.654161800E-02 2.559329500E-02 2.394802200E-02 2.071390600E-02 1.466151100E-02 2.320245000E-03 -2.065066300E-02 -6.052350800E-02 -1.255047860E-01 -2.022448290E-01
1.016672606E+01 2.674443200E-02 2.654315100E-02 2.559909000E-02 2.396160600E-02 2.074259900E-02 1.471907800E-02 2.433598000E-03 -2.043712300E-02 -6.014611600E-02 -1.248997730E-01 -2.023114880E-01
1.033324570E+01 2.674327100E-02 2.654537700E-02 2.560753000E-02 2.398135100E-02 2.078430800E-02 1.480277400E-02 2.598438000E-03 -2.012655900E-02 -5.959701800E-02 -1.240186110E-01 -2.024086960E-01
1.049996187E+01 2.674157500E-02 2.654857200E-02 2.561973100E-02 2.400993200E-02 2.084470900E-02 1.492392900E-02 2.837031000E-03 -1.967684700E-02 -5.880127700E-02 -1.227398790E-01 -2.025500200E-01
1.066670514E+01 2.673906800E-02 2.655313700E-02 2.563726900E-02 2.405104700E-02 2.093155900E-02 1.509816600E-02 3.180264000E-03 -1.902965200E-02 -5.765490700E-02 -1.208940040E-01 -2.027545980E-01
1.083333839E+01 2.673536100E-02 2.655955800E-02 2.566222400E-02 2.410962700E-02 2.105532500E-02 1.534643500E-02 3.669428000E-03 -1.810659500E-02 -5.601750500E-02 -1.182499950E-01 -2.030489120E-01
1.100000000E+01 2.672985900E-02 2.656840300E-02 2.569722900E-02 2.419197700E-02 2.122936000E-02 1.569545100E-02 4.357361000E-03 -1.680720200E-02 -5.370772300E-02 -1.145051180E-01 -2.034683450E-01
1.116672606E+01 2.672167500E-02 2.658024400E-02 2.574537500E-02 2.430553600E-02 2.146945100E-02 1.617682900E-02 5.306611000E-03 -1.501189300E-02 -5.050716300E-02 -1.092868460E-01 -1.969675980E-01
1.133324570E+01 2.669638900E-02 2.659540500E-02 2.580972000E-02 2.445797100E-02 2.179185200E-02 1.682300300E-02 6.581616000E-03 -1.259622400E-02 -4.618398600E-02 -1.021843910E-01 -1.866523930E-01
1.149996187E+01 2.664950800E-02 2.660320700E-02 2.589233800E-02 2.465503500E-02 2.220896100E-02 1.765848500E-02 8.231296000E-03 -9.463696000E-03 -4.054982800E-02 -9.283528400E-02 -1.728434600E-01
1.166670514E+01 2.661833800E-02 2.660322100E-02 2.598587000E-02 2.489710800E-02 2.272198900E-02 1.868521500E-02 1.026017500E-02 -5.600977000E-03 -3.355984900E-02 -8.109088400E-02 -1.551165690E-01
1.183333839E+01 2.658180200E-02 2.662566600E-02 2.609604100E-02 2.517508000E-02 2.331256000E-02 1.986569600E-02 1.259462200E-02 -1.143740000E-03 -2.543814500E-02 -6.724476800E-02 -1.336619380E-01
1.200000000E+01 2.653426600E-02 2.664737900E-02 2.621930000E-02 2.546783800E-02 2.393799100E-02 2.111434800E-02 1.506552400E-02 3.587110000E-03 -1.675695500E-02 -5.221216800E-02 -1.096775260E-01
1.216672606E+01 2.647217400E-02 2.665760000E-02 2.633316700E-02 2.575039000E-02 2.453728100E-02 2.231098700E-02 1.743585800E-02 8.136347000E-03 -8.356218000E-03 -3.744586100E-02 -8.541610400E-02
1.233324570E+01 2.639747300E-02 2.663777100E-02 2.641620700E-02 2.598130000E-02 2.504937500E-02 2.333950500E-02 1.947935200E-02 1.206843500E-02 -1.058379000E-03 -2.445412900E-02 -6.350700200E-02
1.249996187E+01 2.630998300E-02 2.661015800E-02 2.646132000E-02 2.614904800E-02 2.543391200E-02 2.413026200E-02 2.106677600E-02 1.513923800E-02 4.668356000E-03 -1.415646300E-02 -4.578165800E-02
1.266670514E+01 2.620416300E-02 2.655623100E-02 2.646512100E-02 2.623188900E-02 2.567990200E-02 2.467530000E-02 2.219486900E-02 1.735417800E-02 8.834680000E-03 -6.593886000E-03 -3.256119000E-02
1.283333839E+01 2.608385000E-02 2.647100700E-02 2.641161400E-02 2.623797000E-02 2.579881600E-02 2.500945400E-02 2.294434700E-02 1.888199900E-02 1.176701200E-02 -1.199496000E-03 -2.299257900E-02
1.300000000E+01 2.594339300E-02 2.636057800E-02 2.632543200E-02 2.617491200E-02 2.581152900E-02 2.518017400E-02 2.341543200E-02 1.992328100E-02 1.384874800E-02 2.718381000E-03 -1.592559900E-02
