N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 2.633901900E-02 2.606211200E-02 2.488271500E-02 2.251910400E-02 1.771834000E-02 8.740368000E-03 -8.954597000E-03 -4.104834800E-02 -9.435925200E-02 -1.753924280E-01 -1.753248030E-01
1.016672606E+01 2.633923800E-02 2.606938900E-02 2.490489300E-02 2.256990000E-02 1.781792000E-02 8.912287000E-03 -8.546265000E-03 -4.030326500E-02 -9.310992000E-02 -1.735454930E-01 -1.756227290E-01
1.033324570E+01 2.633950600E-02 2.607476900E-02 2.492821500E-02 2.262958300E-02 1.794930400E-02 9.194459000E-03 -7.994158000E-03 -3.923393300E-02 -9.131371800E-02 -1.708818540E-01 -1.760534070E-01
1.049996187E+01 2.633978100E-02 2.608809700E-02 2.497143400E-02 2.273062700E-02 1.816061400E-02 9.643344000E-03 -7.179848000E-03 -3.771507000E-02 -8.875578500E-02 -1.670719480E-01 -1.766716140E-01
1.066670514E+01 2.633992900E-02 2.610530900E-02 2.503032200E-02 2.287063400E-02 1.846441500E-02 1.024950500E-02 -6.003529000E-03 -3.558938600E-02 -8.516297600E-02 -1.616871980E-01 -1.775501380E-01
1.083333839E+01 2.633965900E-02 2.613098600E-02 2.511390300E-02 2.306564100E-02 1.888241200E-02 1.109590500E-02 -4.411878000E-03 -3.267695900E-02 -8.021596900E-02 -1.542083840E-01 -1.787807090E-01
1.100000000E+01 2.633838700E-02 2.616487600E-02 2.522503500E-02 2.332495300E-02 1.943887600E-02 1.221810100E-02 -2.284339000E-03 -2.879887900E-02 -7.359452300E-02 -1.440801630E-01 -1.804697190E-01
1.116672606E+01 2.633505600E-02 2.620581900E-02 2.536563100E-02 2.365610500E-02 2.014796300E-02 1.361795900E-02 3.975970000E-04 -2.385951500E-02 -6.507719600E-02 -1.308507540E-01 -1.827234170E-01
1.133324570E+01 2.632803300E-02 2.625559400E-02 2.553587900E-02 2.405426200E-02 2.098384300E-02 1.530914000E-02 3.621982000E-03 -1.788673400E-02 -5.470141200E-02 -1.144257920E-01 -1.856176630E-01
1.149996187E+01 2.631525900E-02 2.630865500E-02 2.572541500E-02 2.449949100E-02 2.194271100E-02 1.713932000E-02 7.210071000E-03 -1.121053400E-02 -4.293849800E-02 -9.539233900E-02 -1.709700450E-01
1.166670514E+01 2.629478700E-02 2.635903200E-02 2.591806600E-02 2.495547100E-02 2.289771600E-02 1.900188600E-02 1.085011500E-02 -4.371141000E-03 -3.075053300E-02 -7.521189400E-02 -1.414123710E-01
1.183333839E+01 2.626118800E-02 2.640367200E-02 2.609429900E-02 2.537798500E-02 2.376564500E-02 2.073169400E-02 1.420155200E-02 1.951974000E-03 -1.937025800E-02 -5.595906600E-02 -1.121113130E-01
1.200000000E+01 2.622099900E-02 2.643340500E-02 2.623763600E-02 2.571400800E-02 2.450295400E-02 2.215068400E-02 1.698302500E-02 7.216966000E-03 -9.822633000E-03 -3.951849800E-02 -8.624551500E-02
1.216672606E+01 2.618202800E-02 2.644823600E-02 2.643838000E-02 2.595751200E-02 2.503854700E-02 2.322049400E-02 1.909184200E-02 1.122553100E-02 -2.510248000E-03 -2.675817200E-02 -6.565243800E-02
1.233324570E+01 2.613912900E-02 2.643759200E-02 2.648317400E-02 2.612701500E-02 2.540058200E-02 2.397118500E-02 2.059657400E-02 1.411389400E-02 2.799309000E-03 -1.738904700E-02 -5.023566100E-02
1.249996187E+01 2.608829700E-02 2.641828500E-02 2.650091600E-02 2.619984200E-02 2.562064000E-02 2.447432600E-02 2.164603800E-02 1.617321500E-02 6.640425000E-03 -1.052267100E-02 -3.873865800E-02
1.266670514E+01 2.602331300E-02 2.636665300E-02 2.646392000E-02 2.620803300E-02 2.573261300E-02 2.480031700E-02 2.238169000E-02 1.767567800E-02 9.513105000E-03 -5.293517000E-03 -2.982615900E-02
1.283333839E+01 2.593242900E-02 2.630935100E-02 2.639020300E-02 2.616298600E-02 2.576247800E-02 2.499925600E-02 2.290084500E-02 1.880379700E-02 1.174831300E-02 -1.138891000E-03 -2.259589000E-02
1.300000000E+01 2.581158000E-02 2.621042200E-02 2.618979000E-02 2.607121800E-02 2.572601200E-02 2.510027400E-02 2.325891800E-02 1.965887100E-02 1.352057400E-02 2.239143000E-03 -1.658768500E-02
