X Yfit
1.1900000E+2 1.2042000E-4
1.3800000E+2 1.2048000E-4
1.5700000E+2 1.2050000E-4
1.7600000E+2 1.2052000E-4
1.9500000E+2 1.2058000E-4
2.1400000E+2 1.2066000E-4
2.3300000E+2 1.2070000E-4
2.5200000E+2 1.2072000E-4
2.7100000E+2 1.2074000E-4
2.9000000E+2 1.2076000E-4
3.0900000E+2 1.2084000E-4
3.2800000E+2 1.2092000E-4
3.4700000E+2 1.2094000E-4
3.6600000E+2 1.2094000E-4
3.8500000E+2 1.2094000E-4
4.0400000E+2 1.2096000E-4
4.2300000E+2 1.2102000E-4
4.4200000E+2 1.2110000E-4
4.6100000E+2 1.2116000E-4
4.8000000E+2 1.2118000E-4
4.9900000E+2 1.2120000E-4
5.1800000E+2 1.2126000E-4
5.3700000E+2 1.2134000E-4
5.5600000E+2 1.2138000E-4
5.7500000E+2 1.2142000E-4
5.9400000E+2 1.2142000E-4
6.1300000E+2 1.2142000E-4
6.3200000E+2 1.2146000E-4
6.5100000E+2 1.2150000E-4
6.7000000E+2 1.2152000E-4
6.8900000E+2 1.2152000E-4
7.0800000E+2 1.2152000E-4
7.2700000E+2 1.2156000E-4
7.4600000E+2 1.2162000E-4
7.6500000E+2 1.2166000E-4
7.8400000E+2 1.2170000E-4
8.0300000E+2 1.2172000E-4
8.2200000E+2 1.2174000E-4
8.4100000E+2 1.2182000E-4
8.6000000E+2 1.2190000E-4
8.7900000E+2 1.2192000E-4
8.9800000E+2 1.2192000E-4
9.1700000E+2 1.2192000E-4
9.3600000E+2 1.2192000E-4
9.5500000E+2 1.2200000E-4
9.7400000E+2 1.2208000E-4
9.9300000E+2 1.2210000E-4
1.0120000E+3 1.2210000E-4
1.0310000E+3 1.2210000E-4
1.0500000E+3 1.2210000E-4
1.0690000E+3 1.2216000E-4
1.0880000E+3 1.2222000E-4
1.1070000E+3 1.2222000E-4
1.1260000E+3 1.2222000E-4
1.1450000E+3 1.2224000E-4
1.1640000E+3 1.2228000E-4
1.1830000E+3 1.2236000E-4
1.2020000E+3 1.2242000E-4
1.2210000E+3 1.2244000E-4
1.2400000E+3 1.2242000E-4
1.2590000E+3 1.2246000E-4
1.2780000E+3 1.2252000E-4
1.2970000E+3 1.2258000E-4
1.3160000E+3 1.2260000E-4
1.3350000E+3 1.2264000E-4
1.3550000E+3 1.2260000E-4
1.3730000E+3 1.2262000E-4
1.3920000E+3 1.2264000E-4
1.4120000E+3 1.2264000E-4
1.4300000E+3 1.2264000E-4
1.4490000E+3 1.2268000E-4
1.4680000E+3 1.2270000E-4
1.4870000E+3 1.2276000E-4
1.5060000E+3 1.2282000E-4
1.5250000E+3 1.2284000E-4
1.5440000E+3 1.2284000E-4
1.5630000E+3 1.2286000E-4
1.5820000E+3 1.2292000E-4
1.6010000E+3 1.2296000E-4
1.6200000E+3 1.2296000E-4
1.6390000E+3 1.2296000E-4
1.6580000E+3 1.2294000E-4
1.6770000E+3 1.2292000E-4
1.6960000E+3 1.2302000E-4
1.7150000E+3 1.2308000E-4
1.7340000E+3 1.2310000E-4
1.7530000E+3 1.2310000E-4
1.7720000E+3 1.2312000E-4
1.7910000E+3 1.2314000E-4
1.8100000E+3 1.2320000E-4
1.8290000E+3 1.2324000E-4
1.8480000E+3 1.2326000E-4
1.8670000E+3 1.2324000E-4
1.8860000E+3 1.2324000E-4
1.9050000E+3 1.2330000E-4
1.9240000E+3 1.2336000E-4
1.9430000E+3 1.2340000E-4
1.9620000E+3 1.2342000E-4
1.9810000E+3 1.2342000E-4
2.0000000E+3 1.2346000E-4
2.0200000E+3 1.2348000E-4
2.0380000E+3 1.2350000E-4
2.0570000E+3 1.2352000E-4
2.0760000E+3 1.2352000E-4
2.0950000E+3 1.2352000E-4
2.1140000E+3 1.2362000E-4
2.1330000E+3 1.2370000E-4
2.1520000E+3 1.2372000E-4
2.1710000E+3 1.2374000E-4
2.1900000E+3 1.2374000E-4
2.2090000E+3 1.2374000E-4
2.2280000E+3 1.2380000E-4
2.2470000E+3 1.2386000E-4
2.2660000E+3 1.2390000E-4
2.2850000E+3 1.2390000E-4
2.3040000E+3 1.2390000E-4
2.3230000E+3 1.2394000E-4
2.3420000E+3 1.2400000E-4
2.3610000E+3 1.2400000E-4
2.3800000E+3 1.2402000E-4
2.3990000E+3 1.2402000E-4
2.4180000E+3 1.2400000E-4
2.4370000E+3 1.2404000E-4
2.4560000E+3 1.2412000E-4
2.4750000E+3 1.2416000E-4
2.4940000E+3 1.2416000E-4
2.5130000E+3 1.2416000E-4
2.5320000E+3 1.2420000E-4
2.5510000E+3 1.2428000E-4
2.5700000E+3 1.2428000E-4
2.5890000E+3 1.2432000E-4
2.6080000E+3 1.2434000E-4
2.6270000E+3 1.2434000E-4
2.6460000E+3 1.2436000E-4
2.6650000E+3 1.2448000E-4
2.6840000E+3 1.2452000E-4
2.7040000E+3 1.2452000E-4
2.7220000E+3 1.2452000E-4
2.7410000E+3 1.2454000E-4
2.7600000E+3 1.2456000E-4
2.7790000E+3 1.2460000E-4
2.7980000E+3 1.2462000E-4
2.8180000E+3 1.2462000E-4
2.8360000E+3 1.2462000E-4
2.8550000E+3 1.2466000E-4
2.8740000E+3 1.2470000E-4
2.8930000E+3 1.2474000E-4
2.9120000E+3 1.2476000E-4
2.9310000E+3 1.2476000E-4
2.9500000E+3 1.2478000E-4
2.9690000E+3 1.2486000E-4
2.9880000E+3 1.2492000E-4
3.0070000E+3 1.2496000E-4
3.0260000E+3 1.2496000E-4
3.0450000E+3 1.2494000E-4
3.0640000E+3 1.2496000E-4
3.0830000E+3 1.2504000E-4
3.1020000E+3 1.2508000E-4
3.1210000E+3 1.2512000E-4
3.1400000E+3 1.2512000E-4
3.1590000E+3 1.2512000E-4
3.1780000E+3 1.2516000E-4
3.1970000E+3 1.2524000E-4
3.2160000E+3 1.2524000E-4
3.2350000E+3 1.2526000E-4
3.2540000E+3 1.2524000E-4
3.2730000E+3 1.2524000E-4
3.2920000E+3 1.2526000E-4
3.3120000E+3 1.2532000E-4
3.3300000E+3 1.2536000E-4
3.3490000E+3 1.2538000E-4
3.3680000E+3 1.2538000E-4
3.3870000E+3 1.2544000E-4
3.4060000E+3 1.2552000E-4
3.4250000E+3 1.2552000E-4
3.4440000E+3 1.2554000E-4
3.4630000E+3 1.2554000E-4
3.4820000E+3 1.2552000E-4
3.5010000E+3 1.2556000E-4
3.5200000E+3 1.2564000E-4
3.5390000E+3 1.2566000E-4
3.5580000E+3 1.2568000E-4
3.5770000E+3 1.2568000E-4
3.5960000E+3 1.2568000E-4
3.6150000E+3 1.2574000E-4
3.6340000E+3 1.2582000E-4
3.6530000E+3 1.2582000E-4
3.6720000E+3 1.2584000E-4
3.6910000E+3 1.2586000E-4
3.7100000E+3 1.2590000E-4
3.7290000E+3 1.2594000E-4
3.7480000E+3 1.2598000E-4
3.7670000E+3 1.2598000E-4
3.7860000E+3 1.2598000E-4
3.8050000E+3 1.2600000E-4
3.8240000E+3 1.2606000E-4
3.8430000E+3 1.2614000E-4
3.8620000E+3 1.2620000E-4
3.8810000E+3 1.2620000E-4
3.9000000E+3 1.2620000E-4
3.9190000E+3 1.2622000E-4
3.9380000E+3 1.2628000E-4
3.9570000E+3 1.2632000E-4
3.9760000E+3 1.2634000E-4
3.9950000E+3 1.2632000E-4
4.0140000E+3 1.2630000E-4
4.0330000E+3 1.2634000E-4
4.0520000E+3 1.2640000E-4
4.0710000E+3 1.2644000E-4
4.0900000E+3 1.2646000E-4
4.1090000E+3 1.2646000E-4
4.1280000E+3 1.2644000E-4
4.1470000E+3 1.2648000E-4
4.1660000E+3 1.2654000E-4
4.1850000E+3 1.2656000E-4
4.2040000E+3 1.2656000E-4
4.2230000E+3 1.2658000E-4
4.2420000E+3 1.2660000E-4
4.2610000E+3 1.2668000E-4
4.2800000E+3 1.2676000E-4
4.2990000E+3 1.2680000E-4
4.3180000E+3 1.2678000E-4
4.3370000E+3 1.2678000E-4
4.3560000E+3 1.2682000E-4
4.3750000E+3 1.2690000E-4
4.3940000E+3 1.2698000E-4
4.4130000E+3 1.2702000E-4
4.4320000E+3 1.2702000E-4
4.4510000E+3 1.2698000E-4
4.4700000E+3 1.2702000E-4
4.4890000E+3 1.2706000E-4
4.5090000E+3 1.2708000E-4
4.5270000E+3 1.2708000E-4
4.5460000E+3 1.2710000E-4
4.5650000E+3 1.2710000E-4
4.5840000E+3 1.2716000E-4
4.6030000E+3 1.2724000E-4
4.6220000E+3 1.2728000E-4
4.6410000E+3 1.2730000E-4
4.6600000E+3 1.2732000E-4
4.6790000E+3 1.2736000E-4
4.6980000E+3 1.2744000E-4
4.7170000E+3 1.2748000E-4
4.7360000E+3 1.2750000E-4
4.7550000E+3 1.2750000E-4
4.7740000E+3 1.2750000E-4
4.7930000E+3 1.2754000E-4
4.8120000E+3 1.2764000E-4
4.8310000E+3 1.2766000E-4
4.8500000E+3 1.2764000E-4
4.8690000E+3 1.2762000E-4
4.8880000E+3 1.2762000E-4
4.9070000E+3 1.2764000E-4
4.9260000E+3 1.2772000E-4
4.9450000E+3 1.2778000E-4
4.9640000E+3 1.2782000E-4
4.9830000E+3 1.2782000E-4
5.0020000E+3 1.2784000E-4
5.0210000E+3 1.2792000E-4
5.0400000E+3 1.2796000E-4
5.0590000E+3 1.2794000E-4
5.0780000E+3 1.2794000E-4
5.0970000E+3 1.2796000E-4
5.1160000E+3 1.2798000E-4
5.1350000E+3 1.2808000E-4
5.1540000E+3 1.2812000E-4
5.1730000E+3 1.2812000E-4
5.1920000E+3 1.2810000E-4
5.2110000E+3 1.2810000E-4
5.2300000E+3 1.2812000E-4
5.2490000E+3 1.2820000E-4
5.2680000E+3 1.2822000E-4
5.2870000E+3 1.2824000E-4
5.3060000E+3 1.2822000E-4
5.3250000E+3 1.2822000E-4
5.3440000E+3 1.2828000E-4
5.3630000E+3 1.2838000E-4
5.3820000E+3 1.2840000E-4
5.4010000E+3 1.2840000E-4
5.4200000E+3 1.2838000E-4
5.4390000E+3 1.2840000E-4
5.4580000E+3 1.2844000E-4
5.4770000E+3 1.2848000E-4
5.4960000E+3 1.2850000E-4
5.5150000E+3 1.2854000E-4
5.5340000E+3 1.2854000E-4
5.5530000E+3 1.2858000E-4
5.5720000E+3 1.2866000E-4
5.5910000E+3 1.2872000E-4
5.6100000E+3 1.2872000E-4
5.6290000E+3 1.2872000E-4
5.6480000E+3 1.2874000E-4
5.6670000E+3 1.2880000E-4
5.6860000E+3 1.2884000E-4
5.7050000E+3 1.2886000E-4
5.7240000E+3 1.2888000E-4
5.7430000E+3 1.2888000E-4
5.7620000E+3 1.2890000E-4
5.7810000E+3 1.2898000E-4
5.8000000E+3 1.2904000E-4
5.8190000E+3 1.2906000E-4
5.8380000E+3 1.2904000E-4
5.8570000E+3 1.2904000E-4
5.8760000E+3 1.2908000E-4
5.8950000E+3 1.2914000E-4
5.9140000E+3 1.2916000E-4
5.9330000E+3 1.2918000E-4
5.9520000E+3 1.2916000E-4
5.9710000E+3 1.2914000E-4
5.9900000E+3 1.2920000E-4
6.0090000E+3 1.2926000E-4
6.0280000E+3 1.2930000E-4
6.0470000E+3 1.2932000E-4
