fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc FF Pm Vm Im rmsre 
00L1 29132 320.12 36.218 1.000000000E+00 7.833386443E-01 1.714216833E-09 1.392674100E+03 1.829626336E+00 3.914053319E-07 1.840114127E-04 2.121371666E-01 1.581959620E-04 3.704404713E-01 1.243170185E-05 1.229510075E-01 1.014709630E-04 9.310867890E-02 
00L2 29260 320.07 36.224 1.000000000E+00 8.431150373E-01 1.916058185E-09 3.578750471E+03 3.433847660E+00 1.145076825E-05 1.649588875E-04 2.124710773E-01 1.579438944E-04 3.703178027E-01 1.242731346E-05 1.237968285E-01 1.007924096E-04 1.036072822E-01 
00L3 29362 320.02 36.23 1.000000000E+00 8.253718965E-01 1.790493962E-09 1.788697941E+03 2.293249243E+00 1.542148127E-06 1.709738655E-04 2.125933815E-01 1.586297680E-04 3.694958733E-01 1.246074537E-05 1.239899529E-01 1.004041563E-04 1.272635699E-01 
00L4 29464 320.05 36.226 1.000000000E+00 8.101803389E-01 1.788353900E-09 2.200585895E+03 2.633118597E+00 3.475701063E-06 1.675166568E-04 2.118746700E-01 1.577025793E-04 3.711110851E-01 1.240000221E-05 1.231461800E-01 1.006048556E-04 1.408554985E-01 
00L5 29564 320.04 36.227 1.000000000E+00 8.197998479E-01 1.770135882E-09 1.828396560E+03 2.337152626E+00 1.751103879E-06 1.701676345E-04 2.123426311E-01 1.569971756E-04 3.701566441E-01 1.233998362E-05 1.233172773E-01 1.004472368E-04 1.127511637E-01 
00L6 29660 320.02 36.23 1.000000000E+00 8.170912744E-01 1.792933850E-09 2.411907873E+03 2.835198322E+00 5.013204978E-06 1.669980462E-04 2.121987411E-01 1.573077816E-04 3.698683979E-01 1.234639695E-05 1.241269402E-01 9.989429133E-05 9.587387238E-02 
00L7 29764 319.99 36.233 1.000000000E+00 8.218175263E-01 1.761315655E-09 1.863891323E+03 2.393976748E+00 1.997596669E-06 1.700772027E-04 2.123728897E-01 1.573760960E-04 3.699519077E-01 1.236468666E-05 1.230136346E-01 1.008750772E-04 1.046991851E-01 
00L8 29862 319.99 36.233 1.000000000E+00 8.006417232E-01 1.674655263E-09 1.540114107E+03 2.011856662E+00 7.169459577E-07 1.794950232E-04 2.124776119E-01 1.570044977E-04 3.700088732E-01 1.234347408E-05 1.235743093E-01 1.002759117E-04 1.344844615E-01 
00L9 30080 319.96 36.236 1.000000000E+00 9.295119676E-01 2.029956777E-09 1.469433654E+03 1.746028783E+00 3.543348506E-07 1.416830825E-04 1.826734360E-01 1.182503198E-04 3.734748606E-01 8.067502256E-06 1.053774393E-01 7.458458083E-05 8.933319528E-02 
0L10 30204 319.85 36.249 1.000000000E+00 9.188555523E-01 1.947546378E-09 1.465618235E+03 1.733406256E+00 3.372143590E-07 1.427561435E-04 1.836025490E-01 1.193158488E-04 3.737486617E-01 8.187597557E-06 1.058530870E-01 7.537581394E-05 9.011815095E-02 
0L11 30306 319.87 36.247 1.000000000E+00 9.251272346E-01 1.987840517E-09 1.481739782E+03 1.788361284E+00 4.077074819E-07 1.433406317E-04 1.843627918E-01 1.199261882E-04 3.738173676E-01 8.265074657E-06 1.061365694E-01 7.588221932E-05 8.641538006E-02 
0L12 30406 319.93 36.24 1.000000000E+00 9.054465609E-01 1.917498833E-09 1.407410459E+03 1.669542199E+00 2.469222633E-07 1.463274104E-04 1.851166950E-01 1.216095458E-04 3.733823449E-01 8.405567368E-06 1.066420688E-01 7.684786617E-05 1.012758191E-01 
0L13 30506 319.96 36.236 1.000000000E+00 9.149111952E-01 2.014185293E-09 1.637461176E+03 1.888038045E+00 5.866721227E-07 1.365636281E-04 1.864341808E-01 1.225341041E-04 3.717374067E-01 8.492172035E-06 1.074881838E-01 7.707424660E-05 8.535299135E-02 
0L14 30606 319.97 36.235 1.000000000E+00 9.143635309E-01 1.980495803E-09 1.486545794E+03 1.805475771E+00 4.312634177E-07 1.460202277E-04 1.872609531E-01 1.231678323E-04 3.713445372E-01 8.564885610E-06 1.072948184E-01 7.790541655E-05 8.030472050E-02 
