N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 -4.229527000E-03 -2.457354600E-02 -6.456915500E-02 -1.376982300E-01 -1.590613010E-01 -1.248840160E-01 -4.895960200E-02 1.099629100E-02 1.856672100E-02 2.839659500E-02 4.036707500E-02
1.600000000E+01 3.033462600E-02 3.012570700E-02 2.999154400E-02 3.015014500E-02 2.938111000E-02 2.713597900E-02 2.318806300E-02 1.432163400E-02 -2.122217000E-03 -3.017960700E-02 -7.692087100E-02
1.700000000E+01 4.501265900E-02 4.658079100E-02 5.553843300E-02 5.416504000E-02 5.840041100E-02 6.297893400E-02 6.856704000E-02 7.308728000E-02 7.710404600E-02 8.129899200E-02 8.533115100E-02
1.549996187E+01 2.258968700E-02 2.064456000E-02 1.726492800E-02 9.305888000E-03 -5.856303000E-03 -3.451199400E-02 -8.573819000E-02 -1.663243470E-01 -1.675161830E-01 -1.290900550E-01 -5.409854100E-02
1.649996187E+01 4.816680300E-02 4.838070300E-02 4.969685100E-02 5.118741300E-02 5.268821700E-02 5.533530300E-02 5.728641700E-02 5.879414900E-02 6.052275300E-02 5.974543200E-02 5.658009900E-02
1.674996808E+01 5.027130100E-02 5.139724000E-02 5.383371500E-02 5.654821100E-02 5.934048500E-02 6.309280000E-02 6.661051800E-02 6.996606500E-02 7.395696700E-02 7.603366200E-02 7.676426600E-02
1.624993176E+01 3.969401900E-02 3.951392800E-02 3.976448500E-02 4.076206500E-02 4.142053600E-02 4.136472100E-02 4.186590100E-02 4.042324700E-02 3.652015800E-02 2.945238100E-02 1.349314400E-02
1.574996808E+01 2.613832600E-02 2.598296100E-02 2.498901300E-02 2.285598700E-02 1.856988000E-02 1.045931700E-02 -6.620550000E-03 -3.717808100E-02 -8.747955300E-02 -1.642346220E-01 -1.709976320E-01
1.524993176E+01 1.326013700E-02 7.694384000E-03 -4.667115000E-03 -2.979059700E-02 -7.713429400E-02 -1.565637750E-01 -1.634743240E-01 -1.252247140E-01 -4.635946300E-02 9.620784000E-03 1.529293200E-02
