T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 6.426760000E-03 1.668878200E-02 2.359961700E-02 2.625345300E-02 3.049643500E-02 4.106995600E-02 5.254015400E-02 5.977215000E-02 6.184962600E-02
295 -1.769384000E-03 1.481387800E-02 2.285807200E-02 2.640112800E-02 2.999776000E-02 3.987867900E-02 5.080119000E-02 5.784625900E-02 5.918732000E-02
300 -1.767695300E-02 1.012368100E-02 2.188226400E-02 2.609866300E-02 2.968413900E-02 3.906885500E-02 4.979017300E-02 5.653454100E-02 5.797506200E-02
305 -4.929167500E-02 2.177040000E-04 1.855907000E-02 2.538753500E-02 2.973445900E-02 3.885311300E-02 4.886463400E-02 5.544638400E-02 5.689271000E-02
310 -1.058649800E-01 -1.926196100E-02 1.286918000E-02 2.378143100E-02 2.939846000E-02 3.861117900E-02 4.834993900E-02 5.492228400E-02 5.625111800E-02
315 -1.472439250E-01 -5.501876900E-02 1.475629000E-03 2.075183200E-02 2.867521700E-02 3.802939400E-02 4.866489800E-02 5.500633700E-02 5.629892600E-02
320 -9.713325700E-02 -1.154251250E-01 -2.011972000E-02 1.423423300E-02 2.742596500E-02 3.826945600E-02 4.903094500E-02 5.561693100E-02 5.748326800E-02
325 5.905140000E-04 -1.545865280E-01 -5.764378200E-02 2.007257000E-03 2.419024900E-02 3.790888300E-02 4.959377200E-02 5.679830000E-02 5.908440400E-02
330 8.541979000E-03 -1.035446000E-01 -1.172057560E-01 -1.927499900E-02 1.799561900E-02 3.675627400E-02 5.068557000E-02 5.890342200E-02 6.141239000E-02
335 1.453760400E-02 -8.030526000E-03 -1.643893270E-01 -5.579183200E-02 6.991316000E-03 3.464542900E-02 5.108594800E-02 6.085293000E-02 6.496808700E-02
340 2.268742000E-02 7.364336000E-03 -1.165470590E-01 -1.118335010E-01 -1.307447200E-02 2.807066100E-02 5.087410400E-02 6.288828800E-02 6.861038500E-02
