N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.365265300E-02 1.270491300E-02 1.161739400E-02 1.053204900E-02
1.600000000E+01 1.425928500E-02 1.450051500E-02 1.343863100E-02 1.493143400E-02
1.700000000E+01 6.987891900E-02 6.810024000E-02 6.648955900E-02 6.622546700E-02
1.549996187E+01 -1.558218710E-01 -1.573280520E-01 -1.533036120E-01 -1.472949980E-01
1.649996187E+01 5.331356900E-02 5.382812800E-02 5.346467800E-02 5.293458000E-02
1.674996808E+01 6.541536700E-02 6.339051800E-02 6.307910200E-02 6.236532600E-02
1.624993176E+01 3.720464600E-02 3.759534000E-02 3.759361900E-02 3.716772600E-02
1.574996808E+01 -3.355984900E-02 -3.413278900E-02 -3.321104300E-02 -3.075053300E-02
1.524993176E+01 -1.101855540E-01 -1.016232320E-01 -9.515130800E-02 -9.050106700E-02
