fname time Tem kT_1 A Rs Io Rsh dev 
01FR 1fr.dat 292 39.71 2.083E+001 3.252E+003 6.775E-010 1.000E+015 5.650E-003 
02FR 2fr.dat 292 39.71 2.280E+001 3.991E+003 3.152E-010 1.000E+015 6.247E-003 
03FR 3fr.dat 292 39.71 2.210E+001 3.546E+003 4.205E-010 1.000E+015 4.811E-003 
04FR 4fr.dat 295 39.3 2.147E+001 2.464E+003 7.950E-010 1.000E+015 4.636E-003 
05FR 5fr.dat 295 39.3 2.431E+001 2.557E+003 3.806E-010 1.000E+015 4.939E-003 
06FR 6fr.dat 295 39.3 2.134E+001 4.196E+003 6.230E-010 1.000E+015 1.020E-002 
07FR 7fr.dat 295 39.3 2.091E+001 3.487E+003 5.934E-010 1.000E+015 6.536E-003 
08FR 8fr.dat 297.1 39.02 2.009E+001 3.376E+003 8.266E-010 1.000E+015 5.092E-003 
09FR 9fr.dat 297 39.04 2.010E+001 3.336E+003 7.700E-010 1.000E+015 5.282E-003 
10FR 10fr.dat 300.1 38.63 2.026E+001 3.766E+003 9.179E-010 1.000E+015 5.808E-003 
11FR 11fr.dat 300 38.65 1.995E+001 3.469E+003 9.102E-010 1.000E+015 7.740E-003 
12FR 12fr.dat 300 38.65 2.016E+001 3.081E+003 8.904E-010 1.000E+015 4.400E-003 
13FR 13fr.dat 302.1 38.38 2.006E+001 3.311E+003 1.113E-009 1.000E+015 4.052E-003 
14FR 14fr.dat 302 38.39 2.041E+001 3.431E+003 9.448E-010 1.000E+015 5.663E-003 
15FR 15fr.dat 302 38.39 2.048E+001 3.476E+003 9.397E-010 1.000E+015 4.789E-003 
16FR 16fr.dat 305 38.01 2.025E+001 3.046E+003 1.301E-009 1.000E+015 4.500E-003 
17FR 17fr.dat 305 38.01 2.005E+001 2.924E+003 1.370E-009 1.000E+015 5.918E-003 
18FR 18fr.dat 305 38.01 2.021E+001 2.840E+003 1.235E-009 1.000E+015 4.335E-003 
19A11FR 19A11fr.dat 307 37.77 2.038E+001 2.894E+003 1.407E-009 1.000E+015 6.138E-003 
19A1FR 19A1fr.dat 307 37.77 2.005E+001 2.751E+003 1.562E-009 1.000E+015 6.110E-003 
