X GE200N GE300N Orion400N Orion600N Orion700N Osram200N Osram400N Osram600N Osram700N
4.64000E+2 2.47819E-3 4.06786E-2 1.18179E-2 5.16817E-2 6.38288E-2 3.69486E-3 1.41411E-2 4.72602E-2 5.77447E-2
4.65000E+2 5.65127E-3 4.11203E-2 1.38218E-2 5.25394E-2 6.54321E-2 4.49719E-3 1.64136E-2 4.74002E-2 5.80313E-2
4.66000E+2 7.92604E-3 4.28769E-2 1.50141E-2 5.31031E-2 6.61032E-2 3.05523E-3 1.49870E-2 4.81357E-2 6.08727E-2
4.67000E+2 1.31295E-2 4.56625E-2 1.58781E-2 5.43296E-2 6.67069E-2 4.53395E-3 1.66869E-2 4.90725E-2 6.06084E-2
4.68000E+2 1.27365E-2 4.84038E-2 1.69403E-2 5.53581E-2 6.71499E-2 5.62492E-3 1.83961E-2 5.02414E-2 6.18105E-2
4.69000E+2 1.52610E-2 5.11189E-2 1.82908E-2 5.60950E-2 6.83450E-2 6.92694E-3 1.98241E-2 5.18726E-2 6.30092E-2
4.70000E+2 1.72791E-2 5.44928E-2 1.94300E-2 5.72521E-2 6.97535E-2 7.74387E-3 2.17649E-2 5.28826E-2 6.42570E-2
4.71000E+2 1.94767E-2 5.67593E-2 2.06816E-2 5.89694E-2 7.09288E-2 9.19426E-3 2.33123E-2 5.43529E-2 6.53994E-2
4.72000E+2 2.21043E-2 5.88652E-2 2.19726E-2 5.97712E-2 7.13197E-2 1.02231E-2 2.47713E-2 5.57530E-2 6.67327E-2
4.73000E+2 2.39849E-2 6.11651E-2 2.28798E-2 6.03836E-2 7.20178E-2 1.16299E-2 2.63582E-2 5.69690E-2 6.79784E-2
4.74000E+2 2.67594E-2 6.29059E-2 2.37724E-2 6.15752E-2 7.30662E-2 1.21165E-2 2.74496E-2 5.80989E-2 6.93894E-2
4.75000E+2 3.03889E-2 6.49751E-2 2.46224E-2 6.22441E-2 7.36952E-2 1.32547E-2 2.88123E-2 5.95615E-2 7.06457E-2
4.76000E+2 3.17964E-2 6.77168E-2 2.59949E-2 6.30262E-2 7.39358E-2 1.45488E-2 3.02034E-2 6.19613E-2 7.17032E-2
