V d42 d61c d64b V1 d61a V2 d64a
-1.200000e+00 2.719500e-09 1.643710e-09 1.345369e-09 -1.200000e+00 1.488445e-09 -1.200000e+00 1.022275e-09
-1.000000e+00 2.992287e-09 1.881701e-09 1.522363e-09 -1.000000e+00 1.632436e-09 -1.000000e+00 1.306286e-09
-8.000000e-01 3.384601e-09 2.097545e-09 1.742639e-09 -8.000000e-01 1.880193e-09 -8.000000e-01 1.505898e-09
-6.000000e-01 3.758352e-09 2.371225e-09 1.979357e-09 -6.000000e-01 2.095443e-09 -6.000000e-01 2.249810e-09
-4.000000e-01 4.194598e-09 2.851495e-09 2.316474e-09 -4.000000e-01 2.494244e-09 -6.000000e-01 2.249810e-09
-2.000000e-01 5.329606e-09 3.466570e-09 3.095755e-09 -4.000000e-01 2.494244e-09 -4.000000e-01 2.538412e-09
0.000000e+00 6.147427e-09 4.343822e-09 3.094430e-09 -2.000000e-01 3.127685e-09 -2.000000e-01 3.160385e-09
2.000000e-01 8.295915e-09 7.010525e-09 5.390016e-09 0.000000e+00 4.374558e-09 0.000000e+00 3.550831e-09
4.000000e-01 2.963076e-08 9.762649e-09 6.529206e-09 2.000000e-01 6.628049e-09 2.000000e-01 4.680285e-09
NaN NaN NaN NaN 4.000000e-01 8.326747e-09 4.000000e-01 8.896864e-09
