ND320 D320 ND320uP D320uP ND320uR D320uR ND360 D360 ND520 D520 ND520uP D520uP ND520uR D520uR ND560 D560 ND560uP D560uP
d41 0.249249 d42 0.247560 d84a 0.136498 d33a 0.362495 d43s 0.217873 d44b 0.042952 d81a 0.248693 d71a 0.193786 d72a 0.285761
d63a -0.018345 d61a 0.134500 d84b 0.142259 d33b 0.363022 d43b 0.158465 d52a 4.004094 d81b 0.232462 d71b 0.122076 d72b 0.365632
d63b 0.242996 d61c 0.150382 NaN NaN d35 0.540582 d51a 0.118728 d52b 0.311405 d81c 0.135577 NaN NaN d72c 0.110283
d83a 0.156691 d64a -0.056724 NaN NaN NaN NaN d51b 0.096816 d54a 2.302203 NaN NaN NaN NaN NaN NaN
d83b 0.212025 d64b 0.159478 NaN NaN NaN NaN d51c 0.205094 d54b -0.123779 NaN NaN NaN NaN NaN NaN
d62a 0.084331 NaN NaN NaN NaN NaN NaN d51d 0.412577 d54c 0.162514 NaN NaN NaN NaN NaN NaN
d62b 0.094264 NaN NaN NaN NaN NaN NaN d73a 0.140872 d74a 0.491959 NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d73b 0.026812 d74b 0.111377 NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d73c 0.186486 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d82a 0.200211 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d82b 0.168337 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d53a 0.011742 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d53b 0.313442 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN d53c 1.151972 NaN NaN NaN NaN NaN NaN NaN NaN
