Series	Name	Fb
D320	d41	0.249249
D320	d63a	-0.018345
D320	d63b	0.242996
D320	d83a	0.156691
D320	d83b	0.212025
D320	d62a	0.084331
D320	d62b	0.094264
D320uP	d42	0.247560
D320uP	d61a	0.134500
D320uP	d61c	0.150382
D320uP	d64a	-0.056724
D320uP	d64b	0.159478
D320uR	d84a	0.136498
D320uR	d84b	0.142259
D360	d33a	0.362495
D360	d33b	0.363022
D360	d35	0.540582
D520	d43s	0.217873
D520	d43b	0.158465
D520	d51a	0.118728
D520	d51b	0.096816
D520	d51c	0.205094
D520	d51d	0.412577
D520	d73a	0.140872
D520	d73b	0.026812
D520	d73c	0.186486
D520	d82a	0.200211
D520	d82b	0.168337
D520	d53a	0.011742
D520	d53b	0.313442
D520	d53c	1.151972
D520uP	d44b	0.042952
D520uP	d52a	4.004094
D520uP	d52b	0.311405
D520uP	d54a	2.302203
D520uP	d54b	-0.123779
D520uP	d54c	0.162514
D520uP	d74a	0.491959
D520uP	d74b	0.111377
D520uR	d81a	0.248693
D520uR	d81b	0.232462
D520uR	d81c	0.135577
D560	d71a	0.193786
D560	d71b	0.122076
D560uP	d72a	0.285761
D560uP	d72b	0.365632
D560uP	d72c	0.110283
