fname time Tem kT_1 A1 A2 m1 m2 dev 
01RV 1rv.dat 294.2 39.41 7.246E-008 0.000E+000 3.569E+000 0.000E+000 9.923E-003 
03RV 3rv.dat 298.4 38.85 1.236E-007 0.000E+000 3.363E+000 0.000E+000 8.311E-003 
05RV 5rv.dat 301.7 38.43 1.319E-007 0.000E+000 3.410E+000 0.000E+000 3.003E-003 
07RV 7rv.dat 306.6 37.82 1.733E-007 0.000E+000 3.302E+000 0.000E+000 2.819E-003 
09RV 9rv.dat 310.9 37.29 1.642E-007 0.000E+000 3.440E+000 0.000E+000 1.345E-003 
11RV 11rv.dat 316.8 36.6 2.327E-007 0.000E+000 3.388E+000 0.000E+000 4.535E-003 
13RV 13rv.dat 322.4 35.96 2.098E-007 0.000E+000 3.515E+000 0.000E+000 7.230E-003 
15RV 15rv.dat 327.9 35.36 3.296E-007 0.000E+000 3.397E+000 0.000E+000 2.036E-003 
17RV 17rv.dat 333.4 34.78 4.105E-007 0.000E+000 3.400E+000 0.000E+000 2.947E-003 
19RV 19rv.dat 338.3 34.27 4.582E-007 0.000E+000 3.641E+000 0.000E+000 4.507E-003 
21RV 21rv.dat 345.7 33.54 6.287E-007 0.000E+000 3.488E+000 0.000E+000 2.622E-003 
