V d44s d44b V1 d52a d54b V2 d54c
-1.200000e+00 5.908034e-09 5.120534e-09 -1.200000e+00 7.952023e-09 7.366434e-09 -1.200000e+00 7.951323e-09
-1.100000e+00 6.063341e-09 5.168182e-09 -1.000000e+00 8.391480e-09 7.766421e-09 -1.000000e+00 8.362656e-09
-1.000000e+00 6.190889e-09 5.251457e-09 -8.000000e-01 8.924107e-09 8.279086e-09 -8.000000e-01 8.863828e-09
-9.000000e-01 6.332924e-09 5.333552e-09 -6.000000e-01 9.626123e-09 8.894907e-09 -6.000000e-01 9.454317e-09
-8.000000e-01 6.491503e-09 5.574564e-09 -4.000000e-01 1.048519e-08 9.863987e-09 -4.000000e-01 1.021708e-08
-7.000000e-01 6.658922e-09 5.652184e-09 -2.000000e-01 1.169701e-08 1.154036e-08 -2.000000e-01 1.125015e-08
-6.000000e-01 6.845549e-09 5.846278e-09 0.000000e+00 1.372972e-08 1.406099e-08 -2.000000e-01 1.125015e-08
-5.000000e-01 7.088612e-09 5.907869e-09 2.000000e-01 1.878462e-08 1.381051e-08 0.000000e+00 1.269221e-08
-4.000000e-01 7.326290e-09 6.159593e-09 4.000000e-01 2.474680e-08 1.076582e-08 2.000000e-01 1.589631e-08
-3.000000e-01 7.589475e-09 6.376076e-09 NaN NaN NaN 4.000000e-01 1.807930e-08
-2.000000e-01 7.896355e-09 6.621761e-09 NaN NaN NaN NaN NaN
-1.000000e-01 8.489677e-09 6.836086e-09 NaN NaN NaN NaN NaN
0.000000e+00 9.771175e-09 7.206059e-09 NaN NaN NaN NaN NaN
1.000000e-01 9.654181e-09 7.760470e-09 NaN NaN NaN NaN NaN
2.000000e-01 9.462706e-09 8.564926e-09 NaN NaN NaN NaN NaN
3.000000e-01 9.063100e-09 8.991313e-09 NaN NaN NaN NaN NaN
