V d43s d43b V1 d51a d51b d51c d51d d73a d73b d73c d82a d82b d53a d53b d53c
-1.200000e+00 2.467097e+16 2.270193e+16 -1.200000e+00 1.719274e+16 1.592790e+16 1.475060e+16 1.444973e+16 1.978426e+16 2.100522e+16 1.962392e+16 1.964431e+16 1.370617e+16 2.246600e+16 2.379447e+16 1.901761e+16
-1.100000e+00 2.009792e+16 2.168585e+16 -1.000000e+00 1.466358e+16 1.418085e+16 1.287311e+16 1.284894e+16 1.794101e+16 1.911074e+16 1.764180e+16 1.789597e+16 1.208359e+16 2.056497e+16 2.121511e+16 1.733167e+16
-1.000000e+00 2.003102e+16 2.055695e+16 -8.000000e-01 1.249769e+16 1.250954e+16 1.125179e+16 1.122080e+16 1.613039e+16 1.719727e+16 1.575364e+16 1.565115e+16 1.051432e+16 1.849375e+16 1.917988e+16 1.547909e+16
-9.000000e-01 2.414435e+16 1.950265e+16 -6.000000e-01 1.130191e+16 1.072067e+16 9.564314e+15 9.687195e+15 1.421984e+16 1.494913e+16 1.348508e+16 1.368296e+16 8.933982e+15 1.653595e+16 1.753706e+16 1.372611e+16
-8.000000e-01 2.073918e+16 1.841514e+16 -4.000000e-01 8.663252e+15 9.015432e+15 7.888608e+15 8.022343e+15 1.222293e+16 1.259128e+16 1.184663e+16 1.170166e+16 7.401813e+15 1.444541e+16 1.492844e+16 1.187514e+16
-7.000000e-01 1.362009e+16 1.737394e+16 -2.000000e-01 6.888672e+15 7.281069e+15 6.233304e+15 6.360331e+15 1.022105e+16 1.084282e+16 1.008941e+16 9.588004e+15 5.907522e+15 1.223965e+16 1.214395e+16 9.891885e+15
-6.000000e-01 1.249841e+16 1.628213e+16 0.000000e+00 5.081556e+15 5.487668e+15 4.626354e+15 4.769443e+15 8.288633e+15 8.869915e+15 7.897752e+15 7.542274e+15 4.378121e+15 9.987272e+15 9.731203e+15 7.109817e+15
-5.000000e-01 1.153888e+16 1.519614e+16 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-4.000000e-01 1.052486e+16 1.405214e+16 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-3.000000e-01 9.446786e+15 1.293269e+16 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 8.434340e+15 1.177972e+16 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 7.396734e+15 1.063447e+16 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 6.342291e+15 9.463647e+15 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
