V d44s d44b V1 d52a d52b d54a d54b d54c d74a d74b
-1.200000e+00 2.864930e+16 3.813902e+16 -1.200000e+00 1.581411e+16 1.178332e+16 1.676231e+16 1.842831e+16 1.581689e+16 2.987242e+16 2.145794e+16
-1.100000e+00 2.720045e+16 3.743901e+16 -1.000000e+00 1.420113e+16 1.184849e+16 1.464383e+16 1.657899e+16 1.429919e+16 2.694383e+16 1.933820e+16
-1.000000e+00 2.609119e+16 3.626105e+16 -8.000000e-01 1.255655e+16 1.025174e+16 1.303232e+16 1.458933e+16 1.272792e+16 2.394991e+16 1.720825e+16
-9.000000e-01 2.493397e+16 3.515337e+16 -6.000000e-01 1.079188e+16 8.810023e+15 1.167528e+16 1.263913e+16 1.118767e+16 2.089730e+16 1.501675e+16
-8.000000e-01 2.373064e+16 3.217942e+16 -4.000000e-01 9.095936e+15 7.502437e+15 1.081626e+16 1.027768e+16 9.579579e+15 1.792252e+16 1.293201e+16
-7.000000e-01 2.255237e+16 3.130166e+16 -2.000000e-01 7.308871e+15 5.957998e+15 9.230698e+15 7.508640e+15 7.901024e+15 1.476024e+16 1.063881e+16
-6.000000e-01 2.133946e+16 2.925776e+16 0.000000e+00 5.304893e+15 4.423906e+15 7.386134e+15 5.057876e+15 6.207625e+15 1.169163e+16 8.464382e+15
-5.000000e-01 1.990112e+16 2.865090e+16 NaN NaN NaN NaN NaN NaN NaN NaN
-4.000000e-01 1.863081e+16 2.635700e+16 NaN NaN NaN NaN NaN NaN NaN NaN
-3.000000e-01 1.736107e+16 2.459762e+16 NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 1.603787e+16 2.280620e+16 NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 1.387451e+16 2.139858e+16 NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 1.047385e+16 1.925770e+16 NaN NaN NaN NaN NaN NaN NaN NaN
