V d42 V1 d61a d61c d64a d64b
-1.200000e+00 3.585485e+16 -1.200000e+00 2.233540e+16 1.495357e+16 2.457390e+16 2.215449e+16
-1.100000e+00 3.463178e+16 -1.000000e+00 1.990372e+16 1.347591e+16 2.195615e+16 2.015621e+16
-1.000000e+00 3.334577e+16 -8.000000e-01 1.776544e+16 1.199267e+16 1.976871e+16 1.806999e+16
-9.000000e-01 3.226369e+16 -6.000000e-01 1.556793e+16 1.051862e+16 1.740913e+16 1.589333e+16
-8.000000e-01 3.106643e+16 -4.000000e-01 1.339701e+16 8.962355e+15 1.518359e+16 1.364872e+16
-7.000000e-01 2.977920e+16 -2.000000e-01 1.101375e+16 7.450089e+15 1.333707e+16 1.149860e+16
-6.000000e-01 2.852890e+16 0.000000e+00 8.719256e+15 5.884478e+15 1.032197e+16 9.240852e+15
-5.000000e-01 2.697468e+16 NaN NaN NaN NaN NaN
-4.000000e-01 2.556526e+16 NaN NaN NaN NaN NaN
-3.000000e-01 2.402804e+16 NaN NaN NaN NaN NaN
-2.000000e-01 2.261786e+16 NaN NaN NaN NaN NaN
-1.000000e-01 2.101735e+16 NaN NaN NaN NaN NaN
0.000000e+00 1.913932e+16 NaN NaN NaN NaN NaN
