V d31 V1 d41 V2 d63a d63b d83a d83b d62a d62b
-4.000000e-01 1.234131e-08 -1.200000e+00 7.106452e-09 -1.200000e+00 7.411509e-09 6.368989e-09 7.185431e-09 6.418834e-09 7.544372e-09 6.934746e-09
-2.000000e-01 1.407862e-08 -1.100000e+00 7.246785e-09 -1.000000e+00 7.727610e-09 6.665871e-09 7.543492e-09 6.769573e-09 7.936936e-09 7.300961e-09
0.000000e+00 1.654800e-08 -9.000000e-01 7.613144e-09 -8.000000e-01 8.195447e-09 7.073712e-09 7.959415e-09 7.173594e-09 8.408780e-09 7.746538e-09
1.000000e-01 1.824443e-08 -8.000000e-01 7.826514e-09 -6.000000e-01 8.746622e-09 7.525619e-09 8.552286e-09 7.672145e-09 8.990544e-09 8.265990e-09
2.000000e-01 2.066262e-08 -7.000000e-01 8.052777e-09 -4.000000e-01 9.366550e-09 8.164082e-09 9.232061e-09 8.293829e-09 9.717195e-09 9.041699e-09
NaN NaN -6.000000e-01 8.327101e-09 -2.000000e-01 1.025655e-08 8.986444e-09 9.991127e-09 9.112415e-09 1.066727e-08 9.947227e-09
NaN NaN -5.000000e-01 8.603155e-09 0.000000e+00 1.142669e-08 1.006173e-08 1.106210e-08 1.025377e-08 1.203160e-08 1.130237e-08
NaN NaN -4.000000e-01 8.954431e-09 2.000000e-01 1.166116e-08 1.159379e-08 1.163875e-08 1.201336e-08 1.383022e-08 1.351547e-08
NaN NaN -3.000000e-01 9.334715e-09 4.000000e-01 1.495267e-08 1.583063e-08 1.281752e-08 1.547153e-08 1.664945e-08 2.131308e-08
NaN NaN -2.000000e-01 9.794828e-09 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -1.000000e-01 1.030750e-08 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 0.000000e+00 1.092329e-08 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 1.000000e-01 1.164507e-08 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 2.000000e-01 1.256730e-08 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 3.000000e-01 1.388869e-08 NaN NaN NaN NaN NaN NaN NaN
