ND320 D320 ND320uP D320uP ND320uR D320uR ND360 D360 ND360uP D360uP ND520 D520 ND520uP D520uP ND520uR D520uR ND560 D560 ND560uP D560uP
d31 0.524277 d42 1.470539 d84a 0.777230 d33a 0.662681 d34 0.425375 d43s 0.351915 d44s 0.933388 d81a 0.758011 d71a 0.629851 d72a 0.768379
d41 0.918627 d61a 0.806295 d84b 0.792765 d33b 0.663726 NaN NaN d43b 0.896907 d44b 1.253252 d81b 0.774852 d71b 0.702464 d72b 0.715852
d63a 0.901009 d61c 0.811338 NaN NaN d35 0.873620 NaN NaN d51a 0.521243 d52a 0.657273 d81c 0.670807 NaN NaN d72c 0.767671
d63b 0.829898 d64a 0.944020 NaN NaN NaN NaN NaN NaN d51b 0.662104 d52b 0.749674 NaN NaN NaN NaN NaN NaN
d83a 0.886598 d64b 0.889723 NaN NaN NaN NaN NaN NaN d51c 0.569124 d54a 1.049292 NaN NaN NaN NaN NaN NaN
d83b 0.806392 NaN NaN NaN NaN NaN NaN NaN NaN d51d 0.617630 d54b 0.513791 NaN NaN NaN NaN NaN NaN
d62a 0.813883 NaN NaN NaN NaN NaN NaN NaN NaN d73a 0.894206 d54c 0.814583 NaN NaN NaN NaN NaN NaN
d62b 0.758657 NaN NaN NaN NaN NaN NaN NaN NaN d73b 0.879504 d74a 0.801369 NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN d73c 0.848096 d74b 0.811484 NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN d82a 0.772156 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN d82b 0.584489 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN d53a 1.004719 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN d53b 0.894114 NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN d53c 0.819518 NaN NaN NaN NaN NaN NaN NaN NaN
