V d31 V1 d41 V2 d63a d63b d83a d83b d62a d62b
-4.000000e-01 6.565646e+15 -1.200000e+00 1.980133e+16 -1.200000e+00 1.820483e+16 2.465239e+16 1.936843e+16 2.427100e+16 1.756927e+16 2.079404e+16
-2.000000e-01 5.045217e+15 -1.100000e+00 1.904185e+16 -1.000000e+00 1.674594e+16 2.250537e+16 1.757337e+16 2.182114e+16 1.587429e+16 1.876031e+16
0.000000e+00 3.651817e+15 -9.000000e-01 1.725329e+16 -8.000000e-01 1.488863e+16 1.998505e+16 1.578475e+16 1.943240e+16 1.414276e+16 1.666421e+16
NaN NaN -8.000000e-01 1.632538e+16 -6.000000e-01 1.307132e+16 1.765694e+16 1.367211e+16 1.698894e+16 1.237166e+16 1.463559e+16
NaN NaN -7.000000e-01 1.542086e+16 -4.000000e-01 1.139832e+16 1.500325e+16 1.173283e+16 1.453750e+16 1.059054e+16 1.223207e+16
NaN NaN -6.000000e-01 1.442156e+16 -2.000000e-01 9.505991e+15 1.238295e+16 1.001777e+16 1.204295e+16 8.788068e+15 1.010639e+16
NaN NaN -5.000000e-01 1.351091e+16 0.000000e+00 7.658771e+15 9.877674e+15 8.171934e+15 9.511146e+15 6.908014e+15 7.828183e+15
NaN NaN -4.000000e-01 1.247165e+16 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -3.000000e-01 1.147619e+16 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -2.000000e-01 1.042333e+16 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -1.000000e-01 9.412247e+15 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 0.000000e+00 8.380947e+15 NaN NaN NaN NaN NaN NaN NaN
