V d42 V1 d61a d61c d64a d64b
-1.200000e+00 5.281120e-09 -1.200000e+00 6.691187e-09 8.177633e-09 6.379152e-09 6.718450e-09
-1.100000e+00 5.373566e-09 -1.000000e+00 7.088150e-09 8.614318e-09 6.748727e-09 7.043614e-09
-1.000000e+00 5.476204e-09 -8.000000e-01 7.502603e-09 9.131498e-09 7.112312e-09 7.439112e-09
-9.000000e-01 5.567279e-09 -6.000000e-01 8.014651e-09 9.750360e-09 7.578992e-09 7.932181e-09
-8.000000e-01 5.673543e-09 -4.000000e-01 8.639649e-09 1.056304e-08 8.115453e-09 8.559612e-09
-7.000000e-01 5.794867e-09 -2.000000e-01 9.528671e-09 1.158562e-08 8.659040e-09 9.325616e-09
-6.000000e-01 5.920488e-09 0.000000e+00 1.070928e-08 1.303605e-08 9.842800e-09 1.040265e-08
-5.000000e-01 6.088662e-09 2.000000e-01 1.241482e-08 1.516700e-08 1.126529e-08 1.230684e-08
-4.000000e-01 6.254245e-09 4.000000e-01 1.555610e-08 2.184881e-08 1.475261e-08 1.726297e-08
-3.000000e-01 6.451205e-09 NaN NaN NaN NaN NaN
-2.000000e-01 6.649274e-09 NaN NaN NaN NaN NaN
-1.000000e-01 6.897807e-09 NaN NaN NaN NaN NaN
0.000000e+00 7.228310e-09 NaN NaN NaN NaN NaN
1.000000e-01 7.750193e-09 NaN NaN NaN NaN NaN
2.000000e-01 8.707668e-09 NaN NaN NaN NaN NaN
3.000000e-01 9.531874e-09 NaN NaN NaN NaN NaN
