Series	Name	Fb
D320	d31	0.524277
D320	d41	0.918627
D320	d63a	0.901009
D320	d63b	0.829898
D320	d83a	0.886598
D320	d83b	0.806392
D320	d62a	0.813883
D320	d62b	0.758657
D320uP	d42	1.470539
D320uP	d61a	0.806295
D320uP	d61c	0.811338
D320uP	d64a	0.944020
D320uP	d64b	0.889723
D320uR	d84a	0.777230
D320uR	d84b	0.792765
D360	d33a	0.662681
D360	d33b	0.663726
D360	d35	0.873620
D360uP	d34	0.425375
D520	d43s	0.351915
D520	d43b	0.896907
D520	d51a	0.521243
D520	d51b	0.662104
D520	d51c	0.569124
D520	d51d	0.617630
D520	d73a	0.894206
D520	d73b	0.879504
D520	d73c	0.848096
D520	d82a	0.772156
D520	d82b	0.584489
D520	d53a	1.004719
D520	d53b	0.894114
D520	d53c	0.819518
D520uP	d44s	0.933388
D520uP	d44b	1.253252
D520uP	d52a	0.657273
D520uP	d52b	0.749674
D520uP	d54a	1.049292
D520uP	d54b	0.513791
D520uP	d54c	0.814583
D520uP	d74a	0.801369
D520uP	d74b	0.811484
D520uR	d81a	0.758011
D520uR	d81b	0.774852
D520uR	d81c	0.670807
D560	d71a	0.629851
D560	d71b	0.702464
D560uP	d72a	0.768379
D560uP	d72b	0.715852
D560uP	d72c	0.767671
