V d43s d43b V1 d51a d51b d51c d51d d73a d73b d73c d82a d82b d53a d53b d53c
-1.200000e+00 6.366590e-09 6.636951e-09 -1.200000e+00 7.626539e-09 7.923567e-09 8.233701e-09 8.318982e-09 7.109517e-09 6.899798e-09 7.138502e-09 7.134796e-09 8.541652e-09 6.671709e-09 6.482790e-09 7.251402e-09
-1.100000e+00 7.053822e-09 6.790656e-09 -1.000000e+00 8.258097e-09 8.397477e-09 8.813701e-09 8.821985e-09 7.465804e-09 7.233712e-09 7.528849e-09 7.475192e-09 9.097079e-09 6.973262e-09 6.865582e-09 7.595910e-09
-1.000000e+00 7.065590e-09 6.974622e-09 -8.000000e-01 8.945100e-09 8.940859e-09 9.427339e-09 9.440349e-09 7.873676e-09 7.625534e-09 7.967270e-09 7.993315e-09 9.752352e-09 7.353389e-09 7.220662e-09 8.037617e-09
-9.000000e-01 6.435647e-09 7.160662e-09 -6.000000e-01 9.406414e-09 9.658041e-09 1.022523e-08 1.016017e-08 8.385956e-09 8.178846e-09 8.611389e-09 8.548896e-09 1.057980e-08 7.776522e-09 7.551299e-09 8.535446e-09
-8.000000e-01 6.943912e-09 7.369066e-09 -4.000000e-01 1.074384e-08 1.053190e-08 1.125900e-08 1.116476e-08 9.045077e-09 8.911792e-09 9.187612e-09 9.244347e-09 1.162334e-08 8.320225e-09 8.184513e-09 9.176575e-09
-7.000000e-01 8.568603e-09 7.586663e-09 -2.000000e-01 1.204848e-08 1.171932e-08 1.266604e-08 1.253892e-08 9.891274e-09 9.603487e-09 9.955593e-09 1.021259e-08 1.301060e-08 9.038900e-09 9.074443e-09 1.005450e-08
-6.000000e-01 8.944840e-09 7.836902e-09 0.000000e+00 1.402819e-08 1.349914e-08 1.470214e-08 1.447992e-08 1.098395e-08 1.061794e-08 1.125248e-08 1.151460e-08 1.511319e-08 1.000637e-08 1.013717e-08 1.185962e-08
-5.000000e-01 9.309323e-09 8.112101e-09 2.000000e-01 1.913115e-08 1.653329e-08 1.985225e-08 1.769750e-08 1.287700e-08 1.226491e-08 1.303395e-08 1.323040e-08 1.849108e-08 1.175118e-08 1.235752e-08 1.319970e-08
-4.000000e-01 9.747467e-09 8.435849e-09 4.000000e-01 3.950750e-08 2.718211e-08 4.299601e-08 2.704020e-08 2.990251e-08 2.786468e-08 2.238013e-08 2.592471e-08 3.243210e-08 1.743352e-08 1.566855e-08 1.420552e-08
-3.000000e-01 1.028864e-08 8.793373e-09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 1.088866e-08 9.213669e-09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 1.162733e-08 9.697105e-09 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 1.255674e-08 1.027947e-08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 1.372627e-08 1.101089e-08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 1.546370e-08 1.187462e-08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 1.828864e-08 1.300104e-08 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
