N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.220461600E+00 1.221109963E+00 1.220992168E+00 1.220652058E+00
1.600000000E+01 1.282429010E+00 1.282696784E+00 1.282894245E+00 1.281811297E+00
1.700000000E+01 1.367046926E+00 1.366601216E+00 1.365962264E+00 1.366578764E+00
1.549996187E+01 1.251925682E+00 1.251059782E+00 1.251647601E+00 1.251683516E+00
1.649996187E+01 1.319891888E+00 1.319959432E+00 1.320380449E+00 1.320469612E+00
1.674996808E+01 1.342511396E+00 1.341387271E+00 1.342219175E+00 1.342480635E+00
1.624993176E+01 1.299747776E+00 1.300454447E+00 1.300581706E+00 1.300593065E+00
1.574996808E+01 1.266530397E+00 1.266795671E+00 1.266010983E+00 1.266264149E+00
1.524993176E+01 1.237266910E+00 1.237230774E+00 1.237322591E+00 1.237336845E+00
