T d154 d184 d214 d244
d 150 180 210 240
290 5.957333900E-02 5.715951100E-02 5.574508500E-02 5.431154400E-02
295 5.703908800E-02 5.491783500E-02 5.365481900E-02 5.248527700E-02
300 5.548890800E-02 5.363348600E-02 5.262543100E-02 5.158898000E-02
305 5.414710100E-02 5.262326600E-02 5.164794500E-02 5.091557400E-02
310 5.238145500E-02 5.224324900E-02 5.142538200E-02 5.078368600E-02
315 5.271949100E-02 5.283264400E-02 5.218874100E-02 5.165104600E-02
320 5.309255700E-02 5.347832100E-02 5.300765300E-02 5.254100300E-02
325 5.366165000E-02 5.434991100E-02 5.404156000E-02 5.359578800E-02
330 5.500225900E-02 5.585145500E-02 5.568154300E-02 5.523090600E-02
335 5.528160200E-02 5.626875900E-02 5.618733600E-02 5.575108100E-02
340 5.444811700E-02 5.551445000E-02 5.551162600E-02 5.514439700E-02
