fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_325 001_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.694274439E-14 1.000000000E+20 1.204758649E+00 3.616365610E-15 8.836468012E-05 
001_325_SRH 001_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.428967462E-14 1.000000000E+20 1.229094330E+00 3.266511604E-15 1.833632147E-04 
002_325 002_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.775997376E-14 1.000000000E+20 1.209038141E+00 5.132102411E-15 1.057594687E-04 
002_325_SRH 002_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.527015114E-14 1.000000000E+20 1.229479078E+00 4.788943113E-15 1.855569448E-04 
003_325 003_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.325353837E-14 1.000000000E+20 1.215733736E+00 7.352830814E-15 1.254660718E-04 
003_325_SRH 003_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.097172584E-14 1.000000000E+20 1.230029436E+00 7.017440410E-15 1.887587924E-04 
004_325 004_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.516237775E-14 1.000000000E+20 1.220920547E+00 1.060333885E-14 1.443214823E-04 
004_325_SRH 004_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.317403289E-14 1.000000000E+20 1.230807517E+00 1.027598729E-14 1.934195484E-04 
005_325 005_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.256728526E-13 1.000000000E+20 1.225114444E+00 1.535248114E-14 1.625941801E-04 
005_325_SRH 005_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.040890315E-13 1.000000000E+20 1.231889391E+00 1.503425472E-14 2.001779078E-04 
006_325 006_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.673037387E-13 1.000000000E+20 1.228755881E+00 2.227867194E-14 1.812527666E-04 
006_325_SRH 006_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.462617686E-13 1.000000000E+20 1.233360264E+00 2.197137215E-14 2.099242904E-04 
007_325 007_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.226465146E-13 1.000000000E+20 1.232196145E+00 3.236189154E-14 2.018512359E-04 
007_325_SRH 007_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.023041610E-13 1.000000000E+20 1.235300809E+00 3.206784183E-14 2.238694595E-04 
008_325 008_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.939500194E-13 1.000000000E+20 1.235684148E+00 4.701841602E-14 2.264189642E-04 
008_325_SRH 008_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.744699158E-13 1.000000000E+20 1.237761339E+00 4.674011682E-14 2.436021108E-04 
009_325 009_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.827105912E-13 1.000000000E+20 1.239352610E+00 6.830181867E-14 2.573685296E-04 
009_325_SRH 009_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.642345402E-13 1.000000000E+20 1.240731730E+00 6.804144645E-14 2.711038172E-04 
010_325 010_325.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.895987800E-13 1.000000000E+20 1.243206559E+00 9.920597665E-14 2.973733134E-04 
010_325_SRH 010_325_srh.dat 325 35.67 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.722176249E-13 1.000000000E+20 1.244115878E+00 9.896483216E-14 3.086787704E-04 
