fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
00L1 6:51 287.2 40.37 1.000E+000 3.226E+000 1.496E-005 2.377E+004 2.820E+000 9.331E-009 1.671E-004 2.535E-001 1.670E-004 1.913E-005 4.516E-001 1.648E-001 1.160E-004 2.333E-003 
00L2 7:14 290.2 39.95 1.000E+000 4.328E+000 1.679E-005 2.176E+004 2.761E+000 1.163E-008 1.682E-004 2.477E-001 1.681E-004 1.867E-005 4.483E-001 1.605E-001 1.163E-004 5.165E-003 
00L3 7:27 292.7 39.61 1.000E+000 4.386E+000 1.628E-005 2.016E+004 2.739E+000 1.317E-008 1.677E-004 2.407E-001 1.676E-004 1.784E-005 4.424E-001 1.552E-001 1.149E-004 2.426E-003 
00L4 7:53 295.3 39.26 1.000E+000 4.409E+000 1.739E-005 1.856E+004 2.705E+000 1.497E-008 1.714E-004 2.345E-001 1.713E-004 1.759E-005 4.380E-001 1.506E-001 1.167E-004 6.775E-003 
00L5 8:13 298.1 38.89 1.000E+000 4.494E+000 1.632E-005 1.692E+004 2.703E+000 1.633E-008 1.700E-004 2.253E-001 1.699E-004 1.640E-005 4.287E-001 1.434E-001 1.143E-004 5.247E-003 
00L6 8:31 300.8 38.54 1.000E+000 4.578E+000 1.635E-005 1.542E+004 2.689E+000 1.813E-008 1.716E-004 2.182E-001 1.714E-004 1.578E-005 4.220E-001 1.381E-001 1.142E-004 3.708E-003 
00L7 8:52 303.3 38.23 1.000E+000 5.575E+000 1.381E-005 1.410E+004 2.706E+000 1.893E-008 1.697E-004 2.091E-001 1.695E-004 1.458E-005 4.116E-001 1.309E-001 1.113E-004 3.244E-003 
00L8 9:11 305.9 37.9 1.000E+000 3.549E+000 1.480E-005 1.280E+004 2.676E+000 2.140E-008 1.673E-004 2.011E-001 1.672E-004 1.363E-005 4.053E-001 1.252E-001 1.088E-004 1.082E-001 
00L9 9:38 308.5 37.58 1.000E+000 3.687E+000 1.557E-005 1.157E+004 2.654E+000 2.379E-008 1.732E-004 1.964E-001 1.730E-004 1.362E-005 4.010E-001 1.218E-001 1.118E-004 1.863E-003 
0L10 10:38 311 37.28 1.000E+000 3.167E+000 1.548E-005 1.046E+004 2.647E+000 2.573E-008 1.731E-004 1.889E-001 1.729E-004 1.285E-005 3.937E-001 1.162E-001 1.105E-004 1.137E-003 
0L11 10:55 314.1 36.91 1.000E+000 3.920E+000 1.496E-005 9.166E+003 2.635E+000 2.824E-008 1.742E-004 1.798E-001 1.739E-004 1.203E-005 3.846E-001 1.096E-001 1.097E-004 1.090E-003 
0L12 11:39 317.2 36.55 1.000E+000 3.107E+000 1.444E-005 7.979E+003 2.625E+000 3.113E-008 1.755E-004 1.715E-001 1.753E-004 1.131E-005 3.764E-001 1.036E-001 1.091E-004 1.392E-003 
0L13 11:58 318.9 36.36 1.000E+000 3.105E+000 1.619E-005 7.371E+003 2.621E+000 3.230E-008 1.746E-004 1.654E-001 1.744E-004 1.069E-005 3.705E-001 9.930E-002 1.075E-004 1.412E-003 
0L14 12:17 321.2 36.1 1.000E+000 3.330E+000 1.556E-005 6.598E+003 2.605E+000 3.504E-008 1.763E-004 1.597E-001 1.760E-004 1.025E-005 3.649E-001 9.530E-002 1.075E-004 5.679E-004 
0L15 12:35 324.1 35.77 1.000E+000 3.363E+000 1.517E-005 5.704E+003 2.590E+000 3.813E-008 1.758E-004 1.507E-001 1.755E-004 9.423E-006 3.563E-001 8.910E-002 1.056E-004 7.376E-004 
0L16 12:55 326.3 35.53 1.000E+000 3.061E+000 1.563E-005 5.086E+003 2.585E+000 4.048E-008 1.756E-004 1.442E-001 1.753E-004 8.842E-006 3.498E-001 8.450E-002 1.045E-004 8.735E-004 
0L17 13:15 329 35.24 1.000E+000 2.956E+000 1.519E-005 4.397E+003 2.578E+000 4.345E-008 1.763E-004 1.366E-001 1.760E-004 8.224E-006 3.421E-001 7.930E-002 1.036E-004 1.225E-003 
0L18 13:38 332.3 34.89 1.000E+000 2.833E+000 1.664E-005 3.661E+003 2.548E+000 4.839E-008 1.774E-004 1.276E-001 1.771E-004 7.543E-006 3.338E-001 7.330E-002 1.028E-004 1.076E-003 
