d T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 290 1.227912805E+00 1.205860592E+00 2.205221300E-02 1.227500023E+00 1.205277579E+00 2.222244400E-02 4.127820000E-04 5.830130000E-04
150 295 1.228176086E+00 1.063686499E+00 1.644895870E-01 1.227808519E+00 1.062860747E+00 1.649477720E-01 3.675670000E-04 8.257520000E-04
150 300 1.227662828E+00 1.208543565E+00 1.911926300E-02 1.227325645E+00 1.208039916E+00 1.928572900E-02 3.371830000E-04 5.036490000E-04
150 305 1.225021381E+00 1.075573536E+00 1.494478450E-01 1.224703405E+00 1.074684176E+00 1.500192290E-01 3.179760000E-04 8.893600000E-04
150 310 1.217463578E+00 1.212672016E+00 4.791562000E-03 1.217162579E+00 1.212177349E+00 4.985230000E-03 3.009990000E-04 4.946670000E-04
150 315 1.200327372E+00 1.078593432E+00 1.217339400E-01 1.200058993E+00 1.077776716E+00 1.222822770E-01 2.683790000E-04 8.167160000E-04
150 320 1.165958074E+00 1.214346435E+00 -4.838836100E-02 1.165771950E+00 1.213806848E+00 -4.803489800E-02 1.861240000E-04 5.395870000E-04
150 325 1.103965502E+00 1.045061511E+00 5.890399100E-02 1.103959556E+00 1.044723203E+00 5.923635300E-02 5.946000000E-06 3.383080000E-04
150 330 1.011861451E+00 1.201473935E+00 -1.896124840E-01 1.011662087E+00 1.200889620E+00 -1.892275330E-01 1.993640000E-04 5.843150000E-04
150 335 1.012031753E+00 1.004320832E+00 7.710921000E-03 1.011826501E+00 1.004226871E+00 7.599630000E-03 2.052520000E-04 9.396100000E-05
150 340 1.013385360E+00 1.123526397E+00 -1.101410370E-01 1.013148034E+00 1.123246861E+00 -1.100988270E-01 2.373260000E-04 2.795360000E-04
180 290 1.224036940E+00 1.202764489E+00 2.127245100E-02 1.223698707E+00 1.202287781E+00 2.141092600E-02 3.382330000E-04 4.767080000E-04
180 295 1.224444114E+00 1.057908313E+00 1.665358010E-01 1.224137499E+00 1.057208264E+00 1.669292350E-01 3.066150000E-04 7.000490000E-04
180 300 1.223843530E+00 1.205919759E+00 1.792377100E-02 1.223555368E+00 1.205494348E+00 1.806102000E-02 2.881620000E-04 4.254110000E-04
180 305 1.220540413E+00 1.069023062E+00 1.515173510E-01 1.220262016E+00 1.068260620E+00 1.520013960E-01 2.783970000E-04 7.624420000E-04
180 310 1.211815945E+00 1.209845881E+00 1.970064000E-03 1.211547746E+00 1.209415694E+00 2.132052000E-03 2.681990000E-04 4.301870000E-04
180 315 1.192514791E+00 1.070695806E+00 1.218189850E-01 1.192275429E+00 1.070005088E+00 1.222703410E-01 2.393620000E-04 6.907180000E-04
180 320 1.154505224E+00 1.210651490E+00 -5.614626600E-02 1.154347817E+00 1.210158928E+00 -5.581111100E-02 1.574070000E-04 4.925620000E-04
180 325 1.087241223E+00 1.033389969E+00 5.385125400E-02 1.087265195E+00 1.033177654E+00 5.408754100E-02 -2.397200000E-05 2.123150000E-04
180 330 1.010571915E+00 1.194797469E+00 -1.842255540E-01 1.010419115E+00 1.194257708E+00 -1.838385930E-01 1.528000000E-04 5.397610000E-04
