fname time Tem kT_1 Voc Isc Pm Vm Im FF rmsre 
L577 64681688.491 340.19 34.082 2.438110202E-01 1.562451921E-04 2.306984293E-05 1.823160504E-01 1.265336609E-04 6.055982949E-01 0.000000000E+00 
L578 64706138.542 340.04 34.097 2.448483659E-01 1.563457179E-04 2.328770704E-05 1.822157627E-01 1.278092562E-04 6.083360142E-01 0.000000000E+00 
L579 64726089.3961 339.94 34.107 2.456133126E-01 1.571265884E-04 2.343974942E-05 1.816790958E-01 1.290230558E-04 6.073672649E-01 0.000000000E+00 
L580 64746006.61018 339.89 34.112 2.460990124E-01 1.577414748E-04 2.367160458E-05 1.834032630E-01 1.290772612E-04 6.097782503E-01 0.000000000E+00 
L581 64766085.0503 339.84 34.117 2.467977516E-01 1.585017498E-04 2.378860433E-05 1.847251791E-01 1.287607602E-04 6.081261837E-01 0.000000000E+00 
L582 64786233.703 339.8 34.121 2.472683556E-01 1.591858397E-04 2.394193522E-05 1.854041647E-01 1.291141067E-04 6.082558268E-01 0.000000000E+00 
L583 64806267.658 339.79 34.122 2.479819116E-01 1.601320938E-04 2.425197941E-05 1.852498327E-01 1.308957628E-04 6.107293691E-01 0.000000000E+00 
L584 64826235.544 339.79 34.122 2.487032151E-01 1.607606658E-04 2.435002659E-05 1.859710056E-01 1.309307442E-04 6.090293804E-01 0.000000000E+00 
L585 64846126.833 339.79 34.122 2.485261033E-01 1.614342655E-04 2.448165421E-05 1.860105613E-01 1.316151926E-04 6.102011574E-01 0.000000000E+00 
L586 64865916.372 339.79 34.122 2.497365486E-01 1.623163461E-04 2.474921560E-05 1.875227345E-01 1.319769922E-04 6.105441522E-01 0.000000000E+00 
L587 64885665.872 339.79 34.122 2.489527855E-01 1.627851807E-04 2.473853891E-05 1.859042037E-01 1.330825342E-04 6.104388845E-01 0.000000000E+00 
L588 64905606.577 339.8 34.121 2.496207058E-01 1.636863716E-04 2.496524148E-05 1.872915271E-01 1.332819024E-04 6.110020149E-01 0.000000000E+00 
L589 64925626.382 339.84 34.117 2.502676514E-01 1.644830315E-04 2.510846645E-05 1.884822606E-01 1.332194889E-04 6.099501863E-01 2.132675585E-17 
L590 64945550.579 339.84 34.117 2.501780369E-01 1.651652736E-04 2.523243660E-05 1.870473437E-01 1.349143116E-04 6.106484643E-01 0.000000000E+00 
L591 64965559.176 339.86 34.115 2.508981539E-01 1.656395198E-04 2.543545573E-05 1.888692276E-01 1.346781162E-04 6.120375877E-01 0.000000000E+00 
L592 64985500.467 339.88 34.113 2.506051491E-01 1.662069184E-04 2.547705086E-05 1.898636849E-01 1.341867399E-04 6.116599804E-01 0.000000000E+00 
L593 65005602.806 339.9 34.111 2.511002361E-01 1.666565020E-04 2.559331482E-05 1.873015441E-01 1.366561887E-04 6.115854654E-01 0.000000000E+00 
L594 65025701.552 339.91 34.11 2.522600908E-01 1.674678223E-04 2.587665047E-05 1.877535693E-01 1.378128321E-04 6.125310932E-01 0.000000000E+00 
L595 65045632.062 339.93 34.108 2.520429650E-01 1.680588309E-04 2.593866815E-05 1.891705041E-01 1.371161507E-04 6.123669661E-01 0.000000000E+00 
L596 65065142.423 339.95 34.106 2.522412545E-01 1.688897873E-04 2.614413003E-05 1.885841350E-01 1.386331074E-04 6.136979723E-01 0.000000000E+00 
L597 65084953.035 339.95 34.106 2.531925277E-01 1.695006518E-04 2.626502882E-05 1.907568992E-01 1.376896378E-04 6.120059220E-01 0.000000000E+00 
L598 65105024.1959 339.99 34.102 2.531998681E-01 1.702632594E-04 2.645860220E-05 1.888132649E-01 1.401274429E-04 6.137372440E-01 0.000000000E+00 
L599 65124795.022 339.99 34.102 2.529595896E-01 1.712150946E-04 2.655305800E-05 1.899790107E-01 1.397684433E-04 6.130859254E-01 0.000000000E+00 
L600 65144695.543 339.99 34.102 2.537919834E-01 1.716704616E-04 2.681367573E-05 1.896188478E-01 1.414068485E-04 6.154359739E-01 0.000000000E+00 
L601 65164586.488 340.01 34.1 2.537524968E-01 1.723770974E-04 2.684404132E-05 1.908379293E-01 1.406697614E-04 6.137026674E-01 0.000000000E+00 
L602 65184468.119 340.01 34.1 2.542131607E-01 1.730404599E-04 2.714509107E-05 1.915894200E-01 1.416877780E-04 6.170858843E-01 0.000000000E+00 
L603 65204588.311 340.02 34.099 2.543155019E-01 1.732976453E-04 2.718432223E-05 1.917504341E-01 1.417799595E-04 6.168122840E-01 0.000000000E+00 
L604 65224398.832 340.02 34.099 2.552729971E-01 1.737824885E-04 2.729970089E-05 1.917570088E-01 1.423606862E-04 6.153851323E-01 0.000000000E+00 
L605 65244361.662 340.04 34.097 2.555447593E-01 1.744378874E-04 2.738723879E-05 1.911902286E-01 1.432399618E-04 6.143847839E-01 0.000000000E+00 
L606 65264280.226 340.03 34.098 2.562548191E-01 1.749558263E-04 2.754753591E-05 1.932765984E-01 1.425191588E-04 6.144439983E-01 0.000000000E+00 
L607 65284181.307 340.05 34.096 2.556424609E-01 1.757020744E-04 2.768726544E-05 1.926664863E-01 1.437108821E-04 6.164107242E-01 0.000000000E+00 
L608 65304041.9245 340.04 34.097 2.565761866E-01 1.760889067E-04 2.787065534E-05 1.923787565E-01 1.448625889E-04 6.168773686E-01 0.000000000E+00 
L609 65324002.31434 340.05 34.096 2.563279079E-01 1.769376054E-04 2.791101930E-05 1.927318086E-01 1.448202113E-04 6.154030704E-01 0.000000000E+00 
L610 65343853.465 340.04 34.097 2.566464817E-01 1.773272717E-04 2.801057075E-05 1.930239965E-01 1.450993549E-04 6.154759834E-01 0.000000000E+00 
L611 65363754.381 340.03 34.098 2.574416877E-01 1.781292076E-04 2.828078411E-05 1.936655171E-01 1.460397255E-04 6.167049532E-01 0.000000000E+00 
L612 65383665.121 340.05 34.096 2.573046666E-01 1.787863721E-04 2.842408085E-05 1.941032519E-01 1.464400195E-04 6.178803094E-01 0.000000000E+00 
L613 65403576.163 340.05 34.096 2.574137375E-01 1.792690658E-04 2.843095544E-05 1.937044500E-01 1.467601444E-04 6.161044972E-01 0.000000000E+00 
L614 65423707.026 340.04 34.097 2.584392048E-01 1.794967394E-04 2.872411535E-05 1.956597408E-01 1.467873967E-04 6.192010757E-01 0.000000000E+00 
L615 65443627.564 340.05 34.096 2.579326041E-01 1.798279590E-04 2.879728035E-05 1.943551142E-01 1.481586507E-04 6.208519029E-01 0.000000000E+00 
L616 65463658.679 340.04 34.097 2.586968477E-01 1.801467549E-04 2.892994649E-05 1.955782354E-01 1.479313075E-04 6.207690420E-01 0.000000000E+00 
L617 65483508.934 340.04 34.097 2.589987371E-01 1.806144207E-04 2.882653530E-05 1.961308091E-01 1.469884729E-04 6.162293483E-01 0.000000000E+00 
L618 65503459.977 340.04 34.097 2.588275775E-01 1.810894550E-04 2.908159439E-05 1.939078763E-01 1.499802990E-04 6.204610216E-01 0.000000000E+00 
L619 65523360.675 340.03 34.098 2.590059316E-01 1.817646196E-04 2.917418610E-05 1.944122901E-01 1.500669789E-04 6.196974182E-01 0.000000000E+00 
L620 65543413.333 340.03 34.098 2.601816300E-01 1.821362231E-04 2.937209651E-05 1.962727427E-01 1.496371922E-04 6.198148682E-01 0.000000000E+00 
L621 65563461.287 340.03 34.098 2.590346400E-01 1.825570713E-04 2.948684581E-05 1.967567452E-01 1.498763028E-04 6.235507615E-01 0.000000000E+00 
L622 65583593.063 340.03 34.098 2.602728962E-01 1.833875919E-04 2.956937487E-05 1.963070825E-01 1.506254219E-04 6.195027672E-01 0.000000000E+00 
L623 65603970.58 340.02 34.099 2.601504220E-01 1.836737451E-04 2.966289763E-05 1.967307417E-01 1.507808028E-04 6.207860611E-01 2.499269111E-17 
L624 65623711.927 340.02 34.099 2.599219961E-01 1.843662299E-04 2.973239217E-05 1.961043314E-01 1.516083595E-04 6.204480789E-01 0.000000000E+00 
L625 65643595.392 340.01 34.1 2.602544452E-01 1.847350130E-04 2.983741475E-05 1.949485965E-01 1.530677379E-04 6.206029269E-01 0.000000000E+00 
L626 65663376.036 340.02 34.099 2.610239202E-01 1.844215782E-04 2.998966513E-05 1.972124451E-01 1.520806440E-04 6.229878464E-01 0.000000000E+00 
L627 65683017.439 340.01 34.1 2.613050497E-01 1.849629026E-04 3.008803663E-05 1.974673931E-01 1.523721602E-04 6.225316190E-01 0.000000000E+00 
L628 65702988.188 340.03 34.098 2.611629922E-01 1.852426132E-04 3.004528652E-05 1.989516915E-01 1.510231603E-04 6.210460660E-01 0.000000000E+00 
L629 65722968.628 340.01 34.1 2.620545896E-01 1.856707685E-04 3.035082422E-05 1.986757850E-01 1.527581174E-04 6.237853692E-01 0.000000000E+00 
L630 65742741.796 340.01 34.1 2.623672156E-01 1.862746441E-04 3.035381296E-05 1.981471564E-01 1.531908862E-04 6.210834332E-01 0.000000000E+00 
L631 65763010.1073 340.01 34.1 2.623168247E-01 1.864187248E-04 3.046301770E-05 1.981749844E-01 1.537268438E-04 6.229558139E-01 0.000000000E+00 
L632 65783380.56 340.01 34.1 2.627901300E-01 1.868915895E-04 3.052231292E-05 1.985838496E-01 1.536980496E-04 6.214678022E-01 0.000000000E+00 
L633 65803291.241 340.01 34.1 2.627025050E-01 1.873152518E-04 3.065488697E-05 1.987144083E-01 1.542718059E-04 6.229631601E-01 0.000000000E+00 
L634 65823322.294 340.01 34.1 2.623417829E-01 1.875696701E-04 3.065449587E-05 1.979220700E-01 1.548746729E-04 6.229656466E-01 0.000000000E+00 
L635 65843386.535 339.99 34.102 2.624067987E-01 1.880084204E-04 3.077926758E-05 1.985042323E-01 1.550591755E-04 6.238869445E-01 0.000000000E+00 
L636 65863395.354 340 34.101 2.625071534E-01 1.881776131E-04 3.077552449E-05 1.982594566E-01 1.552229976E-04 6.230119329E-01 0.000000000E+00 
L637 65883304.754 340.01 34.1 2.626896897E-01 1.882889896E-04 3.085296780E-05 1.980511562E-01 1.557749246E-04 6.237764774E-01 0.000000000E+00 
L638 65903228.901 340 34.101 2.628259873E-01 1.883657850E-04 3.098210766E-05 1.979023691E-01 1.565462249E-04 6.258073140E-01 0.000000000E+00 
L639 65923176.479 340 34.101 2.630879446E-01 1.887191965E-04 3.095021424E-05 1.990019163E-01 1.555260321E-04 6.233710548E-01 0.000000000E+00 
L640 65943177.182 340 34.101 2.629159183E-01 1.893705406E-04 3.096613221E-05 1.978354378E-01 1.565331874E-04 6.219531380E-01 0.000000000E+00 
L641 65963158.958 340.01 34.1 2.635891935E-01 1.893994691E-04 3.121948318E-05 1.980530202E-01 1.576273808E-04 6.253445233E-01 0.000000000E+00 
L642 65982988.56 340.01 34.1 2.633240929E-01 1.897977714E-04 3.109327016E-05 1.988300604E-01 1.563865175E-04 6.221350863E-01 0.000000000E+00 
