Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+10 1.209611822E+00 1.203408362E+0 6.203460000E-03 1.209611822E+00 1.203408362E+0 6.203460000E-03
1.468000015E+10 1.209615867E+00 1.204711043E+0 4.904824000E-03 1.209615867E+00 1.204711043E+0 4.904824000E-03
2.154000005E+10 1.209621485E+00 1.205999085E+0 3.622400000E-03 1.209621485E+00 1.205999085E+0 3.622400000E-03
3.162000032E+10 1.209629482E+00 1.207275943E+0 2.353539000E-03 1.209629482E+00 1.207275943E+0 2.353539000E-03
4.642000041E+10 1.209640955E+00 1.208540620E+0 1.100335000E-03 1.209640955E+00 1.208540620E+0 1.100335000E-03
6.813000017E+10 1.209657449E+00 1.209792394E+0 -1.349450000E-04 1.209657449E+00 1.209792394E+0 -1.349450000E-04
1.000000000E+11 1.209681050E+00 1.211032613E+0 -1.351563000E-03 1.209681050E+00 1.211032613E+0 -1.351563000E-03
1.468000015E+11 1.209714532E+00 1.212261822E+0 -2.547290000E-03 1.209714532E+00 1.212261822E+0 -2.547290000E-03
2.154000005E+11 1.209761365E+00 1.213478314E+0 -3.716949000E-03 1.209761365E+00 1.213478314E+0 -3.716949000E-03
3.162000032E+11 1.209825601E+00 1.214685297E+0 -4.859696000E-03 1.209825601E+00 1.214685297E+0 -4.859696000E-03
4.642000041E+11 1.209911357E+00 1.215881779E+0 -5.970422000E-03 1.209911357E+00 1.215881779E+0 -5.970422000E-03
6.813000017E+11 1.210021787E+00 1.217067029E+0 -7.045242000E-03 1.210021787E+00 1.217067029E+0 -7.045242000E-03
1.000000000E+12 1.210157642E+00 1.218242276E+0 -8.084634000E-03 1.210157642E+00 1.218242276E+0 -8.084634000E-03
1.468000015E+12 1.210315852E+00 1.219407992E+0 -9.092140000E-03 1.210315852E+00 1.219407992E+0 -9.092140000E-03
2.154000005E+12 1.210496765E+00 1.220562517E+0 -1.006575200E-02 1.210496765E+00 1.220562517E+0 -1.006575200E-02
3.162000032E+12 1.221897774E+00 1.221708857E+0 1.889170000E-04 1.221897774E+00 1.221708857E+0 1.889170000E-04
4.642000041E+12 1.234817623E+00 1.222846033E+0 1.197159000E-02 1.234817623E+00 1.222846033E+0 1.197159000E-02
6.813000017E+12 1.235006473E+00 1.223973314E+0 1.103315900E-02 1.235006473E+00 1.223973314E+0 1.103315900E-02
1.000000000E+13 1.235629262E+00 1.225091834E+0 1.053742800E-02 1.235629262E+00 1.225091834E+0 1.053742800E-02
