number DE EBLSHADE ADELI NDE MABC TLBO GOTLBO STLBO PSO IJAYA ISCA NNA CWOA WaterWave
0 62.66592529 45.00918838 45.00918836 13.41504956 2.309271331 43.07203047 16.26460035 45.0091884 94.77412163 2.480857691 1.131285692 0.6466977578 0.1742407164 0.1131313536
1 29.98460576 45.00918837 45.00918838 14.11527286 62.963357 56.98099227 68.85871042 45.00918856 0.1 57.16935471 8.103648007 2.667901009 96.24810241 66.73228578
2 56.71534887 45.00918844 45.00918845 12.48512066 65.74700192 44.92906819 15.19021213 45.0091883 92.35773828 9.678494557 0.2819967505 1.111135714 0.7054768328 0.1
3 50.92828664 45.00918833 45.00918841 3.406355639 2.554478746 18.2528452 31.26248069 45.00918846 92.4692352 55.83857804 2.414384316 3.5527833 60.83037785 56.54275485
4 48.57954418 45.00918838 45.00918838 44.91621916 34.02170409 43.69718039 0.1000797333 45.00918835 0.1 38.61944016 0.5608690144 0.267608424 5.238528878 12.70542869
5 43.79170178 45.00918837 45.00918794 28.63825026 28.84228191 45.00918845 6.29630073 45.00918832 68.38954542 3.238222757 1.606311079 0.3325425784 8.921551539 15.53796161
6 37.9360985 45.00918833 45.00918849 55.61577985 79.98643923 45.03444664 0.1002477887 45.00918831 96.24439481 3.292662107 0.2682600066 0.1583522268 96.04102117 0.1
7 10.77816028 45.00918834 45.00918831 27.78604332 47.90490876 45.00918852 75.93916689 45.00918822 85.77686074 0.394968962 0.9015357321 0.3131039717 0.1 23.14613533
8 9.596233438 45.00918835 45.00918838 45.02147341 0.2147400669 45.00922865 86.06058172 45.00918832 0.1 0.227211336 1.317885985 0.9946155543 3.768326247 0.5750300965
9 5.53346017 45.00918833 45.00918841 45.0091911 1.845711559 45.00918837 2.772709994 45.00918836 0.1 0.1137279692 77.58137161 1.229943966 46.07378314 0.6135948222
10 6.384380684 45.00918838 45.00918836 39.37230554 0.1340384205 45.0091885 8.496612843 45.00918839 1.015823608 0.1100138314 10.88116688 0.4428149631 0.5701789989 0.1
11 17.97260533 45.00918831 45.00918839 42.92490764 3.87519819 45.00918844 0.6018689886 45.00918842 0.1 55.5396126 0.2304969599 11.83856213 10.655994 0.4168693467
12 56.69962954 29.77545178 45.00918835 29.0991604 53.57674147 45.00918854 0.4222524933 45.00918834 0.1 0.9034197776 30.33226144 1.476350495 39.54292105 7.587122859
13 8.966345882 45.00918838 45.00918828 26.34868401 81.39109865 45.00918832 0.3423220478 45.00918843 94.67883973 4.124792874 0.6319722289 15.28880562 2.567198747 0.1
14 71.74773013 45.00918835 45.00918831 13.74282867 5.693918401 37.64167996 12.96305585 45.00918845 0.1 56.18744179 0.3727284333 27.96653504 71.60741976 0.1
15 0.1259453861 45.00918832 45.00918838 19.89777528 4.553928788 45.00918835 0.8008888013 45.00918829 0.1 3.205260002 8.917741136 4.999887214 0.3969283071 18.84346978
16 1.348830273 45.00918839 45.00918834 2.953964614 48.06572691 45.00918859 9.263604617 45.00918827 0.1 36.53441229 0.3268108864 3.814954826 0.1 81.50429521
17 5.834708122 45.00918834 45.00918835 37.77092292 1.261331505 45.04236514 0.5086135122 45.00918831 79.94396371 4.743101541 0.8412576268 1.335513104 12.15909286 11.08400235
