number DE EBLSHADE ADELI NDE MABC TLBO GOTLBO STLBO PSO IJAYA ISCA NNA CWOA WW
0 1.113835291 1.919363419 1.919363421 6.205874394 47.61664609 2.063246471 42.80466177 1.919363419 0.5 4.8514492 21.48049568 46.90048462 43.84654428 50
1 3.763193561 1.91936342 1.919363419 4.688955674 1.684221586 1.166927948 11.56430849 1.919363406 50 1.010062969 34.59715805 39.93628205 50 50
2 0.5237376505 1.919363414 1.919363414 5.620690079 1.879493927 1.925139048 10.87473978 1.919363425 2.246330416 5.794229358 7.45952631 28.04199417 10.275691 38.2040968
3 1.124932153 1.919363422 1.919363416 6.953836843 13.83854564 5.680957356 36.59867067 1.919363413 49.99812891 0.6147259785 8.659705762 36.14686217 50 50
4 5.141348371 1.91936342 1.919363419 1.927035609 11.81714859 2.042067748 9.956025954 1.919363421 50 2.067261916 35.65558383 49.03379449 40.8002215 50
5 3.552372764 1.91936342 1.919363491 3.321476433 0.5010389414 1.919363408 25.98785266 1.919363424 50 6.396112536 21.11504375 37.32493418 48.29344739 50
6 1.976340547 1.919363423 1.919363414 1.329593849 27.26458299 1.950861136 44.33339275 1.919363422 50 3.972154401 16.76924617 16.07888855 13.59647248 50
7 5.175108191 1.919363422 1.919363423 3.43623244 0.5007749371 1.919363402 10.90309384 1.91936343 0.5 6.338618344 2.315003766 5.888881532 15.91187992 50
8 4.118854032 1.91936342 1.919363417 1.918347149 3.38794446 1.919355096 7.792887602 1.919363423 50 5.010613492 12.68735093 41.18775133 22.58735954 50
9 16.92242777 1.919363422 1.919363418 1.919363765 18.84078291 1.919363419 37.01789139 1.91936342 13.54148207 4.882920844 6.646376796 22.05878182 30.08351623 50
10 4.757812325 1.919363421 1.919363421 2.309719199 21.55507003 1.919363411 41.65712535 1.919363418 50 18.88802913 11.02987107 45.2962995 16.77763281 45.15996538
11 27.35591454 1.919363422 1.919363419 2.078233617 1.564736594 1.919363414 35.07837708 1.919363415 50 0.9555995813 4.869799184 47.40505336 48.26150614 32.60245889
12 3.578069669 3.312490658 1.919363422 3.264083324 1.021330495 1.919363407 32.45965314 1.919363422 50 11.01157342 7.753888844 20.47949705 0.5 4.335159169
13 14.85996302 1.919363419 1.919363425 4.147664953 0.5671408002 1.919363423 8.600832735 1.919363417 0.5 6.632644103 6.601092402 38.7497055 23.32941412 50
14 4.65665975 1.919363421 1.919363424 5.157678057 4.440668896 2.518982413 11.41946043 1.919363414 50 0.9955277499 16.74151147 17.18206407 50 50
15 9.393044879 1.919363424 1.919363421 4.641335134 47.74037198 1.919363421 2.967998813 1.919363424 5.978382837 4.971314828 39.09815338 13.3861855 37.19792513 50
16 3.11959809 1.91936342 1.919363422 6.278502044 1.82935765 1.919363403 21.28279453 1.919363425 50 12.33988732 3.01696541 43.69818155 50 50
17 1.115551311 1.919363422 1.919363421 2.364453513 10.88761425 1.916788329 7.128662293 1.919363425 0.5 6.51031816 2.854863775 39.4026631 30.46876971 50
18 7.244580521 1.919363421 1.919363424 1.608719436 0.5853777639 1.919363424 5.357870488 1.919363414 50 2.760798319 7.173793204 14.64541631 43.84462768 50
19 4.442276382 1.919363422 1.919363422 2.825141037 47.40804369 1.917872529 14.25655627 1.919363409 0.5 5.674800015 19.65280545 14.33976168 1.037529947 50
20 7.18372132 1.919363419 1.919363423 2.99797354 8.137704273 1.919363428 28.47049009 1.919363416 50 4.042223448 4.845254509 30.5448525 38.57754515 50
21 7.922800217 1.919363419 1.919363412 1.930449668 15.96733002 1.435469934 36.45344892 1.919363427 50 6.111080762 9.253194587 21.44017446 50 50
22 5.523729727 1.919363421 1.919363418 1.919379838 26.68403256 1.919363422 2.230662239 1.919363416 50 1.385460498 0.8121445761 21.7021064 6.128499821 9.514392449
23 1.715812189 1.919363421 1.919363421 3.268877036 30.00300571 1.919363416 5.141072154 1.919363412 50 12.64253729 4.651902798 24.31210786 36.64885904 50
24 20.17669329 1.951806423 1.919363423 1.777099749 3.813176807 1.78911036 40.29573885 1.919363415 0.5 4.349973989 14.68495708 35.83681165 0.8824265152 50
25 5.318564447 1.919363418 1.919363413 3.234755743 10.19126615 1.901338752 22.96950287 1.919363416 13.5924098 4.847088755 10.46249124 16.56435153 14.34064796 50
26 11.93428348 1.919363421 1.919363417 1.919076112 49.89609662 1.811480567 23.63353511 1.919363414 0.5 8.364669802 9.236178341 14.56727232 34.04342608 50
27 2.473587978 3.744473982 1.919363416 47.61679923 32.37606984 1.919363423 10.25100483 1.919363415 0.5 3.895128231 25.99744095 48.31131826 0.5 50
28 8.890122592 1.919363419 1.919363416 2.084040062 49.92920876 1.919363426 49.99882178 1.919363421 50 6.726139639 31.49499148 19.13963846 41.08504314 14.44297216
29 5.528387299 1.919363416 1.919363415 2.480806933 0.5193979936 1.919363422 8.9518267 1.919363416 50 2.516367772 39.9915505 15.37513488 50 50
30 10.67396199 6.752854027 1.919363419 1.102497658 2.684100023 0.5000722285 29.08662136 1.919363413 0.5 7.416731332 3.267897218 24.22459136 16.8095657 50
31 4.280022661 1.919363423 1.919363411 3.288807702 0.5431974688 5.792122493 3.304224474 1.919363417 34.93848174 6.111125651 29.27987333 9.123026082 44.51657028 14.89383732
32 9.607773477 1.919363414 1.919363422 5.136028815 35.76856512 1.91773803 10.03217425 1.919363417 49.94307068 13.69830386 25.84054409 25.49500426 37.2259976 50
33 8.561400199 1.919363423 1.919363426 1.946938778 6.655646701 1.919363415 5.480714308 1.919363412 50 5.301854691 12.71751022 10.1075592 38.78662023 50
34 4.913546793 1.919363415 1.919363412 2.61417971 2.482621644 1.914055734 33.11599894 1.919363424 49.99481529 6.239686903 7.627516805 28.12254353 1.08966471 49.99998752
