number DE EBLSHADE ADELI NDE MABC TLBO GOTLBO STLBO PSO IJAYA ISCA NNA CWOA WaterWave
0 5.660740374E-9 1.596734064E-9 1.596734067E-9 7.48810782E-8 1.934397219E-7 2.478192734E-9 1.272504631E-15 1.596734043E-9 1E-16 5.1098235E-6 1.193356689E-9 6.590500137E-15 1E-16 4.285487239E-7
1 1.862373949E-11 1.596734074E-9 1.596734068E-9 3.044576465E-7 3.058791358E-16 4.797860789E-11 9.997026535E-6 1.596733996E-9 1E-16 1.163332604E-7 3.784043084E-14 6.126097411E-14 1E-5 2.409780899E-7
2 3.547294122E-7 1.59673405E-9 1.596734041E-9 1.829127491E-7 1.000452665E-16 1.627428202E-9 1.218314953E-10 1.596734084E-9 1E-16 7.256770118E-8 2.2076451E-15 2.653559766E-11 4.805495125E-8 4.833466883E-6
3 9.828358109E-8 1.596734088E-9 1.59673407E-9 5.2069878E-7 4.371591399E-14 4.298605041E-8 1.21833169E-8 1.59673404E-9 8.151602954E-11 7.518826673E-9 3.184394057E-6 3.192663853E-15 1E-5 9.990761308E-6
4 7.57455117E-10 1.596734055E-9 1.596734069E-9 1.629043747E-9 3.699771967E-6 1.958825202E-9 3.413004673E-15 1.596734083E-9 1E-16 1.25989343E-9 1.222915036E-10 1.872870844E-13 1.905740966E-6 1.200578748E-10
5 3.585013928E-8 1.596734066E-9 1.596734096E-9 3.434397914E-8 2.394926682E-7 1.596734066E-9 4.116723381E-16 1.596734079E-9 1E-16 1.102510106E-13 1.207947538E-6 1.424269485E-10 3.654402583E-9 2.100431601E-6
6 1.761153991E-7 1.596734078E-9 1.596734006E-9 3.91209456E-11 1E-16 1.389239516E-9 1.417335799E-10 1.596734114E-9 1E-16 1.738647635E-11 8.748124962E-13 3.578356805E-7 1E-5 1.421689969E-8
7 1.183603057E-11 1.596734086E-9 1.596734099E-9 4.062867012E-8 8.468006136E-6 1.596734065E-9 1.04548217E-8 1.596734133E-9 1E-16 2.178508943E-8 8.245432645E-6 3.189710737E-15 1E-16 2.175088765E-6
8 1.000324581E-10 1.596734087E-9 1.596734081E-9 1.592741071E-9 9.12650514E-6 1.596750086E-9 4.303494852E-12 1.596734081E-9 1E-16 1.597021771E-9 1.331646143E-6 1.17846217E-8 8.667192012E-10 5.691781418E-6
9 2.390252935E-6 1.596734089E-9 1.596734053E-9 1.596730281E-9 1.397650546E-15 1.596734071E-9 5.578431201E-9 1.596734074E-9 1.379788394E-6 9.73093016E-9 2.08504713E-8 5.220707411E-8 2.164250386E-8 2.439516152E-6
10 4.076432481E-6 1.596734052E-9 1.596734065E-9 6.277842181E-9 4.331510153E-13 1.596734029E-9 4.919599664E-11 1.596734062E-9 3.002047652E-8 1.376274382E-7 1.641039036E-8 1.200028326E-15 1.579910297E-11 1.18007938E-8
11 2.754196752E-7 1.5967341E-9 1.596734058E-9 2.531428657E-9 9.047018878E-6 1.596734051E-9 2.468636998E-7 1.596734055E-9 1E-16 7.478496328E-9 2.088978466E-8 5.682975606E-15 5.944218311E-10 4.931272878E-7
12 9.823288952E-11 2.434557091E-8 1.596734076E-9 3.456514978E-8 7.167527864E-7 1.596734014E-9 9.981343264E-6 1.596734082E-9 1E-16 8.771833053E-14 2.416232329E-10 3.186997072E-6 1E-5 2.587767525E-6
13 6.092329575E-9 1.596734064E-9 1.596734106E-9 1.979509089E-8 4.383026576E-12 1.596734089E-9 3.909276643E-11 1.596734034E-9 1E-16 1.76133598E-8 2.851371528E-16 1.86486484E-13 1.065929483E-9 8.565920115E-15
14 3.551967837E-16 1.596734087E-9 1.596734091E-9 2.164439226E-7 5.735472613E-9 7.340523731E-9 1E-5 1.596734052E-9 1E-5 1.629025042E-8 1.79771732E-11 1.034759606E-12 4.080038895E-12 1.964773591E-6
15 7.083995811E-7 1.59673408E-9 1.59673406E-9 7.762214452E-8 1.58500863E-8 1.596734081E-9 1.968309788E-6 1.596734108E-9 1E-5 1.770212125E-6 2.789911761E-10 2.380022813E-8 1.426778332E-13 1.086869935E-8
16 2.720195017E-6 1.596734059E-9 1.596734081E-9 5.273715189E-7 8.779608986E-6 1.596734E-9 1.431546177E-11 1.596734112E-9 1E-5 2.91434554E-13 1.73742236E-6 4.36353077E-6 1E-5 4.731284949E-8
17 7.606174412E-10 1.596734083E-9 1.596734078E-9 1.083043336E-8 2.377235801E-6 1.584139045E-9 6.844917375E-16 1.596734088E-9 1.8486172E-7 3.470633927E-9 9.875270458E-8 6.307445783E-10 1E-16 1.773203878E-6
18 2.162296286E-7 1.596734078E-9 1.596734103E-9 3.640552348E-10 1.95388051E-10 1.596734083E-9 1.353919532E-6 1.596734034E-9 1E-5 9.345580782E-7 1.590394213E-10 2.729717945E-8 7.406520465E-10 8.265174252E-8
19 4.220215208E-8 1.596734082E-9 1.596734089E-9 1.519405556E-8 1.556795076E-7 1.55730885E-9 6.228707141E-6 1.596733992E-9 7.262932786E-16 1.543645441E-10 3.462522869E-6 7.31131886E-8 1E-5 5.059797575E-7
20 2.81589449E-8 1.596734072E-9 1.596734076E-9 4.016078608E-8 3.786128333E-8 1.596734109E-9 3.585915681E-6 1.596734064E-9 1E-5 1.079615689E-6 8.390550076E-13 2.453015313E-6 1.219590627E-6 2.763377702E-7
