number DE EBLSHADE ADELI NDE MABC TLBO GOTLBO STLBO PSO IJAYA ISCA NNA CWOA WW
0 0.2078749636 0.1118034352 0.1118034352 0.1118359372 0.856524178 0.1118049372 0.8543778568 0.1118034352 0.122988178 0.1143423524 0.7914009346 0.8321476094 0.8543783215 0.8608928734
1 0.1259310443 0.1118034352 0.1118034352 0.1121423336 0.22200914 0.1118860096 0.8547299592 0.1118034352 0.8543783612 0.2141876013 0.8911808505 0.7417705984 0.8660602656 0.8562379971
2 0.3275343588 0.1118034352 0.1118034352 0.1119728941 0.1228260122 0.1118034245 0.1582592083 0.1118034352 0.1228787891 0.1119114375 0.932425787 0.8547135788 0.8539387477 0.858031563
3 0.1778376419 0.1118034352 0.1118034352 0.1121602947 0.6671588735 0.1118390042 0.8542068993 0.1118034352 0.7692917379 0.135974171 0.5926479921 0.8335118426 0.8027090556 0.8538135012
4 0.1278278779 0.1118034352 0.1118034352 0.1118034215 0.4144823208 0.1118036671 0.8543782709 0.1118034352 0.8361243809 0.1121690877 0.6863296556 0.804565421 0.8533060662 0.8551371412
5 0.2948039263 0.1118034352 0.1118034352 0.1118819931 0.5012516283 0.1118034352 0.7175077146 0.1118034352 0.8543782757 0.1680216045 0.2037745088 0.8388819941 0.8545212281 0.8970963616
6 0.2942545335 0.1118034352 0.1118034352 0.1119392118 0.122993125 0.1118045647 0.8543011406 0.1118034352 0.8543783161 0.1149619354 0.9762215365 0.8498853276 0.8516925877 0.8496668995
7 0.1158563806 0.1118034352 0.1118034352 0.1119719786 0.4149171444 0.1118034352 0.7455574796 0.1118034352 0.1231068884 0.1120526954 0.2680085358 0.9224021525 0.1525719546 0.8532073527
8 0.3425340657 0.1118034352 0.1118034352 0.1118034371 0.1658713672 0.1118034356 0.7491159431 0.1118034352 0.1156362969 0.1604288958 0.8713698946 0.1933935267 0.2188873256 0.7924298053
9 0.2322257182 0.1118034352 0.1118034352 0.1118034352 0.604658286 0.1118034352 0.4759661902 0.1118034352 0.2531261743 0.1190364581 0.4938723796 0.8317448218 0.1352598097 0.8630545423
10 0.1342873115 0.1118034352 0.1118034352 0.1118272168 0.6246808311 0.1118034352 0.8539791294 0.1118034352 0.1377656325 0.1503301274 0.9547126946 0.8543510488 0.1690557646 0.7061231057
11 0.1253832304 0.1118034352 0.1118034352 0.1118047117 0.1119893286 0.1118034352 0.6132568793 0.1118034352 0.8543782951 0.1167653733 1.000195617 0.8915466563 0.8543783291 0.8465555257
12 0.4222050251 0.1118506131 0.1118034352 0.1118972507 0.4466129595 0.1118034352 0.8541795958 0.1118034352 0.8543782997 0.1230264088 0.3171337102 0.5474773968 0.1173110269 0.4780292807
13 0.2669218328 0.1118034352 0.1118034352 0.111818471 0.1155112826 0.1118034352 0.8561476429 0.1118034352 0.1229512978 0.135384343 0.8725257752 0.8380410111 0.1211145919 0.8511221207
14 0.1214628215 0.1118034352 0.1118034352 0.112094711 0.1166394569 0.1118221525 0.8535903124 0.1118034352 0.8503441921 0.1392431504 0.8740259743 0.9117611051 0.8543783084 0.8619677255
15 0.3128316616 0.1118034352 0.1118034352 0.1119461736 0.8527956557 0.1118034352 0.1226724499 0.1118034352 0.1159586425 0.127995276 0.8992020695 0.8533509587 0.8543783495 0.8508384368
16 0.1822423429 0.1118034352 0.1118034352 0.7430810498 0.1667538304 0.1118034352 0.8537543246 0.1118034352 0.4399295229 0.1978140888 0.4505484663 0.7605601382 0.8524198184 0.853453702
17 0.1280517671 0.1118034352 0.1118034352 0.1118710679 0.6883681361 0.1118034483 0.8543887311 0.1118034352 0.1360591403 0.1139293361 0.8236136723 0.8275853894 0.6565060674 0.8623768033
18 0.3248703456 0.1118034352 0.1118034352 0.1118364065 0.1121864313 0.1118034352 0.1495514585 0.1118034352 0.854377961 0.1203310786 0.2061473994 0.8570983136 0.8545988777 0.862032343
19 0.147804747 0.1118034352 0.1118034352 0.1118627303 0.1270218624 0.1118034807 0.6572116546 0.1118034352 0.1120610746 0.1200160007 0.7888934231 1.0096263 0.8100411097 0.8461313264
20 0.2852493675 0.1118034352 0.1118034352 0.1119910124 0.133322086 0.1118034352 0.6054071806 0.1118034352 0.852419856 0.1228897973 0.7681604231 0.384324814 0.8546112025 0.8593004847
21 0.1248021024 0.1118034352 0.1118034352 0.1118034477 0.8475919924 0.1122679948 0.3394882345 0.1118034352 0.8357548064 0.1522386598 0.8480750963 0.8363248297 0.8622349122 0.8392930112
22 0.2998250391 0.1118034352 0.1118034352 0.111803436 0.8523506919 0.1118034352 0.8546816511 0.1118034352 0.8361243974 0.1126343592 0.9262833771 0.8381684669 1.458262028 0.3056118532
23 0.2546087271 0.1118034352 0.1118034352 0.6436109377 0.8543076481 0.1118034352 0.8152096959 0.1118034352 0.1156362914 0.2238181359 0.6514919295 0.9238495418 0.8478123587 0.8567402084
24 0.1927981097 0.1118034889 0.1118034352 0.1449183617 0.1308195852 0.1118052522 0.8504455046 0.1118034352 0.1229512943 0.2820677725 0.9483452416 0.8766990898 1.410307659 0.7880997434
25 0.1164558285 0.1118034352 0.1118034352 0.112175782 0.8377480083 0.1118069394 0.3819628259 0.1118034352 0.2028658654 0.1120215346 0.9887556376 0.3234170149 0.8543783716 0.7275072998
26 0.175209687 0.1118034352 0.1118034352 0.1118034372 0.7132455167 0.1118037697 0.8543450163 0.1118034352 0.13112744 0.1254148131 0.9262529603 0.8539497079 0.1311274841 0.8645641923
27 0.2274577794 0.1385811071 0.1118034352 0.8082401987 0.1128007032 0.1118034352 0.8270555267 0.1118034352 0.8543783449 0.1122582904 0.8436954438 0.8253991017 0.8561915695 0.5336377933
28 0.1170610732 0.1118034352 0.1118034352 0.1118096703 0.8557197473 0.1118034352 0.7543952987 0.1118034352 0.8540270548 0.117763427 0.2432506616 0.8175753697 0.8550033084 0.3517734255
29 0.1161657661 0.1118034352 0.1118034352 0.1119306911 0.1208674137 0.1118034352 0.8542991002 0.1118034352 0.8361243147 0.1321322165 0.9990189862 0.8024718607 0.8543782705 0.854139379
30 0.1434023983 0.1119741862 0.1118034352 0.1211150771 0.1346740113 0.1121594713 0.8543783324 0.1118034352 0.8557575013 0.1239123177 0.7819626626 1.522137361 0.8524199037 0.8539517406
