number DE EBLSHADE ADELI NDE MABC TLBO GOTLBO STLBO PSO IJAYA ISCA NNA CWOA WaterWave
0 92.02746731 189.9513534 189.9513535 3743.770811 24.8365724 200.9402848 74.33266077 189.9513534 10 294.6902411 61.08367706 26.08797679 47.66320992 31.59217307
1 89.31170327 189.9513534 189.9513534 482.9086842 995.6092946 138.1060823 19.12731847 189.9513523 101.4600997 115.5681229 28.18759509 99.94653852 10 19.81344904
2 86.17288706 189.9513529 189.9513531 1019.989124 7753.538341 190.3863532 80.56174233 189.9513538 10 396.8316476 13.68449943 66.97897483 33.40025558 12.15073855
3 85.14211187 189.9513535 189.9513532 3987.55553 92.98271722 4512.666871 62.74855025 189.9513528 10 69.53635096 98.7362649 102.3577981 39.59249432 58.59774464
4 168.4675729 189.9513534 189.9513533 190.5912574 219.4810589 200.2123025 78.60691086 189.9513534 110.0366757 168.0083257 104.4265979 20.01799394 34.59670514 89.25559025
5 146.1325454 189.9513535 189.9513623 318.0047879 50.91224418 189.9513522 94.15377668 189.9513538 10 132.9547526 170.6769978 53.60631954 56.25760463 13.00577493
6 89.56098896 189.9513537 189.9513531 150.9784283 15.87455305 193.740618 32.23101242 189.9513535 10 95.85433795 98.63184994 78.57158672 19.16514782 11.9364703
7 85.09346841 189.9513535 189.9513535 337.378672 27.08236992 189.9513519 28.67215415 189.9513541 10 297.6147957 74.58173712 20.24355799 96.3326279 77.73297336
8 96.14641165 189.9513533 189.9513532 189.8677373 136.0984034 189.9514016 12.71154761 189.9513537 681.0964942 119.437114 4200.628707 91.03104274 84.68870581 10.13640926
9 149.7870457 189.9513535 189.9513534 189.9514114 95.87680143 189.9513532 107.8593788 189.9513533 227.6778656 110.4866189 21.18877296 87.54901754 43.01636229 10.00000026
10 99.13593795 189.9513536 189.9513534 218.9710089 97.39906424 189.9513528 79.44632631 189.9513533 87.41058318 113.3024227 88.66734856 75.56022452 94.85928241 103.7812259
11 88.87996038 189.9513535 189.9513534 202.3667396 125.9572423 189.951353 86.82323007 189.951353 10 152.7453336 97.4402234 45.78438185 95.58841279 13.33888128
12 2223.569906 328.1503305 189.9513536 313.5685527 66.00570596 189.9513525 105.7308921 189.9513537 106.1443959 133.7875524 76.60746922 800.1830647 96.29145329 22.40432414
13 126.5897329 189.9513533 189.9513537 556.3522661 16.73635687 189.9513537 94.99205703 189.9513532 10000 261.2700435 24.13818296 25.96007564 86.37181785 115.4967828
14 80.0844131 189.9513536 189.9513537 688.8280776 191.3754975 240.6930596 88.84664997 189.951353 109.9858557 68.6752296 29.34531854 32.53775553 18.01339179 23.88197717
15 160.1632251 189.9513537 189.9513535 617.1858972 50.29598536 189.9513534 78.88991623 189.9513537 10000 147.4412252 58.07348974 55.0231207 85.48827917 83.65319003
16 176.7503337 189.9513535 189.9513535 56.14623513 787.7375356 189.9513522 70.43600318 189.9513536 134.4647361 73.25529301 90.32867551 97.97003132 113.3773043 22.74925635
17 123.115544 189.9513535 189.9513534 220.2272208 79.24887845 189.7452191 10 189.9513538 10 293.0120128 115.8123062 72.20499856 89.85412236 10.32792704
18 94.91302339 189.9513535 189.9513537 168.5214405 92.90086335 189.9513538 221.867867 189.951353 106.1457329 166.0384971 41.02610294 74.00916009 79.05634399 13.11958979
19 274.8361113 189.9513535 189.9513536 268.2552517 315.7545946 189.8899416 22.60021902 189.9513527 99.1369605 213.2468296 13.3390154 97.19589368 2512.761652 26.14459053
20 153.2102263 189.9513533 189.9513538 272.8171581 5040.215183 189.951354 107.5020354 189.9513532 113.1312655 108.7816276 77.25994306 100.5036144 54.81373097 20.92557366
21 164.2668493 189.9513534 189.9513528 190.9424027 37.99558805 165.5870096 174.9921321 189.951354 22.04265313 587.7158853 12.89883258 82.5415639 80.12909342 22.56600711
22 99.91668226 189.9513534 189.9513532 189.9519954 46.4163909 189.9513536 12.14714086 189.951353 109.7269407 123.7058388 16.23554346 17.06871671 9994.901721 73.24147414
23 295.6945514 189.9513535 189.9513535 290.0508062 64.13659208 189.951353 30.85815349 189.9513527 681.0964678 3733.749515 91.82127397 26.44731888 21.53663642 62.92075563
