number DE EBLSHADE ADELI NDE MABC TLBO GOTLBO STLBO PSO IJAYA ISCA NNA CWOA WW
0 2.079119523 1.919732278 1.919732278 2.59753855 4.867551766 1.978582434 19.40101978 1.919732276 0.881501072 4.189814411 13.58991476 7.695267493 46.31286298 5.60393284
1 1.448050823 1.919732278 1.919732278 2.97875158 0.9324079699 1.552030579 33.16189656 1.919732272 49.71219646 2.71471655 24.17550187 37.69035541 6.697464961 5.37472186
2 2.966319599 1.919732277 1.919732276 2.828016002 0.8985366061 1.922208602 1.578383987 1.919732279 0.8815881831 2.589937571 4.287170662 18.47953776 36.58405557 12.11572871
3 2.616382399 1.91973228 1.919732278 3.156872172 1.123407463 2.470443891 38.38489168 1.919732276 1.637931233 2.1197026 3.82171634 30.35982223 4.906864997 3.177407825
4 1.792201689 1.919732277 1.919732278 1.922330528 4.07177247 1.946586222 30.71969228 1.919732279 0.9169984193 1.896425954 1.578124989 20.67379772 10.99954689 1.795629174
5 2.45965807 1.919732278 1.91973228 2.423323373 3.045271926 1.919732278 0.9435247798 1.919732279 50 1.151958832 3.183910904 41.16311038 18.77784439 8.26599855
6 2.831454192 1.919732279 1.919732273 1.534468259 0.8814073647 1.901720747 8.243768266 1.919732282 50 1.433390147 13.2091656 37.28216064 3.176672154 3.412701669
7 1.410322736 1.919732279 1.919732281 2.458111699 4.590247418 1.919732278 2.093613846 1.919732283 0.8814046836 2.344605112 4.144544292 32.07380477 0.8811867438 8.615354483
8 1.605459217 1.91973228 1.919732279 1.919407782 4.515889417 1.919733651 1.407968073 1.919732279 0.8906863668 1.877006565 3.400769961 2.064605163 1.795905475 6.869402235
9 3.59712039 1.91973228 1.919732277 1.919731968 0.9719140855 1.919732278 2.055407125 1.919732279 3.375115264 2.153907617 2.240413072 32.15061356 2.221149002 8.860232065
10 3.928326919 1.919732277 1.919732278 2.115807037 1.233619831 1.919732275 30.09593134 1.919732278 2.279479408 2.646833453 2.556465597 36.39812785 1.416032706 2.128669362
11 2.81093981 1.919732281 1.919732277 1.981507347 4.663451125 1.919732277 2.908663178 1.919732277 2.120195193 2.130964257 2.177542779 31.06439049 46.18071109 6.072870785
