number DE EBLSHADE ADELI NDE MABC TLBO GOTLBO STLBO PSO IJAYA ISCA NNA CWOA WaterWave
0 183.5762177 189.9984964 189.9984964 217.2897571 89.72818988 192.4560535 25.64714408 189.9984964 173.8019528 303.6890878 53.94027391 93.46161024 68.40694402 84.53202431
1 201.1150025 189.9984965 189.9984965 232.52046 117.4341873 174.4885432 28.26143358 189.9984962 14.6842952 207.9433421 79.82925215 26.26761362 10 29.70160108
2 357.9344987 189.9984964 189.9984964 226.4686299 141.5776679 190.1018161 58453.22771 189.9984965 173.5714021 219.3251623 100.8528636 48.13399128 82.22539373 104.1838975
3 229.3098092 189.9984965 189.9984965 239.5172141 50.88450894 212.8021891 22.23714627 189.9984963 25.96075724 215.0647181 130.3468711 11.31247129 41.63319565 35298.3648
4 210.5887149 189.9984964 189.9984965 190.1123131 123.7353098 191.2376738 37.53741074 189.9984965 10 190.2308619 1294.827337 98.61198557 76.83053183 15.7850817
5 149.153498 189.9984964 189.9984964 210.5032595 116.7071678 189.9984965 41.43206436 189.9984965 37.85484956 161.6581298 26678.47983 63.04335899 51.45677856 87.67604573
6 180.6140086 189.9984965 189.9984962 173.8779875 173.9193524 189.2688583 83.91514316 189.9984966 10 205.7756939 15.10998005 37.7237501 229915.4147 104.5683982
7 184.2429668 189.9984965 189.9984965 212.57191 145.3321959 189.9984964 15203.92831 189.9984967 174.0652029 208.0786196 438.8906676 98.01244894 202.6591279 15.40839726
8 139.924164 189.9984965 189.9984965 189.9846492 430.008526 189.9984127 33.8185466 189.9984965 166.2590247 249.2290213 621.1730567 24530.68951 145.0900619 111.1101866
9 1077.029629 189.9984965 189.9984964 189.9984844 58.03811512 189.9984964 152.7939924 189.9984965 1000000 196.7599455 409.3772012 29.31042268 2668.472546 105.6624443
10 487.7681019 189.9984964 189.9984964 198.170475 56.53209967 189.9984963 28.30198357 189.9984964 3106.485099 535.9061578 19.68324265 40.24375049 433.7453084 271.3052841
11 2320.559441 189.9984966 189.9984964 192.5717484 271.7682036 189.9984964 78.49303283 189.9984964 106.1443957 222.9692251 261.8089394 56.92382662 10 102.806865
12 302.5279834 207.7147957 189.9984965 210.6684575 108.75814 189.9984963 10.1116316 189.9984965 10 170.1571863 277.6126111 128.1416148 366.3361829 118.327995
13 174.483297 189.9984964 189.9984966 206.3273581 191.3931188 189.9984965 21.09960496 189.9984963 173.7175962 202.4489584 91.50848874 75.75026174 267.3809201 3292.79955
14 141.9528827 189.9984965 189.9984965 228.7957029 195.6164728 199.1957339 14.52957835 189.9984964 10 243.7420826 87.27949419 53.11868273 26.62358322 92.24321173
15 181.2275237 189.9984965 189.9984964 218.161082 63.39818995 189.9984965 406.2010589 189.9984966 322.3751593 341.5176862 50.49328413 56.37320599 30.35919888 13.74786251
16 239.1999468 189.9984964 189.9984965 93.21974069 17766.32902 189.9984962 36.57327216 189.9984966 127.5926875 288.6022257 188.5592467 14562.49197 10 11.99095087
17 183.9269831 189.9984965 189.9984965 201.9582052 58.42546924 189.9536087 105.738563 189.9984965 1000000 193.4622685 483.775008 45.61160765 35.04942072 94.71172808
18 334.412144 189.9984965 189.9984966 182.5786966 175.9455705 189.9984965 310.6402605 189.9984963 10 230.863365 449.2080627 39.97398428 26.61786069 65.72377517
19 204.6551035 189.9984965 189.9984965 204.3796206 626.3418842 189.8746138 110.2960792 189.9984962 151.7807255 182.9371545 24.19985141 37.72038664 117.7988039 43.46630251
20 173.6551036 189.9984965 189.9984965 212.2891305 247.4931897 189.9984966 155287.1864 189.9984964 10 356.7552792 41.29126367 68542.86225 61.44351015 95.17682294
21 368.4115811 189.9984964 189.9984964 190.0206903 77.93683776 168.3518672 101.3225836 189.9984966 10 156.4763738 102.0612243 24.52368982 40.28028537 94.2486405
22 133.3406195 189.9984965 189.9984964 189.9976848 69.11129868 189.9984965 94.8062356 189.9984964 10 189.0933915 635376.3119 98.30975018 56.55241393 133.5890459
23 231.9634514 189.9984965 189.9984965 721.2739329 52.04587505 189.9984964 20.22913873 189.9984963 166.259017 148.2154573 50.26078779 83.51315464 38.05049526 53.29859766
24 247.1855741 190.5851142 189.9984965 186.3864872 344.4103051 187.5637617 31.41445003 189.9984963 173.7175942 372.9891207 14.34727276 42.79883977 91.1414201 90.84333636
25 214.38275 189.9984965 189.9984964 228.5534769 26.03758604 188.2275683 166.2831123 189.9984964 1000000 251.3088158 97.41802489 1421.338778 20.13146775 229.672114
26 174.6121556 189.9984964 189.9984965 189.9914823 89.99728481 188.2245525 12.47920739 189.9984964 1000000 247.0747527 357.4592103 35917.53534 1000000 97.68964046
27 123.8288175 213.1418897 189.9984964 101.776208 179.6635828 189.9984965 20.00277204 189.9984963 10 261.2636904 327.2267802 90.81826759 14.42914925 106.90432
28 316.5882624 189.9984965 189.9984964 193.5808917 71.62182297 189.9984966 69.09397972 189.9984964 106.2695204 216.5333262 288697.0238 82.76817673 85.56420434 170.5635012
29 197.2353778 189.9984964 189.9984963 205.5071135 186.2755013 189.9984965 47.36346816 189.9984964 10 248.4683342 51.93237918 59.01490388 52.04462739 554.7513485
30 177.795915 230.5755394 189.9984965 363.7704423 156.7095533 157.8384419 15.66105462 189.9984964 115.3415882 191.6930604 127459.6571 14301.12174 10 299.6519413
31 225.9550805 189.9984965 189.9984963 215.7758748 228.8127203 213.4004896 11735.21486 189.9984965 1000000 312.1848138 16.02113202 199.9193878 30.50346613 64.99130687
32 200.4929538 189.9984964 189.9984965 280.5071148 103.9481604 189.9285406 94.10594581 189.9984965 106.1443953 186.4654249 1388.460119 2245.680052 29.41174966 29.26089193
33 222.5255996 189.9984965 189.9984965 190.6314205 222.4995596 189.9984964 436.4281683 189.9984963 174.0467406 220.2623521 98.36050826 12.08042737 35.23196035 39.98585341
34 143.2103113 189.9984964 189.9984964 199.4210955 155.125013 186.4710578 1048.779401 189.9984965 10 192.370253 33008.03653 148788.366 153.3641377 93.48446593
35 270.2085303 189.9984964 189.9984965 189.9992072 59.95917696 190.7738748 269946.2263 189.9984965 106.2695204 170.1060575 9095.419255 14.70564101 92.07047885 99.88327263
36 143.2100681 189.9984965 189.9984965 240.9178032 248.8409336 189.9984965 15.86269953 189.9984966 1000000 722.5195266 2599.318752 24.01683169 97.77023577 95.92954267
37 248.5781015 189.9984964 189.9984964 190.5778416 79.06981305 189.9984965 5935.94751 189.9984964 10 3484.115176 39.32004237 8620.520011 130709.3025 105.7123892
38 195.1722055 201.0060006 189.9984966 209.6739965 291.1848708 188.347897 21059.03898 189.9984965 10 217.3393734 57.84786637 98.50476078 58.55828709 10.87923792
39 214.1011974 189.9984965 189.9984965 193.9831069 37.7518215 189.9984965 10.02259399 189.9984965 1000000 210.6247194 70.68283563 20304.66165 22.66033467 12.76854582
40 248.4804202 189.9984965 189.9984963 194.2727987 202.2443454 158.6323284 82.33968829 189.9984965 10 183.9268154 351.3156798 27.57086577 33.92754455 2735.336117
41 136.6308475 189.9984965 189.9984964 243.9897405 235.684292 189.9984965 33.65545034 189.9984965 10 253.0197921 210.9491438 92.77563456 1490.915868 76.23920675
42 157.1860105 189.9984964 189.9984964 216.0762064 183.5636751 209.5116584 17.50978221 189.9984964 10 176.9616796 70.39536524 77.30667811 18.76109576 106.4787588
43 110.9440212 189.9984964 189.9984964 211.3730694 139.6083244 189.1435228 100.305215 189.9984965 10 209.0329682 83.77049706 62.6183507 10 6545.366772
