N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 3.162E+15 320 2.400E-4 1.101420113E+00 1.111770645E+00
1.468000E+10 3.162E+15 320 2.400E-4 1.105861414E+00 1.112998080E+00
2.154000E+10 3.162E+15 320 2.400E-4 1.109848830E+00 1.114765021E+00
3.162000E+10 3.162E+15 320 2.400E-4 1.113897304E+00 1.117286022E+00
4.642000E+10 3.162E+15 320 2.400E-4 1.118495856E+00 1.120836655E+00
6.813000E+10 3.162E+15 320 2.400E-4 1.124122588E+00 1.125745559E+00
1.000000E+11 3.162E+15 320 2.400E-4 1.131224434E+00 1.132355851E+00
1.468000E+11 3.162E+15 320 2.400E-4 1.140141346E+00 1.140935701E+00
2.154000E+11 3.162E+15 320 2.400E-4 1.150966147E+00 1.151528572E+00
3.162000E+11 3.162E+15 320 2.400E-4 1.163377761E+00 1.163779560E+00
4.642000E+11 3.162E+15 320 2.400E-4 1.176600158E+00 1.176855504E+00
6.813000E+11 3.162E+15 320 2.400E-4 1.189427714E+00 1.189613120E+00
1.000000E+12 3.162E+15 320 2.400E-4 1.200912243E+00 1.201027239E+00
1.468000E+12 3.162E+15 320 2.400E-4 1.210516118E+00 1.210600688E+00
2.154000E+12 3.162E+15 320 2.400E-4 1.218832962E+00 1.218867768E+00
3.162000E+12 3.162E+15 320 2.400E-4 1.225456294E+00 1.225498145E+00
4.642000E+12 3.162E+15 320 2.400E-4 1.231097041E+00 1.231125399E+00
6.813000E+12 3.162E+15 320 2.400E-4 1.235771600E+00 1.235784583E+00
1.000000E+13 3.162E+15 320 2.400E-4 1.240203234E+00 1.240213925E+00
