fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
0UT1 9:34 299.3 38.74 1.000E+000 1.939E+000 6.355E-011 6.929E+002 2.719E+000 3.914E-006 1.407E-003 
0UT2 9:56 302.2 38.37 1.000E+000 1.844E+000 1.025E-010 7.068E+002 2.683E+000 4.327E-006 3.534E-003 
0UT3 10:18 305.4 37.96 1.000E+000 1.903E+000 1.785E-010 7.221E+002 2.715E+000 5.513E-006 9.603E-004 
0UT4 10:43 308.7 37.56 1.000E+000 1.903E+000 3.016E-010 7.374E+002 2.668E+000 6.170E-006 7.138E-004 
0UT5 11:5 311.4 37.23 1.000E+000 1.986E+000 4.555E-010 7.495E+002 2.662E+000 7.111E-006 4.626E-004 
0UT6 11:24 313.1 37.03 1.000E+000 2.196E+000 5.804E-010 7.570E+002 2.635E+000 7.479E-006 7.939E-004 
0UT7 11:48 315.8 36.71 1.000E+000 2.319E+000 9.211E-010 7.684E+002 2.653E+000 8.922E-006 6.060E-004 
0UT8 12:16 318.4 36.41 1.000E+000 2.517E+000 1.300E-009 7.788E+002 2.633E+000 9.998E-006 1.396E-003 
0UT9 12:38 321.5 36.06 1.000E+000 2.414E+000 1.936E-009 7.904E+002 2.550E+000 1.031E-005 1.462E-003 
UT10 13:4 325 35.67 1.000E+000 2.489E+000 3.231E-009 8.024E+002 2.536E+000 1.219E-005 1.513E-003 
UT11 13:26 327.8 35.37 1.000E+000 2.470E+000 4.890E-009 8.109E+002 2.600E+000 1.552E-005 5.215E-004 
UT12 13:47 330.8 35.05 1.000E+000 2.494E+000 7.322E-009 8.189E+002 2.565E+000 1.727E-005 2.250E-003 
