fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
00T1 7:42 298.4 38.85 1.000E+000 8.388E+000 3.277E-006 6.885E+002 2.528E+000 3.610E-008 1.907E-003 
00T2 8:0 302.3 38.35 1.000E+000 8.663E+000 3.951E-006 7.073E+002 2.518E+000 4.138E-008 1.575E-003 
00T3 8:17 305 38.01 1.000E+000 8.470E+000 3.627E-006 7.202E+002 2.527E+000 4.329E-008 1.008E-003 
00T4 8:38 308 37.64 1.000E+000 8.118E+000 4.297E-006 7.342E+002 2.525E+000 4.677E-008 1.859E-003 
00T5 8:57 311.1 37.27 1.000E+000 6.878E+000 4.191E-006 7.482E+002 2.500E+000 5.279E-008 6.221E-004 
00T6 9:17 313.6 36.97 1.000E+000 5.456E+000 4.128E-006 7.591E+002 2.496E+000 5.556E-008 5.261E-004 
00T7 9:36 316.1 36.68 1.000E+000 4.500E+000 4.422E-006 7.696E+002 2.452E+000 6.341E-008 1.837E-003 
00T8 9:58 318.7 36.38 1.000E+000 3.929E+000 4.600E-006 7.800E+002 2.421E+000 7.065E-008 2.161E-003 
00T9 10:20 321.3 36.09 1.000E+000 4.328E+000 4.074E-006 7.897E+002 2.477E+000 6.694E-008 6.103E-004 
0T10 10:41 324.4 35.74 1.000E+000 3.844E+000 4.438E-006 8.004E+002 2.434E+000 7.605E-008 3.668E-004 
0T11 11:2 327.1 35.45 1.000E+000 5.777E+000 4.519E-006 8.088E+002 2.406E+000 8.407E-008 1.462E-003 
0T12 11:26 329.7 35.17 1.000E+000 8.727E+000 4.223E-006 8.161E+002 2.414E+000 8.606E-008 1.358E-003 
0T13 11:48 332.4 34.88 1.000E+000 9.899E+000 4.730E-006 8.226E+002 2.428E+000 8.872E-008 6.643E-004 
