fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
00S1 7:45 304.8 38.04 1.000E+000 5.162E+000 2.034E-010 7.192E+002 2.601E+000 5.057E-006 1.592E-005 1.082E-002 1.580E-005 4.284E-008 2.505E-001 5.400E-003 7.788E-006 7.058E-002 
00S2 8:31 305.7 37.93 1.000E+000 5.017E+000 2.238E-010 7.235E+002 2.598E+000 5.224E-006 1.603E-005 1.094E-002 1.591E-005 4.361E-008 2.506E-001 5.500E-003 7.783E-006 8.420E-003 
00S3 8:49 309.3 37.49 1.000E+000 4.718E+000 3.808E-010 7.401E+002 2.548E+000 5.851E-006 1.531E-005 1.060E-002 1.521E-005 4.042E-008 2.506E-001 5.300E-003 7.482E-006 9.792E-003 
00S4 9:27 315 36.81 1.000E+000 4.416E+000 1.032E-009 7.650E+002 2.569E+000 8.613E-006 1.529E-005 1.061E-002 1.519E-005 4.045E-008 2.509E-001 5.300E-003 7.489E-006 1.231E-003 
00S6 9:46 317.6 36.51 1.000E+000 4.418E+000 1.503E-009 7.756E+002 2.564E+000 9.876E-006 1.461E-005 1.014E-002 1.452E-005 3.694E-008 2.509E-001 5.100E-003 7.100E-006 4.174E-002 
00S7 10:5 319.9 36.24 1.000E+000 4.425E+000 2.109E-009 7.845E+002 2.566E+000 1.116E-005 1.515E-005 1.049E-002 1.506E-005 3.965E-008 2.511E-001 5.300E-003 7.338E-006 1.369E-001 
00S8 10:23 322.6 35.94 1.000E+000 4.552E+000 3.060E-009 7.943E+002 2.580E+000 1.337E-005 1.639E-005 1.122E-002 1.628E-005 4.589E-008 2.513E-001 5.600E-003 8.050E-006 7.073E-004 
00S9 10:46 325.5 35.62 1.000E+000 5.368E+000 4.418E-009 8.040E+002 2.555E+000 1.498E-005 1.393E-005 9.494E-003 1.382E-005 3.297E-008 2.512E-001 4.800E-003 6.724E-006 3.157E-003 
0S10 11:6 328.2 35.33 1.000E+000 6.378E+000 6.979E-009 8.120E+002 2.555E+000 1.720E-005 1.470E-005 9.891E-003 1.457E-005 3.622E-008 2.514E-001 5.000E-003 7.097E-006 4.070E-004 
0S11 11:26 330.8 35.05 1.000E+000 5.717E+000 1.006E-008 8.189E+002 2.557E+000 1.973E-005 1.534E-005 1.015E-002 1.521E-005 3.884E-008 2.516E-001 5.100E-003 7.465E-006 2.808E-004 
0S12 11:46 334.9 34.62 1.000E+000 4.601E+000 1.891E-008 8.277E+002 2.579E+000 2.485E-005 1.467E-005 9.379E-003 1.457E-005 3.441E-008 2.518E-001 4.700E-003 7.166E-006 2.856E-003 
0S13 12:10 338.5 34.25 1.000E+000 4.780E+000 2.759E-008 8.332E+002 2.573E+000 2.949E-005 1.318E-005 8.156E-003 1.308E-005 2.685E-008 2.517E-001 4.100E-003 6.389E-006 6.890E-004 
0S14 12:32 342 33.9 1.000E+000 4.762E+000 4.314E-008 8.364E+002 2.561E+000 3.462E-005 1.486E-005 8.829E-003 1.475E-005 3.282E-008 2.521E-001 4.400E-003 7.292E-006 7.665E-004 
