x N
2.2885632E+0 6.0207559E+20
2.2708821E+0 6.1811489E+20
2.2539906E+0 6.5511931E+20
2.2380190E+0 6.9276201E+20
2.2226895E+0 7.1460424E+20
2.2074616E+0 7.2964351E+20
2.1925570E+0 7.4682271E+20
2.1778211E+0 7.7517482E+20
2.1638111E+0 8.0130371E+20
2.1498280E+0 8.0370446E+20
2.1357191E+0 8.2700170E+20
2.1223526E+0 8.3297218E+20
2.1082593E+0 8.1881109E+20
2.0942365E+0 8.3254177E+20
2.0804227E+0 8.6183483E+20
2.0671697E+0 8.5203139E+20
2.0528582E+0 8.4944953E+20
2.0393412E+0 8.6412146E+20
2.0253121E+0 8.4986860E+20
2.0111417E+0 8.6187020E+20
1.9973126E+0 8.7009290E+20
1.9832105E+0 8.6121761E+20
1.9688934E+0 8.5705103E+20
1.9544461E+0 8.6449171E+20
1.9401680E+0 8.6393682E+20
1.9254864E+0 8.7242495E+20
1.9112779E+0 8.6223889E+20
1.8960261E+0 8.4866920E+20
1.8811167E+0 8.6429315E+20
1.8661724E+0 8.7352813E+20
1.8513433E+0 8.6893491E+20
1.8359967E+0 8.6357453E+20
1.8207315E+0 8.8200680E+20
1.8057753E+0 8.8032403E+20
1.7901936E+0 8.7619227E+20
1.7748336E+0 8.6859552E+20
1.7587024E+0 8.3402940E+20
1.7417357E+0 8.0372342E+20
1.7240227E+0 7.6777096E+20
1.7050536E+0 7.4173215E+20
1.6856394E+0 7.3733179E+20
